File Name,照度 (lx),CIE x,CIE y,實驗類別
red s-192506.csv,5.21,0.4975,0.3624,個人螢幕 (Left Column)
green s-192618.csv,10.64,0.3461,0.495,個人螢幕 (Left Column)
r s-192705.csv,22.26,0.6679,0.3254,個人螢幕 (Left Column)
b s-192738.csv,7.12,0.1595,0.0604,個人螢幕 (Left Column)
w s-192807.csv,113.76,0.3274,0.3503,個人螢幕 (Left Column)
r1 s-192849.csv,15.95,0.6532,0.3306,個人螢幕 (Left Column)
r2 s-192913.csv,12.57,0.6447,0.3319,個人螢幕 (Left Column)
r3 s-192933.csv,10.57,0.6143,0.3376,個人螢幕 (Left Column)
r4 s-193013.csv,10.42,0.5522,0.3458,個人螢幕 (Left Column)
r5 s-193033.csv,8.15,0.5014,0.3489,個人螢幕 (Left Column)
y0-193115.csv,121.62,0.4285,0.5236,個人螢幕 (Left Column)
y r30-193215.csv,100.44,0.4229,0.5088,個人螢幕 (Left Column)
y r60-193308.csv,77.18,0.4045,0.5176,個人螢幕 (Left Column)
p r 60-193349.csv,22.12,0.3125,0.1415,個人螢幕 (Left Column)
p r 30-193433.csv,33.1,0.3133,0.1628,個人螢幕 (Left Column)
p r 0-193525.csv,33.17,0.311,0.1407,Mini-LED (Right Column)
r l-194103.csv,650.6,0.6922,0.3076,Mini-LED (Right Column)
g l-194119.csv,835.67,0.1907,0.7538,Mini-LED (Right Column)
b l-194136.csv,64.46,0.1258,0.0671,Mini-LED (Right Column)
w l-194159.csv,1545.77,0.4347,0.3703,Mini-LED (Right Column)
r1 l-194214.csv,340.4,0.6925,0.3074,Mini-LED (Right Column)
r2 l-194226.csv,216.55,0.6926,0.3073,Mini-LED (Right Column)
r3 l-194239.csv,132.89,0.6927,0.3072,Mini-LED (Right Column)
r4 l-194252.csv,78.57,0.6927,0.3072,Mini-LED (Right Column)
r5 l-194306.csv,37.89,0.6926,0.3072,Mini-LED (Right Column)
y0 l-194337.csv,1468.43,0.5245,0.4571,Mini-LED (Right Column)
y30 l-194411.csv,1313.54,0.5285,0.4535,Mini-LED (Right Column)
y60 l-194458.csv,1355.33,0.5354,0.4473,Mini-LED (Right Column)
p60 l-194520.csv,693.38,0.5343,0.2404,Mini-LED (Right Column)
p30 l-194554.csv,953.47,0.5292,0.2387,Mini-LED (Right Column)
p0 l-194613.csv,947.97,0.5283,0.2383,Mini-LED (Right Column)
