Types,OHSP-350
version,1.60.2
Describe,OHS
Test date,2026-02-25
Test time,19:27:38
E(lx),7.12
Candle E(fc),0.66
CCT(K),100000
Duv,-0.04603
CIE x,0.1595
CIE y,0.0604
CIE u,0.1874
CIE v,0.1065
CIE u',0.1874
CIE v',0.1597
SDCM,100.00
Ra,-6.4
R1,23
R2,36
R3,-68
R4,-69
R5,32
R6,28
R7,-9
R8,-23
R9,-100
R10,-54
R11,-94
R12,11
R13,36
R14,11
R15,43
Ee(mW/c©O),0.009
S/P,10.434
Dominant(nm),461.50
Purity(%),90.6
Half width(nm),15.9
Peak(nm),447.9
Center(nm),448.2
Centroid(nm),460.6
R ratio(%),2.5
G ratio(%),62.6
B ratio(%),34.9
CIE1931 X,27.526
CIE1931 Y,10.429
CIE1931 Z,134.573
TLCI-2012,6
Integral Time(ms),1000.00
Peak Signal,52637
Dark Signal,3536
Compensate level,2954
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000264,
426,0.005239,
427,0.017758,
428,0.039532,
429,0.077315,
430,0.133755,
431,0.210966,
432,0.305376,
433,0.416765,
434,0.543420,
435,0.689988,
436,0.844573,
437,1.043317,
438,1.274731,
439,1.541055,
440,1.837385,
441,2.161009,
442,2.506674,
443,2.860824,
444,3.210522,
445,3.531161,
446,3.790057,
447,3.956316,
448,4.015749,
449,3.956069,
450,3.804657,
451,3.569923,
452,3.274740,
453,2.982381,
454,2.650750,
455,2.347537,
456,2.094770,
457,1.887572,
458,1.721573,
459,1.586536,
460,1.471503,
461,1.371393,
462,1.276080,
463,1.177555,
464,1.073380,
465,0.967356,
466,0.879039,
467,0.779375,
468,0.684485,
469,0.603333,
470,0.531663,
471,0.468743,
472,0.405671,
473,0.349372,
474,0.304518,
475,0.271740,
476,0.239313,
477,0.209248,
478,0.184728,
479,0.166665,
480,0.153072,
481,0.141261,
482,0.125722,
483,0.113867,
484,0.098203,
485,0.081306,
486,0.066753,
487,0.058452,
488,0.057161,
489,0.056952,
490,0.049671,
491,0.042658,
492,0.042666,
493,0.049610,
494,0.055422,
495,0.059703,
496,0.056571,
497,0.063632,
498,0.066958,
499,0.079674,
500,0.085182,
501,0.089239,
502,0.088974,
503,0.088790,
504,0.095122,
505,0.107284,
506,0.120661,
507,0.130756,
508,0.138463,
509,0.150315,
510,0.157275,
511,0.164062,
512,0.167475,
513,0.167196,
514,0.174081,
515,0.189197,
516,0.200761,
517,0.209052,
518,0.205228,
519,0.197388,
520,0.193201,
521,0.192574,
522,0.195723,
523,0.193520,
524,0.193149,
525,0.190569,
526,0.190415,
527,0.188043,
528,0.184007,
529,0.176954,
530,0.172319,
531,0.160631,
532,0.152795,
533,0.147251,
534,0.144672,
535,0.144859,
536,0.141901,
537,0.139682,
538,0.131624,
539,0.122567,
540,0.112068,
541,0.100278,
542,0.089433,
543,0.080461,
544,0.077575,
545,0.078027,
546,0.074954,
547,0.070415,
548,0.061611,
549,0.063095,
550,0.060514,
551,0.058058,
552,0.054350,
553,0.052116,
554,0.051854,
555,0.050551,
556,0.043870,
557,0.042370,
558,0.045001,
559,0.044756,
560,0.045866,
561,0.040542,
562,0.035497,
563,0.033788,
564,0.028641,
565,0.023985,
566,0.023773,
567,0.022443,
568,0.026648,
569,0.027442,
570,0.028657,
571,0.025642,
572,0.026310,
573,0.024723,
574,0.027420,
575,0.028064,
576,0.028771,
577,0.035748,
578,0.037605,
579,0.035792,
580,0.032347,
581,0.026485,
582,0.028695,
583,0.028104,
584,0.026759,
585,0.024609,
586,0.024277,
587,0.023645,
588,0.019673,
589,0.017144,
590,0.017695,
591,0.018237,
592,0.019970,
593,0.016589,
594,0.009950,
595,0.009213,
596,0.011928,
597,0.015325,
598,0.018215,
599,0.015043,
600,0.010381,
601,0.007235,
602,0.004780,
603,0.004161,
604,0.006487,
605,0.006901,
606,0.010184,
607,0.007983,
608,0.006853,
609,0.008586,
610,0.009390,
611,0.016686,
612,0.020667,
613,0.022359,
614,0.025970,
615,0.024184,
616,0.022739,
617,0.022797,
618,0.020485,
619,0.021085,
620,0.020775,
621,0.014914,
622,0.014800,
623,0.018774,
624,0.029018,
625,0.035450,
626,0.035688,
627,0.032054,
628,0.034285,
629,0.040918,
630,0.038570,
631,0.030857,
632,0.017323,
633,0.011414,
634,0.008634,
635,0.008318,
636,0.009055,
637,0.007317,
