Types,OHSP-350
version,1.60.2
Describe,OHS
Test date,2026-02-25
Test time,19:41:19
E(lx),835.67
Candle E(fc),77.64
CCT(K),7380
Duv,0.15526
CIE x,0.1907
CIE y,0.7538
CIE u,0.0654
CIE v,0.3877
CIE u',0.0654
CIE v',0.5816
SDCM,100.00
Ra,-36.8
R1,-41
R2,-22
R3,-46
R4,-79
R5,-16
R6,-28
R7,-21
R8,-42
R9,-100
R10,-100
R11,-100
R12,-55
R13,-48
R14,25
R15,-38
Ee(mW/c©O),0.151
S/P,2.355
Dominant(nm),533.00
Purity(%),91.7
Half width(nm),26.5
Peak(nm),525.6
Center(nm),527.8
Centroid(nm),530.9
R ratio(%),0.0
G ratio(%),99.5
B ratio(%),0.4
CIE1931 X,309.560
CIE1931 Y,1223.536
CIE1931 Z,90.145
TLCI-2012,2
Integral Time(ms),84.00
Peak Signal,56470
Dark Signal,2337
Compensate level,2964
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000000,
430,0.000000,
431,0.000000,
432,0.000000,
433,0.000000,
434,0.000000,
435,0.000000,
436,0.000000,
437,0.000000,
438,0.000000,
439,0.000000,
440,0.000000,
441,0.000000,
442,0.000000,
443,0.000000,
444,0.000000,
445,0.000000,
446,0.000000,
447,0.000000,
448,0.000000,
449,0.000000,
450,0.000000,
451,0.000000,
452,0.000000,
453,0.000000,
454,0.000000,
455,0.000000,
456,0.000000,
457,0.000000,
458,0.000000,
459,0.000000,
460,0.000000,
461,0.000000,
462,0.000000,
463,0.000000,
464,0.000000,
465,0.000000,
466,0.000000,
467,0.000000,
468,0.000000,
469,0.000000,
470,0.000000,
471,0.000000,
472,0.000000,
473,0.000000,
474,0.000000,
475,0.000000,
476,0.000000,
477,0.000000,
478,0.009435,
479,0.025660,
480,0.052866,
481,0.088036,
482,0.117675,
483,0.154276,
484,0.188233,
485,0.237928,
486,0.303079,
487,0.378034,
488,0.465245,
489,0.564265,
490,0.673925,
491,0.806667,
492,0.963697,
493,1.121208,
494,1.328196,
495,1.557111,
496,1.830146,
497,2.145672,
498,2.507014,
499,2.922100,
500,3.348060,
501,3.892555,
502,4.504196,
503,5.207955,
504,6.010828,
505,6.947222,
506,8.005151,
507,9.082517,
508,10.434845,
509,11.953676,
510,13.677538,
511,15.586432,
512,17.703342,
513,20.046675,
514,22.286201,
515,24.907654,
516,27.647812,
517,30.457087,
518,33.342068,
519,35.930759,
520,38.634087,
521,41.212925,
522,43.537926,
523,45.518360,
524,46.913067,
525,47.622070,
526,47.781670,
527,47.406059,
528,46.602215,
529,45.345524,
530,43.733608,
531,42.367340,
532,40.589691,
533,38.728065,
534,36.626934,
535,34.404343,
536,32.556572,
537,30.516144,
538,28.618334,
539,26.850546,
540,25.208981,
541,23.909176,
542,22.516420,
543,21.227875,
544,20.013807,
545,18.875839,
546,17.934858,
547,16.911057,
548,15.924031,
549,14.940979,
550,13.988889,
551,13.165388,
552,12.251282,
553,11.362295,
554,10.499852,
555,9.677535,
556,8.990164,
557,8.260092,
558,7.575453,
559,7.008000,
560,6.412494,
561,5.861856,
562,5.364609,
563,4.922528,
564,4.567496,
565,4.203637,
566,3.872091,
567,3.563790,
568,3.282085,
569,3.051691,
570,2.803665,
571,2.570624,
572,2.383055,
573,2.185396,
574,2.005727,
575,1.834197,
576,1.669960,
577,1.544372,
578,1.404820,
579,1.279273,
580,1.171870,
581,1.056741,
582,0.962216,
583,0.868483,
584,0.785235,
585,0.718778,
586,0.647714,
587,0.587774,
588,0.533239,
589,0.480192,
590,0.437224,
591,0.402289,
592,0.367362,
593,0.329680,
594,0.283199,
595,0.247014,
596,0.220777,
597,0.198234,
598,0.181460,
599,0.157024,
600,0.133463,
601,0.111528,
602,0.090916,
603,0.070587,
604,0.054951,
605,0.041423,
606,0.033401,
607,0.020870,
608,0.009072,
609,0.002571,
610,0.000151,
611,0.000006,
612,0.000003,
613,0.000000,
614,0.000000,
615,0.000000,
616,0.000000,
617,0.000000,
618,0.000000,
619,0.000000,
620,0.000000,
621,0.000000,
622,0.000000,
623,0.000000,
624,0.000000,
625,0.000000,
626,0.000000,
627,0.000000,
628,0.000000,
629,0.000000,
630,0.000000,
631,0.000000,
632,0.000000,
633,0.000000,
634,0.000000,
635,0.000000,
636,0.000000,
