Types,OHSP-350
version,1.60.2
Describe,OHS
Test date,2026-02-25
Test time,19:26:18
E(lx),10.64
Candle E(fc),0.99
CCT(K),5251
Duv,0.05701
CIE x,0.3461
CIE y,0.4950
CIE u,0.1678
CIE v,0.3601
CIE u',0.1678
CIE v',0.5402
SDCM,65.22
Ra,66.2
R1,58
R2,62
R3,74
R4,66
R5,55
R6,51
R7,90
R8,73
R9,-8
R10,16
R11,52
R12,10
R13,54
R14,86
R15,56
Ee(mW/c©O),0.003
S/P,1.781
Dominant(nm),557.80
Purity(%),52.8
Half width(nm),50.0
Peak(nm),533.6
Center(nm),538.2
Centroid(nm),557.6
R ratio(%),12.2
G ratio(%),86.1
B ratio(%),1.7
CIE1931 X,10.889
CIE1931 Y,15.578
CIE1931 Z,5.000
TLCI-2012,78
Integral Time(ms),5000.00
Peak Signal,22359
Dark Signal,2179
Compensate level,2890
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000057,
381,0.000049,
382,0.000049,
383,0.000012,
384,0.000000,
385,0.000106,
386,0.000140,
387,0.000137,
388,0.000078,
389,0.000000,
390,0.000000,
391,0.000237,
392,0.000926,
393,0.001625,
394,0.002270,
395,0.001930,
396,0.001204,
397,0.000618,
398,0.000538,
399,0.001825,
400,0.002382,
401,0.002432,
402,0.001734,
403,0.000899,
404,0.001048,
405,0.002630,
406,0.002843,
407,0.002785,
408,0.001335,
409,0.001272,
410,0.001765,
411,0.001697,
412,0.001352,
413,0.001025,
414,0.001108,
415,0.000973,
416,0.000833,
417,0.001782,
418,0.002166,
419,0.002066,
420,0.000894,
421,0.000099,
422,0.000084,
423,0.000081,
424,0.000033,
425,0.000088,
426,0.000975,
427,0.002970,
428,0.004286,
429,0.005423,
430,0.006553,
431,0.008500,
432,0.010234,
433,0.010813,
434,0.010333,
435,0.011218,
436,0.012381,
437,0.016278,
438,0.020726,
439,0.027320,
440,0.033291,
441,0.041445,
442,0.050563,
443,0.060198,
444,0.071629,
445,0.081726,
446,0.093064,
447,0.100208,
448,0.104207,
449,0.106368,
450,0.107908,
451,0.109031,
452,0.105051,
453,0.099013,
454,0.092916,
455,0.084292,
456,0.078766,
457,0.070022,
458,0.065161,
459,0.060871,
460,0.058211,
461,0.055339,
462,0.053111,
463,0.051035,
464,0.049099,
465,0.046182,
466,0.043165,
467,0.040749,
468,0.037960,
469,0.036580,
470,0.035382,
471,0.034299,
472,0.032392,
473,0.028843,
474,0.026360,
475,0.024132,
476,0.022585,
477,0.022095,
478,0.022472,
479,0.022765,
480,0.024672,
481,0.025475,
482,0.027078,
483,0.026228,
484,0.023605,
485,0.020580,
486,0.020233,
487,0.020649,
488,0.021928,
489,0.023949,
490,0.024950,
491,0.026613,
492,0.028501,
493,0.029559,
494,0.031266,
495,0.032637,
496,0.033556,
497,0.037482,
498,0.039227,
499,0.043388,
500,0.048328,
501,0.055677,
502,0.061394,
503,0.063059,
504,0.065160,
505,0.069880,
506,0.077291,
507,0.084733,
508,0.091739,
509,0.100490,
510,0.110989,
511,0.120640,
512,0.130546,
513,0.139014,
514,0.147605,
515,0.159177,
516,0.168965,
517,0.178366,
518,0.187604,
519,0.195243,
520,0.205365,
521,0.216972,
522,0.227951,
523,0.237552,
524,0.245251,
525,0.252354,
526,0.259418,
527,0.266985,
528,0.273650,
529,0.277256,
530,0.280020,
531,0.279551,
532,0.280137,
533,0.281239,
534,0.282268,
535,0.282319,
536,0.282131,
537,0.280632,
538,0.278166,
539,0.275927,
540,0.272263,
541,0.270872,
542,0.266776,
543,0.261021,
544,0.254300,
545,0.248225,
546,0.243652,
547,0.240468,
548,0.235435,
549,0.229349,
550,0.221354,
551,0.214516,
552,0.208027,
553,0.202261,
554,0.195549,
555,0.188781,
556,0.182202,
557,0.176153,
558,0.170709,
559,0.165965,
560,0.160080,
561,0.154050,
562,0.147376,
563,0.141171,
564,0.134682,
565,0.130176,
566,0.125519,
567,0.120632,
568,0.114576,
569,0.111675,
570,0.109528,
571,0.106222,
572,0.101686,
573,0.096183,
574,0.094083,
575,0.092300,
576,0.091646,
577,0.091327,
578,0.088363,
579,0.086060,
580,0.083209,
581,0.080729,
582,0.079639,
583,0.076588,
584,0.074656,
585,0.074079,
586,0.073484,
587,0.074991,
588,0.076006,
589,0.078338,
590,0.078956,
591,0.077751,
592,0.075933,
593,0.074960,
594,0.072855,
595,0.073427,
596,0.072991,
597,0.072434,
598,0.072190,
599,0.070505,
600,0.069603,
601,0.070680,
602,0.070478,
603,0.072375,
604,0.074695,
605,0.077039,
606,0.083391,
607,0.087293,
608,0.090376,
609,0.094646,
610,0.103275,
611,0.121326,
612,0.137280,
613,0.139662,
614,0.128587,
615,0.111749,
616,0.099736,
617,0.095523,
618,0.095451,
619,0.097817,
620,0.099343,
621,0.099985,
622,0.102579,
623,0.107824,
624,0.115444,
625,0.122647,
626,0.134378,
627,0.157881,
628,0.201502,
629,0.246793,
630,0.263231,
631,0.247346,
632,0.216743,
633,0.195665,
634,0.180486,
635,0.158844,
636,0.126449,
637,0.088742,
638,0.061451,
639,0.048330,
640,0.043938,
641,0.041862,
642,0.041496,
643,0.039887,
644,0.041415,
645,0.046993,
646,0.055354,
647,0.057832,
648,0.055572,
649,0.046444,
650,0.039811,
651,0.035082,
652,0.030365,
653,0.029957,
654,0.029884,
655,0.030342,
656,0.028136,
657,0.025085,
658,0.022083,
659,0.023228,
660,0.024150,
661,0.024590,
662,0.023604,
663,0.020617,
664,0.018980,
665,0.019588,
666,0.021328,
667,0.022454,
668,0.021144,
669,0.018169,
670,0.015745,
671,0.014802,
672,0.014992,
673,0.014932,
674,0.013774,
675,0.013113,
676,0.012420,
677,0.011393,
678,0.010238,
679,0.008758,
680,0.008930,
681,0.009933,
682,0.012690,
683,0.012568,
684,0.009615,
685,0.005402,
686,0.002514,
687,0.003000,
688,0.004023,
689,0.003361,
690,0.002709,
691,0.002215,
692,0.005446,
693,0.008336,
694,0.008992,
695,0.007722,
696,0.007025,
697,0.006311,
698,0.007293,
699,0.005908,
700,0.004242,
701,0.002723,
702,0.004026,
703,0.004964,
704,0.006406,
705,0.005227,
706,0.003476,
707,0.003442,
708,0.004079,
709,0.005396,
710,0.007113,
711,0.009678,
712,0.011573,
713,0.011476,
714,0.008290,
715,0.005670,
716,0.004259,
717,0.003876,
718,0.003136,
719,0.002589,
720,0.002890,
721,0.003873,
722,0.003981,
723,0.004280,
724,0.009747,
725,0.012929,
726,0.014964,
727,0.013617,
728,0.011488,
729,0.010675,
730,0.007650,
731,0.005540,
732,0.005115,
733,0.007437,
734,0.007946,
735,0.005733,
736,0.003657,
737,0.002961,
738,0.002907,
739,0.004091,
740,0.005176,
741,0.004896,
742,0.005647,
743,0.004789,
744,0.004040,
745,0.003606,
746,0.002219,
747,0.002588,
748,0.002917,
749,0.002606,
750,0.001619,
751,0.001027,
752,0.001540,
753,0.002920,
754,0.003131,
755,0.002984,
756,0.005317,
757,0.004680,
758,0.004749,
759,0.003978,
760,0.003180,
761,0.007230,
762,0.010156,
763,0.010072,
764,0.009059,
765,0.009518,
766,0.008814,
767,0.008329,
768,0.005460,
769,0.002786,
770,0.004346,
771,0.007202,
772,0.007535,
773,0.007302,
774,0.003582,
775,0.003135,
776,0.004407,
777,0.004742,
778,0.003500,
779,0.002223,
780,0.000854,
