Types,OHSP-350
version,1.60.2
Describe,OHS
Test date,2026-02-25
Test time,19:35:25
E(lx),33.17
Candle E(fc),3.08
CCT(K),100000
Duv,-0.13595
CIE x,0.3110
CIE y,0.1407
CIE u,0.3060
CIE v,0.2076
CIE u',0.3060
CIE v',0.3114
SDCM,88.51
Ra,-52.4
R1,-100
R2,-64
R3,51
R4,-67
R5,-93
R6,-72
R7,53
R8,-100
R9,-100
R10,-100
R11,-100
R12,-82
R13,-100
R14,69
R15,-100
Ee(mW/c©O),0.022
S/P,3.299
Dominant(nm),559.20
Purity(%),64.9
Half width(nm),8.3
Peak(nm),630.1
Center(nm),631.7
Centroid(nm),531.9
R ratio(%),59.1
G ratio(%),30.5
B ratio(%),10.4
CIE1931 X,107.386
CIE1931 Y,48.560
CIE1931 Z,189.295
TLCI-2012,23
Integral Time(ms),610.00
Peak Signal,51756
Dark Signal,3493
Compensate level,2964
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000085,
426,0.003529,
427,0.014958,
428,0.038605,
429,0.087615,
430,0.167481,
431,0.277845,
432,0.411303,
433,0.565306,
434,0.741313,
435,0.949598,
436,1.169575,
437,1.454050,
438,1.780134,
439,2.151862,
440,2.564472,
441,3.017613,
442,3.499844,
443,3.994102,
444,4.483298,
445,4.923559,
446,5.289237,
447,5.547645,
448,5.680124,
449,5.628857,
450,5.417677,
451,5.060802,
452,4.624776,
453,4.210383,
454,3.739434,
455,3.309527,
456,2.946448,
457,2.654671,
458,2.425898,
459,2.239591,
460,2.083234,
461,1.941817,
462,1.809421,
463,1.675204,
464,1.533199,
465,1.387195,
466,1.263175,
467,1.124049,
468,0.992048,
469,0.872855,
470,0.762673,
471,0.667723,
472,0.577488,
473,0.497123,
474,0.431711,
475,0.382311,
476,0.334528,
477,0.290125,
478,0.253219,
479,0.225058,
480,0.203301,
481,0.183773,
482,0.160898,
483,0.142515,
484,0.122602,
485,0.101855,
486,0.084958,
487,0.072984,
488,0.067236,
489,0.062454,
490,0.053273,
491,0.045617,
492,0.045825,
493,0.051596,
494,0.056437,
495,0.061107,
496,0.058771,
497,0.066523,
498,0.068513,
499,0.083423,
500,0.092263,
501,0.101787,
502,0.104786,
503,0.108592,
504,0.117375,
505,0.134939,
506,0.154025,
507,0.168308,
508,0.183193,
509,0.203756,
510,0.220931,
511,0.237931,
512,0.250745,
513,0.260930,
514,0.277565,
515,0.302297,
516,0.320676,
517,0.334863,
518,0.338020,
519,0.337767,
520,0.340650,
521,0.348037,
522,0.359911,
523,0.368167,
524,0.373567,
525,0.375794,
526,0.377148,
527,0.374873,
528,0.368991,
529,0.360024,
530,0.353812,
531,0.341903,
532,0.332526,
533,0.322146,
534,0.312790,
535,0.305659,
536,0.297572,
537,0.289927,
538,0.276033,
539,0.260791,
540,0.244135,
541,0.226421,
542,0.208792,
543,0.192894,
544,0.182781,
545,0.176935,
546,0.168252,
547,0.158023,
548,0.142729,
549,0.136531,
550,0.126177,
551,0.119441,
552,0.111640,
553,0.104734,
554,0.098686,
555,0.091576,
556,0.080708,
557,0.074427,
558,0.072410,
559,0.067885,
560,0.065204,
561,0.057210,
562,0.049778,
563,0.045563,
564,0.038956,
565,0.031306,
566,0.029766,
567,0.026777,
568,0.029870,
569,0.027018,
570,0.024661,
571,0.019380,
572,0.018412,
573,0.015916,
574,0.018563,
575,0.019326,
576,0.023970,
577,0.036504,
578,0.046349,
579,0.056315,
580,0.063966,
581,0.074253,
582,0.096682,
583,0.117493,
584,0.140046,
585,0.162659,
586,0.188684,
587,0.212786,
588,0.227129,
589,0.241830,
590,0.260115,
591,0.275776,
592,0.291669,
593,0.302917,
594,0.309761,
595,0.330927,
596,0.355053,
597,0.377138,
598,0.385231,
599,0.374867,
600,0.364770,
601,0.365622,
602,0.374527,
603,0.390623,
604,0.437565,
605,0.578548,
606,0.844573,
607,1.105480,
608,1.294745,
609,1.424631,
610,1.676614,
611,2.231343,
612,2.776740,
613,2.875859,
614,2.435064,
615,1.745506,
616,1.263822,
617,1.018964,
618,0.949304,
619,0.936104,
620,0.921427,
621,0.914129,
622,0.939289,
623,1.006946,
624,1.106491,
625,1.251851,
626,1.624451,
627,2.499594,
628,4.182119,
629,5.883723,
630,6.762433,
631,6.475586,
632,5.731481,
633,5.239800,
634,4.891735,
635,4.240707,
636,3.145731,
637,1.801522,
