Types,OHSP-350
version,1.60.2
Describe,OHS
Test date,2026-02-25
Test time,19:46:13
E(lx),947.97
Candle E(fc),88.07
CCT(K),1001
Duv,-0.05698
CIE x,0.5283
CIE y,0.2383
CIE u,0.4400
CIE v,0.2977
CIE u',0.4400
CIE v',0.4465
SDCM,100.00
Ra,-14.5
R1,87
R2,12
R3,-75
R4,50
R5,22
R6,-100
R7,-51
R8,-36
R9,-52
R10,-91
R11,84
R12,-100
R13,49
R14,14
R15,60
Ee(mW/c©O),0.490
S/P,1.411
Dominant(nm),699.20
Purity(%),76.7
Half width(nm),13.6
Peak(nm),627.8
Center(nm),626.1
Centroid(nm),589.1
R ratio(%),89.3
G ratio(%),2.8
B ratio(%),7.9
CIE1931 X,3077.473
CIE1931 Y,1387.945
CIE1931 Z,1360.151
TLCI-2012,1
Integral Time(ms),21.00
Peak Signal,52130
Dark Signal,2214
Compensate level,2964
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000000,
430,0.000000,
431,0.000000,
432,0.000000,
433,0.000000,
434,0.012955,
435,0.052498,
436,0.128722,
437,0.242464,
438,0.383717,
439,0.552679,
440,0.745950,
441,0.974801,
442,1.235247,
443,1.533527,
444,1.880409,
445,2.276403,
446,2.740714,
447,3.296062,
448,3.933914,
449,4.671484,
450,5.489707,
451,6.436043,
452,7.528047,
453,8.674083,
454,10.119069,
455,11.786101,
456,13.736832,
457,16.082779,
458,18.898420,
459,22.127094,
460,25.760160,
461,29.711147,
462,34.006886,
463,38.488842,
464,42.826374,
465,46.683983,
466,49.438862,
467,51.487873,
468,52.233738,
469,51.438534,
470,49.425594,
471,46.269737,
472,42.616955,
473,38.445675,
474,34.225109,
475,30.695341,
476,27.176151,
477,24.209150,
478,21.857197,
479,19.966822,
480,18.466459,
481,17.152040,
482,16.001024,
483,14.911961,
484,14.008779,
485,12.958199,
486,11.839113,
487,10.664973,
488,9.489535,
489,8.364902,
490,7.318877,
491,6.371232,
492,5.516230,
493,4.857525,
494,4.238067,
495,3.710633,
496,3.278937,
497,2.915667,
498,2.613136,
499,2.364809,
500,2.162774,
501,1.966699,
502,1.769702,
503,1.582929,
504,1.396517,
505,1.216951,
506,1.037778,
507,0.899238,
508,0.749311,
509,0.630513,
510,0.519643,
511,0.426345,
512,0.334025,
513,0.259518,
514,0.206990,
515,0.158997,
516,0.113814,
517,0.070792,
518,0.031800,
519,0.012325,
520,0.002389,
521,0.000000,
522,0.000000,
523,0.000000,
524,0.000000,
525,0.000000,
526,0.000000,
527,0.000000,
528,0.000000,
529,0.000000,
530,0.000000,
531,0.000000,
532,0.000000,
533,0.000000,
534,0.000000,
535,0.000000,
536,0.000000,
537,0.000000,
538,0.000000,
539,0.000000,
540,0.000000,
541,0.000000,
542,0.000000,
543,0.000000,
544,0.000000,
545,0.000000,
546,0.000000,
547,0.000000,
548,0.000000,
549,0.000000,
550,0.000000,
551,0.000000,
552,0.000000,
553,0.000000,
554,0.000000,
555,0.000000,
556,0.000000,
557,0.000000,
558,0.000000,
559,0.000000,
560,0.000000,
561,0.000000,
562,0.000000,
563,0.000000,
564,0.000000,
565,0.000000,
566,0.000000,
567,0.000000,
568,0.000000,
569,0.000000,
570,0.000000,
571,0.000000,
572,0.000000,
573,0.000000,
574,0.000000,
575,0.000000,
576,0.001113,
577,0.011364,
578,0.025560,
579,0.053048,
580,0.088592,
581,0.135628,
582,0.206863,
583,0.274674,
584,0.360323,
585,0.434494,
586,0.552632,
587,0.696610,
588,0.866460,
589,1.116538,
590,1.417715,
591,1.768089,
592,2.242641,
593,2.807552,
594,3.480125,
595,4.245978,
596,5.020009,
597,6.001155,
598,7.100196,
599,8.203119,
600,9.585340,
601,11.147830,
602,12.701186,
603,14.659364,
604,16.882917,
605,19.424488,
606,22.323227,
607,25.265949,
608,28.975027,
609,33.213978,
610,37.505127,
611,42.968651,
612,49.156044,
613,55.293392,
614,62.810947,
615,70.898659,
616,78.492165,
617,87.354797,
618,96.610031,
619,105.549889,
620,116.704811,
621,129.590958,
622,143.015564,
623,160.348343,
624,179.531494,
625,198.783463,
626,213.960693,
627,220.841965,
628,219.812103,
629,208.214325,
630,190.359055,
631,162.889832,
632,132.515717,
633,107.274223,
634,83.224518,
635,64.212631,
636,51.406776,
637,40.457630,
