Types,OHSP-350
version,1.60.2
Describe,OHS
Test date,2026/2/25
Test time,19:27:05
E(lx),22.26
Candle E(fc),2.07
CCT(K),1001
Duv,-0.00405
CIE x,0.6679
CIE y,0.3254
CIE u,0.4797
CIE v,0.3506
CIE u',0.4797
CIE v',0.5259
SDCM,100
Ra,57.1
R1,57
R2,95
R3,69
R4,55
R5,66
R6,75
R7,39
R8,0
R9,-87
R10,93
R11,85
R12,46
R13,72
R14,86
R15,24
Ee(mW/c©O),0.009
S/P,0.182
Dominant(nm),612.9
Purity(%),98.1
Half width(nm),8.3
Peak(nm),630.1
Center(nm),631.7
Centroid(nm),622.5
R ratio(%),83.4
G ratio(%),16.5
B ratio(%),0
CIE1931 X,66.887
CIE1931 Y,32.589
CIE1931 Z,0.669
TLCI-2012,11
Integral Time(ms),640
Peak Signal,52182
Dark Signal,3597
Compensate level,2966
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0.000177
441,0.002981
442,0.005335
443,0.008723
444,0.011648
445,0.015531
446,0.024601
447,0.029908
448,0.03274
449,0.033241
450,0.031712
451,0.027387
452,0.019584
453,0.013075
454,0.012175
455,0.014595
456,0.016701
457,0.012302
458,0.006751
459,0.002188
460,0.000227
461,0.000123
462,0.000245
463,0.000245
464,0.000196
465,0
466,0.000576
467,0.000805
468,0.000981
469,0.00143
470,0.001686
471,0.00171
472,0.000916
473,0.000375
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0.000222
494,0.00026
495,0.000258
496,0.000325
497,0.000705
498,0.000704
499,0.000708
500,0.000143
501,0.000028
502,0.000028
503,0.000006
504,0
505,0.000042
506,0.000491
507,0.001461
508,0.001443
509,0.003977
510,0.00452
511,0.004438
512,0.003962
513,0.002019
514,0.007411
515,0.019031
516,0.029973
517,0.038625
518,0.036677
519,0.031304
520,0.029344
521,0.030559
522,0.037343
523,0.038877
524,0.042168
525,0.043652
526,0.046655
527,0.049015
528,0.050767
529,0.051509
530,0.055213
531,0.051729
532,0.053161
533,0.055235
534,0.058871
535,0.064877
536,0.066531
537,0.070156
538,0.068175
539,0.06432
540,0.058282
541,0.050055
542,0.043193
543,0.038924
544,0.039643
545,0.04287
546,0.041596
547,0.037752
548,0.030434
549,0.032922
550,0.031499
551,0.030174
552,0.026182
553,0.022775
554,0.02201
555,0.020631
556,0.015405
557,0.014593
558,0.018404
559,0.019297
560,0.021656
561,0.01667
562,0.012913
563,0.011996
564,0.008278
565,0.006094
566,0.005682
567,0.004278
568,0.006681
569,0.006648
570,0.007391
571,0.005956
572,0.006842
573,0.005955
574,0.009236
575,0.010414
576,0.014916
577,0.026811
578,0.037302
579,0.04743
580,0.055918
581,0.068995
582,0.09323
583,0.117172
584,0.142342
585,0.165909
586,0.193663
587,0.218151
588,0.232307
589,0.247173
590,0.263568
591,0.276753
592,0.291555
593,0.3019
594,0.309406
595,0.332077
596,0.35705
597,0.38077
598,0.389975
599,0.380807
600,0.371525
601,0.370688
602,0.376456
603,0.389752
604,0.434597
605,0.569428
606,0.823579
607,1.067028
608,1.243228
609,1.367243
610,1.613791
611,2.154566
612,2.679255
613,2.768091
614,2.331315
615,1.654582
616,1.182001
617,0.937531
618,0.864485
619,0.841856
620,0.815294
621,0.796706
622,0.812757
623,0.87097
624,0.95397
625,1.075683
626,1.423298
627,2.269245
628,3.921646
629,5.591807
630,6.452394
631,6.182684
632,5.475224
633,5.021504
634,4.707357
635,4.079404
636,3.013763
637,1.711035
638,0.80856
639,0.432913
640,0.266717
641,0.196641
642,0.178898
643,0.215491
644,0.381345
645,0.651757
646,0.958228
647,1.069976
648,0.930569
649,0.625055
650,0.369534
651,0.250646
652,0.195729
653,0.156108
654,0.123654
655,0.096438
656,0.077377
657,0.070163
658,0.054701
659,0.045749
660,0.038508
661,0.030387
662,0.021517
663,0.01101
664,0.001452
665,0.001728
666,0.003484
667,0.007417
668,0.014375
669,0.017271
670,0.016102
671,0.010991
672,0.002388
673,0.001006
674,0
675,0
676,0
677,0
678,0.000187
679,0.003417
680,0.003618
681,0.005166
682,0.006418
683,0.004858
684,0.004797
685,0.001262
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,0
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,0
729,0
730,0
731,0
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,0
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
