Types,OHSP-350
version,1.60.2
Describe,OHS
Test date,2026-02-25
Test time,19:42:26
E(lx),216.55
Candle E(fc),20.12
CCT(K),1001
Duv,-0.00692
CIE x,0.6926
CIE y,0.3073
CIE u,0.5225
CIE v,0.3477
CIE u',0.5225
CIE v',0.5216
SDCM,100.00
Ra,4.5
R1,-4
R2,74
R3,24
R4,-37
R5,-7
R6,91
R7,-9
R8,-96
R9,-100
R10,66
R11,-23
R12,78
R13,21
R14,56
R15,-53
Ee(mW/c©O),0.095
S/P,0.050
Dominant(nm),620.60
Purity(%),100.0
Half width(nm),13.4
Peak(nm),627.3
Center(nm),626.2
Centroid(nm),624.2
R ratio(%),98.1
G ratio(%),1.9
B ratio(%),0.0
CIE1931 X,714.727
CIE1931 Y,317.064
CIE1931 Z,0.136
TLCI-2012,1
Integral Time(ms),82.00
Peak Signal,54015
Dark Signal,2326
Compensate level,2964
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000000,
430,0.000000,
431,0.000000,
432,0.000000,
433,0.000000,
434,0.000000,
435,0.000000,
436,0.000000,
437,0.000000,
438,0.000000,
439,0.000000,
440,0.000000,
441,0.000000,
442,0.000000,
443,0.000000,
444,0.000000,
445,0.000000,
446,0.000000,
447,0.000000,
448,0.000000,
449,0.000000,
450,0.000000,
451,0.000000,
452,0.000000,
453,0.000000,
454,0.000000,
455,0.000000,
456,0.000000,
457,0.000000,
458,0.000000,
459,0.000000,
460,0.000000,
461,0.000000,
462,0.000000,
463,0.000000,
464,0.000000,
465,0.000000,
466,0.000000,
467,0.000000,
468,0.000000,
469,0.000000,
470,0.000000,
471,0.000000,
472,0.000000,
473,0.000000,
474,0.000000,
475,0.000000,
476,0.000000,
477,0.000000,
478,0.000000,
479,0.000000,
480,0.000000,
481,0.000000,
482,0.000000,
483,0.000000,
484,0.000000,
485,0.000000,
486,0.000000,
487,0.000000,
488,0.000000,
489,0.000000,
490,0.000000,
491,0.000000,
492,0.000000,
493,0.000000,
494,0.000000,
495,0.000000,
496,0.000000,
497,0.000000,
498,0.000000,
499,0.000000,
500,0.000000,
501,0.000000,
502,0.000000,
503,0.000000,
504,0.000000,
505,0.000000,
506,0.000000,
507,0.000000,
508,0.000000,
509,0.000000,
510,0.000000,
511,0.000000,
512,0.000000,
513,0.000000,
514,0.000000,
515,0.000000,
516,0.000000,
517,0.000000,
518,0.000000,
519,0.000000,
520,0.000000,
521,0.000000,
522,0.000000,
523,0.000000,
524,0.000000,
525,0.000000,
526,0.000000,
527,0.000000,
528,0.000000,
529,0.000000,
530,0.000000,
531,0.000000,
532,0.000000,
533,0.000000,
534,0.000000,
535,0.000000,
536,0.000000,
537,0.000000,
538,0.000000,
539,0.000000,
540,0.000000,
541,0.000000,
542,0.000000,
543,0.000000,
544,0.000000,
545,0.000000,
546,0.000000,
547,0.000000,
548,0.000000,
549,0.000000,
550,0.000000,
551,0.000000,
552,0.000000,
553,0.000000,
554,0.000000,
555,0.000000,
556,0.000000,
557,0.000000,
558,0.000000,
559,0.000000,
560,0.000000,
561,0.000000,
562,0.000000,
563,0.000000,
564,0.000000,
565,0.000000,
566,0.000000,
567,0.000000,
568,0.000000,
569,0.000000,
570,0.000000,
571,0.000000,
572,0.000000,
573,0.000000,
574,0.000000,
575,0.000000,
576,0.000341,
577,0.001896,
578,0.001908,
579,0.001920,
580,0.000617,
581,0.003211,
582,0.011777,
583,0.022152,
584,0.039889,
585,0.054992,
586,0.078549,
587,0.107052,
588,0.132985,
589,0.172896,
590,0.232809,
591,0.296697,
592,0.395462,
593,0.506348,
594,0.633345,
595,0.797722,
596,0.969993,
597,1.205393,
598,1.467438,
599,1.721548,
600,2.043641,
601,2.421615,
602,2.809470,
603,3.311909,
604,3.890079,
605,4.548244,
606,5.312176,
607,6.083745,
608,7.075653,
609,8.213183,
610,9.366178,
611,10.835609,
612,12.487362,
613,14.134680,
614,16.166216,
615,18.342497,
616,20.368372,
617,22.704468,
618,25.108780,
619,27.421310,
620,30.292164,
621,33.622894,
622,37.166973,
623,41.803936,
624,47.076958,
625,52.443295,
626,56.655109,
627,58.457962,
628,57.987705,
629,54.769897,
630,49.875885,
631,42.562374,
632,34.346581,
633,27.569422,
634,21.173775,
635,16.144466,
636,12.765143,
637,9.880424,
