Types,OHSP-350
version,1.60.2
Describe,OHS
Test date,2026-02-25
Test time,19:29:13
E(lx),12.57
Candle E(fc),1.17
CCT(K),1001
Duv,-0.00486
CIE x,0.6447
CIE y,0.3319
CIE u,0.4529
CIE v,0.3498
CIE u',0.4529
CIE v',0.5247
SDCM,100.00
Ra,72.0
R1,85
R2,93
R3,82
R4,90
R5,95
R6,56
R7,50
R8,25
R9,-32
R10,90
R11,65
R12,11
R13,97
R14,94
R15,52
Ee(mW/c©O),0.005
S/P,0.311
Dominant(nm),610.70
Purity(%),93.1
Half width(nm),8.3
Peak(nm),630.1
Center(nm),631.7
Centroid(nm),618.6
R ratio(%),76.4
G ratio(%),23.4
B ratio(%),0.2
CIE1931 X,35.741
CIE1931 Y,18.401
CIE1931 Z,1.298
TLCI-2012,10
Integral Time(ms),1200.00
Peak Signal,50732
Dark Signal,2647
Compensate level,2934
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000000,
430,0.000069,
431,0.000172,
432,0.000201,
433,0.000320,
434,0.000150,
435,0.000149,
436,0.000037,
437,0.000250,
438,0.000622,
439,0.001206,
440,0.003636,
441,0.011463,
442,0.018693,
443,0.026153,
444,0.028725,
445,0.031989,
446,0.040453,
447,0.045311,
448,0.047631,
449,0.047740,
450,0.046629,
451,0.042637,
452,0.035602,
453,0.029072,
454,0.029940,
455,0.032135,
456,0.034770,
457,0.028758,
458,0.018927,
459,0.009679,
460,0.005580,
461,0.006122,
462,0.006860,
463,0.004474,
464,0.001984,
465,0.000431,
466,0.003732,
467,0.005016,
468,0.006367,
469,0.008854,
470,0.008992,
471,0.009004,
472,0.004985,
473,0.002062,
474,0.000859,
475,0.000637,
476,0.000419,
477,0.000335,
478,0.000200,
479,0.000199,
480,0.000274,
481,0.000236,
482,0.000141,
483,0.000485,
484,0.000513,
485,0.000500,
486,0.000375,
487,0.000000,
488,0.000000,
489,0.000000,
490,0.000000,
491,0.000000,
492,0.000833,
493,0.002594,
494,0.003449,
495,0.004580,
496,0.003398,
497,0.004488,
498,0.003026,
499,0.006007,
500,0.007624,
501,0.007852,
502,0.006224,
503,0.002339,
504,0.001076,
505,0.003554,
506,0.007209,
507,0.010417,
508,0.010749,
509,0.014013,
510,0.013210,
511,0.013092,
512,0.011827,
513,0.008661,
514,0.013013,
515,0.025470,
516,0.035037,
517,0.042336,
518,0.039498,
519,0.033194,
520,0.031990,
521,0.032980,
522,0.037884,
523,0.038120,
524,0.039766,
525,0.040633,
526,0.043758,
527,0.045094,
528,0.045621,
529,0.045291,
530,0.048358,
531,0.044237,
532,0.044338,
533,0.045703,
534,0.049141,
535,0.054882,
536,0.055823,
537,0.059213,
538,0.057061,
539,0.054275,
540,0.049532,
541,0.042994,
542,0.037906,
543,0.033598,
544,0.034550,
545,0.037799,
546,0.038087,
547,0.036642,
548,0.030962,
549,0.034376,
550,0.033039,
551,0.031546,
552,0.028227,
553,0.027560,
554,0.029456,
555,0.029789,
556,0.024554,
557,0.023496,
558,0.027659,
559,0.029458,
560,0.032196,
561,0.027005,
562,0.022455,
563,0.020689,
564,0.017003,
565,0.014022,
566,0.015385,
567,0.015025,
568,0.020100,
569,0.019713,
570,0.020035,
571,0.017221,
572,0.020191,
573,0.020654,
574,0.026538,
575,0.028499,
576,0.033612,
577,0.044105,
578,0.050868,
579,0.055307,
580,0.058129,
581,0.061812,
582,0.075985,
583,0.088884,
584,0.101919,
585,0.113942,
586,0.127025,
587,0.139302,
588,0.145499,
589,0.153301,
590,0.163045,
591,0.170359,
592,0.179650,
593,0.183821,
594,0.184401,
595,0.193225,
596,0.206278,
597,0.218531,
598,0.225481,
599,0.220175,
600,0.211377,
601,0.209189,
602,0.210063,
603,0.217176,
604,0.240763,
605,0.307208,
606,0.434186,
607,0.554662,
608,0.642442,
609,0.705228,
610,0.825864,
611,1.095824,
612,1.355715,
613,1.400492,
614,1.186331,
615,0.851695,
616,0.618066,
617,0.499816,
618,0.463381,
619,0.454100,
620,0.441833,
621,0.429302,
622,0.437385,
623,0.467510,
624,0.515107,
625,0.580950,
626,0.755074,
627,1.170171,
628,1.999298,
629,2.867635,
630,3.300753,
631,3.161211,
632,2.768851,
633,2.511889,
634,2.350573,
635,2.039328,
636,1.516284,
637,0.873101,
638,0.425550,
