Types,OHSP-350
version,1.60.2
Describe,OHS
Test date,2026-02-25
Test time,19:29:33
E(lx),10.57
Candle E(fc),0.98
CCT(K),1115
Duv,-0.00885
CIE x,0.6143
CIE y,0.3376
CIE u,0.4221
CIE v,0.3479
CIE u',0.4221
CIE v',0.5218
SDCM,100.00
Ra,73.2
R1,97
R2,85
R3,85
R4,89
R5,84
R6,45
R7,57
R8,43
R9,2
R10,75
R11,45
R12,-7
R13,86
R14,95
R15,70
Ee(mW/c©O),0.004
S/P,0.483
Dominant(nm),608.70
Purity(%),85.6
Half width(nm),8.3
Peak(nm),630.1
Center(nm),631.7
Centroid(nm),613.3
R ratio(%),68.9
G ratio(%),30.6
B ratio(%),0.5
CIE1931 X,28.159
CIE1931 Y,15.474
CIE1931 Z,2.203
TLCI-2012,13
Integral Time(ms),1700.00
Peak Signal,49690
Dark Signal,2232
Compensate level,2916
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000266,
381,0.000254,
382,0.000051,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000057,
388,0.000254,
389,0.000248,
390,0.000241,
391,0.000008,
392,0.000000,
393,0.000389,
394,0.000499,
395,0.000490,
396,0.000285,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000489,
421,0.000491,
422,0.000484,
423,0.000129,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000000,
430,0.000399,
431,0.000909,
432,0.000935,
433,0.001175,
434,0.000576,
435,0.000872,
436,0.000673,
437,0.001047,
438,0.001700,
439,0.005437,
440,0.011103,
441,0.021264,
442,0.030631,
443,0.038817,
444,0.045201,
445,0.049457,
446,0.058163,
447,0.062736,
448,0.066127,
449,0.067946,
450,0.067787,
451,0.064997,
452,0.058281,
453,0.051178,
454,0.049328,
455,0.049072,
456,0.051283,
457,0.045312,
458,0.034588,
459,0.023029,
460,0.018295,
461,0.019841,
462,0.020467,
463,0.018421,
464,0.014336,
465,0.010833,
466,0.013501,
467,0.012484,
468,0.013166,
469,0.016280,
470,0.017829,
471,0.019215,
472,0.014298,
473,0.009201,
474,0.006820,
475,0.005975,
476,0.004440,
477,0.003133,
478,0.001474,
479,0.001592,
480,0.002523,
481,0.002440,
482,0.001672,
483,0.002110,
484,0.001311,
485,0.001119,
486,0.001003,
487,0.000781,
488,0.001700,
489,0.001825,
490,0.001408,
491,0.000968,
492,0.003622,
493,0.008046,
494,0.010382,
495,0.011709,
496,0.007974,
497,0.008394,
498,0.006137,
499,0.011821,
500,0.015582,
501,0.017136,
502,0.013560,
503,0.008100,
504,0.006518,
505,0.010242,
506,0.015521,
507,0.017201,
508,0.019359,
509,0.023583,
510,0.023790,
511,0.023553,
512,0.022406,
513,0.021202,
514,0.026218,
515,0.037552,
516,0.045690,
517,0.052334,
518,0.049956,
519,0.043819,
520,0.041470,
521,0.043583,
522,0.049540,
523,0.050647,
524,0.051639,
525,0.050593,
526,0.051983,
527,0.053697,
528,0.054688,
529,0.054564,
530,0.056508,
531,0.052942,
532,0.052627,
533,0.054372,
534,0.056777,
535,0.060518,
536,0.062120,
537,0.064124,
538,0.062664,
539,0.060193,
540,0.055250,
541,0.050494,
542,0.046349,
543,0.043036,
544,0.044989,
545,0.047117,
546,0.046640,
547,0.045711,
548,0.040464,
549,0.043469,
550,0.041822,
551,0.041639,
552,0.039823,
553,0.040534,
554,0.040698,
555,0.040035,
556,0.034783,
557,0.035670,
558,0.039565,
559,0.040289,
560,0.042145,
561,0.038335,
562,0.035064,
563,0.034181,
564,0.030030,
565,0.026687,
566,0.029058,
567,0.028689,
568,0.033236,
569,0.032847,
570,0.033843,
571,0.033236,
572,0.035112,
573,0.034842,
574,0.037505,
575,0.038565,
576,0.042347,
577,0.050685,
578,0.056215,
579,0.061151,
580,0.063656,
581,0.067033,
582,0.077061,
583,0.087061,
584,0.097229,
585,0.105658,
586,0.116117,
587,0.126493,
588,0.131387,
589,0.136113,
590,0.142406,
591,0.148798,
592,0.157286,
593,0.160727,
594,0.159522,
595,0.167850,
596,0.178813,
597,0.189247,
598,0.193223,
599,0.185326,
600,0.178766,
601,0.175929,
602,0.177072,
603,0.181902,
604,0.199814,
605,0.250014,
606,0.344288,
607,0.432107,
608,0.496194,
609,0.541830,
610,0.630216,
611,0.825536,
612,1.011404,
613,1.043021,
614,0.887211,
615,0.647329,
616,0.479551,
617,0.394882,
618,0.366938,
619,0.359633,
620,0.351126,
621,0.341351,
