Types,OHSP-350
version,1.60.2
Describe,OHS
Test date,2026-02-25
Test time,19:30:33
E(lx),8.15
Candle E(fc),0.76
CCT(K),1794
Duv,-0.02172
CIE x,0.5014
CIE y,0.3489
CIE u,0.3244
CIE v,0.3385
CIE u',0.3244
CIE v',0.5078
SDCM,34.39
Ra,71.9
R1,66
R2,73
R3,94
R4,62
R5,58
R6,43
R7,84
R8,95
R9,88
R10,53
R11,35
R12,8
R13,61
R14,95
R15,82
Ee(mW/c©O),0.003
S/P,1.126
Dominant(nm),602.50
Purity(%),55.2
Half width(nm),8.8
Peak(nm),630.1
Center(nm),631.7
Centroid(nm),592.6
R ratio(%),46.4
G ratio(%),51.7
B ratio(%),1.9
CIE1931 X,17.152
CIE1931 Y,11.933
CIE1931 Z,5.122
TLCI-2012,33
Integral Time(ms),3800.00
Peak Signal,50090
Dark Signal,1888
Compensate level,2894
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000590,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000039,
385,0.000063,
386,0.000062,
387,0.000371,
388,0.000311,
389,0.000315,
390,0.000164,
391,0.000045,
392,0.000784,
393,0.002120,
394,0.002852,
395,0.004192,
396,0.003206,
397,0.002785,
398,0.002818,
399,0.003362,
400,0.004004,
401,0.003638,
402,0.003249,
403,0.002517,
404,0.002564,
405,0.004426,
406,0.004402,
407,0.004196,
408,0.002146,
409,0.000350,
410,0.000476,
411,0.000311,
412,0.000884,
413,0.001614,
414,0.001866,
415,0.001826,
416,0.001543,
417,0.002964,
418,0.003282,
419,0.003343,
420,0.001673,
421,0.000298,
422,0.000120,
423,0.000169,
424,0.000286,
425,0.000651,
426,0.001192,
427,0.002662,
428,0.003981,
429,0.005427,
430,0.007622,
431,0.009830,
432,0.011899,
433,0.012994,
434,0.013460,
435,0.015777,
436,0.017985,
437,0.022660,
438,0.027875,
439,0.035764,
440,0.043447,
441,0.054205,
442,0.065023,
443,0.076575,
444,0.089021,
445,0.100176,
446,0.112568,
447,0.120582,
448,0.125130,
449,0.126907,
450,0.127364,
451,0.125642,
452,0.119397,
453,0.110989,
454,0.103112,
455,0.093822,
456,0.086364,
457,0.076135,
458,0.069785,
459,0.064247,
460,0.061052,
461,0.057543,
462,0.054320,
463,0.051756,
464,0.049957,
465,0.047012,
466,0.044126,
467,0.040880,
468,0.037632,
469,0.036539,
470,0.035699,
471,0.034573,
472,0.032387,
473,0.028575,
474,0.025568,
475,0.022628,
476,0.019535,
477,0.017726,
478,0.015855,
479,0.016933,
480,0.019180,
481,0.020319,
482,0.021251,
483,0.019912,
484,0.017726,
485,0.016015,
486,0.015693,
487,0.015322,
488,0.016669,
489,0.018719,
490,0.019441,
491,0.020518,
492,0.021598,
493,0.022620,
494,0.023958,
495,0.023942,
496,0.022936,
497,0.024244,
498,0.023929,
499,0.026714,
500,0.029977,
501,0.034733,
502,0.036677,
503,0.034630,
504,0.033325,
505,0.035091,
506,0.039436,
507,0.042825,
508,0.045085,
509,0.047891,
510,0.051275,
511,0.052772,
512,0.053723,
513,0.054372,
514,0.056737,
515,0.062227,
516,0.065540,
517,0.068663,
518,0.071003,
519,0.071844,
520,0.074841,
521,0.078970,
522,0.082813,
523,0.085244,
524,0.085757,
525,0.086051,
526,0.087452,
527,0.089492,
528,0.093154,
529,0.093576,
530,0.094494,
531,0.091659,
532,0.089829,
533,0.089570,
534,0.089618,
535,0.089067,
536,0.088713,
537,0.087514,
