Types,OHSP-350
version,1.60.2
Describe,OHS
Test date,2026-02-25
Test time,19:25:06
E(lx),5.21
Candle E(fc),0.48
CCT(K),1919
Duv,-0.01742
CIE x,0.4975
CIE y,0.3624
CIE u,0.3132
CIE v,0.3422
CIE u',0.3132
CIE v',0.5133
SDCM,26.04
Ra,77.1
R1,71
R2,79
R3,96
R4,67
R5,66
R6,55
R7,87
R8,96
R9,91
R10,65
R11,45
R12,33
R13,68
R14,94
R15,85
Ee(mW/c©O),0.002
S/P,1.132
Dominant(nm),597.60
Purity(%),58.1
Half width(nm),8.5
Peak(nm),630.1
Center(nm),631.6
Centroid(nm),589.0
R ratio(%),42.9
G ratio(%),55.3
B ratio(%),1.8
CIE1931 X,10.477
CIE1931 Y,7.633
CIE1931 Z,2.951
TLCI-2012,40
Integral Time(ms),5000.00
Peak Signal,42250
Dark Signal,4604
Compensate level,2934
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.001847,
381,0.000971,
382,0.000284,
383,0.000338,
384,0.000330,
385,0.000355,
386,0.000457,
387,0.000569,
388,0.001182,
389,0.000996,
390,0.000757,
391,0.000414,
392,0.000532,
393,0.001027,
394,0.001488,
395,0.002127,
396,0.001629,
397,0.001133,
398,0.000740,
399,0.001058,
400,0.001619,
401,0.001543,
402,0.001373,
403,0.001773,
404,0.001787,
405,0.002717,
406,0.002036,
407,0.001655,
408,0.000809,
409,0.000571,
410,0.000772,
411,0.001513,
412,0.001415,
413,0.001389,
414,0.001564,
415,0.001412,
416,0.001569,
417,0.001442,
418,0.001411,
419,0.001162,
420,0.000757,
421,0.000451,
422,0.000591,
423,0.000572,
424,0.000653,
425,0.000373,
426,0.000418,
427,0.000530,
428,0.001187,
429,0.002603,
430,0.003464,
431,0.004033,
432,0.003646,
433,0.003100,
434,0.002580,
435,0.002800,
436,0.002906,
437,0.004690,
438,0.006977,
439,0.011507,
440,0.015721,
441,0.022271,
442,0.028733,
443,0.035941,
444,0.044670,
445,0.053010,
446,0.062692,
447,0.069196,
448,0.072860,
449,0.075772,
450,0.077638,
451,0.079697,
452,0.077101,
453,0.072491,
454,0.068202,
455,0.061071,
456,0.056375,
457,0.048440,
458,0.043900,
459,0.040270,
460,0.037909,
461,0.035511,
462,0.033841,
463,0.032952,
464,0.031662,
465,0.029416,
466,0.027183,
467,0.025538,
468,0.024066,
469,0.023307,
470,0.022685,
471,0.021691,
472,0.020114,
473,0.017055,
474,0.014762,
475,0.012331,
476,0.010461,
477,0.009421,
478,0.009916,
479,0.010410,
480,0.012204,
481,0.012510,
482,0.013315,
483,0.012203,
484,0.010091,
485,0.007819,
486,0.007098,
487,0.007284,
488,0.008293,
489,0.010149,
490,0.010862,
491,0.011737,
492,0.013029,
493,0.013763,
494,0.014316,
495,0.014222,
496,0.013027,
497,0.014375,
498,0.014099,
499,0.016042,
500,0.018555,
501,0.022529,
502,0.024681,
503,0.022851,
504,0.021474,
505,0.021773,
506,0.024532,
507,0.026869,
508,0.027809,
509,0.029743,
510,0.032388,
511,0.033599,
512,0.034815,
513,0.034573,
514,0.035770,
515,0.040139,
516,0.043028,
517,0.045835,
518,0.047989,
519,0.048615,
520,0.050998,
521,0.054341,
522,0.057035,
523,0.058855,
524,0.058803,
525,0.058397,
526,0.058962,
527,0.060192,
528,0.062618,
529,0.062970,
530,0.064415,
531,0.062559,
532,0.061628,
533,0.061027,
534,0.060711,
535,0.059846,
536,0.059550,
537,0.058688,
538,0.056833,
539,0.056911,
540,0.055848,
541,0.056647,
542,0.056339,
543,0.054418,
544,0.052512,
545,0.051539,
546,0.051290,
547,0.053092,
548,0.053021,
549,0.052863,
550,0.050295,
551,0.048565,
552,0.047423,
553,0.047309,
554,0.046845,
555,0.046371,
556,0.045367,
557,0.045006,
558,0.046009,
559,0.046140,
560,0.045772,
561,0.044984,
562,0.043389,
563,0.042814,
564,0.041330,
565,0.042172,
566,0.042896,
567,0.043042,
568,0.042211,
569,0.043322,
570,0.044965,
571,0.045159,
572,0.043828,
573,0.042580,
574,0.044365,
575,0.045769,
576,0.047649,
577,0.049649,
578,0.049892,
579,0.051130,
580,0.051541,
581,0.052783,
582,0.054921,
583,0.055731,
584,0.057392,
585,0.060001,
586,0.062487,
587,0.066987,
588,0.070212,
589,0.074692,
590,0.077353,
591,0.077804,
592,0.078011,
593,0.078535,
594,0.077730,
595,0.079970,
596,0.081388,
597,0.083040,
598,0.084035,
599,0.082556,
600,0.081088,
601,0.082036,
