Types,OHSP-350
version,1.60.2
Describe,OHS
Test date,2026-02-25
Test time,19:41:59
E(lx),1545.77
Candle E(fc),143.61
CCT(K),2743
Duv,-0.01364
CIE x,0.4347
CIE y,0.3703
CIE u,0.2645
CIE v,0.3379
CIE u',0.2645
CIE v',0.5069
SDCM,15.43
Ra,26.6
R1,-1
R2,49
R3,81
R4,-4
R5,3
R6,17
R7,67
R8,0
R9,-82
R10,6
R11,-31
R12,-4
R13,4
R14,79
R15,10
Ee(mW/c©O),0.527
S/P,1.936
Dominant(nm),590.30
Purity(%),41.6
Half width(nm),13.8
Peak(nm),627.8
Center(nm),626.2
Centroid(nm),572.1
R ratio(%),41.8
G ratio(%),54.1
B ratio(%),4.1
CIE1931 X,2657.061
CIE1931 Y,2263.205
CIE1931 Z,1192.259
TLCI-2012,21
Integral Time(ms),27.00
Peak Signal,52651
Dark Signal,2723
Compensate level,2972
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000000,
430,0.000000,
431,0.000000,
432,0.000000,
433,0.000000,
434,0.004406,
435,0.028392,
436,0.074039,
437,0.153173,
438,0.255746,
439,0.370377,
440,0.526047,
441,0.695309,
442,0.907904,
443,1.141049,
444,1.420351,
445,1.746628,
446,2.115817,
447,2.547520,
448,3.043536,
449,3.619767,
450,4.278349,
451,5.032144,
452,5.918868,
453,6.844625,
454,8.017009,
455,9.376945,
456,10.955815,
457,12.867053,
458,15.144822,
459,17.768913,
460,20.719395,
461,23.916491,
462,27.396044,
463,31.004622,
464,34.514107,
465,37.650021,
466,39.901375,
467,41.555248,
468,42.171665,
469,41.540592,
470,39.934223,
471,37.400620,
472,34.427170,
473,31.052597,
474,27.673971,
475,24.862276,
476,22.039454,
477,19.658487,
478,17.763403,
479,16.233788,
480,15.033030,
481,14.001092,
482,13.121212,
483,12.310387,
484,11.607515,
485,10.811134,
486,9.978752,
487,9.137889,
488,8.306875,
489,7.512422,
490,6.803616,
491,6.194333,
492,5.676742,
493,5.310870,
494,5.009801,
495,4.822852,
496,4.761584,
497,4.782743,
498,4.903944,
499,5.091200,
500,5.331141,
501,5.669781,
502,6.093620,
503,6.621432,
504,7.245014,
505,8.002887,
506,8.886418,
507,9.820488,
508,11.019857,
509,12.387673,
510,13.987631,
511,15.791528,
512,17.802601,
513,20.037258,
514,22.180315,
515,24.691542,
516,27.327526,
517,30.043737,
518,32.858669,
519,35.400978,
520,38.024139,
521,40.427258,
522,42.532955,
523,44.353447,
524,45.709126,
525,46.528244,
526,46.842827,
527,46.660442,
528,46.048645,
529,44.976067,
530,43.502453,
531,42.054310,
532,40.079697,
533,37.968620,
534,35.774582,
535,33.569035,
536,31.741497,
537,29.724119,
538,27.846041,
539,26.102358,
540,24.493658,
541,23.203192,
542,21.836004,
543,20.580004,
544,19.394321,
545,18.285431,
546,17.355024,
547,16.328047,
548,15.353919,
549,14.390573,
550,13.459544,
551,12.634948,
552,11.716098,
553,10.841949,
554,10.009161,
555,9.220534,
556,8.561904,
557,7.861720,
558,7.209191,
559,6.670035,
560,6.102906,
561,5.587707,
562,5.122885,
563,4.713878,
564,4.380425,
565,4.049874,
566,3.754530,
567,3.477747,
568,3.240482,
569,3.039538,
570,2.839149,
571,2.644916,
572,2.476485,
573,2.291331,
574,2.131227,
575,1.980214,
576,1.859660,
577,1.764434,
578,1.663529,
579,1.568373,
580,1.492945,
581,1.420576,
582,1.364379,
583,1.326521,
584,1.297795,
585,1.283100,
586,1.284730,
587,1.309750,
588,1.372759,
589,1.494293,
590,1.681905,
591,1.911744,
592,2.235505,
593,2.625708,
594,3.083492,
595,3.622187,
596,4.185752,
597,4.901182,
598,5.723524,
599,6.529329,
600,7.572866,
601,8.782112,
602,9.988117,
603,11.534103,
604,13.257770,
605,15.225644,
606,17.494076,
607,19.785557,
608,22.701187,
609,26.000305,
610,29.334667,
611,33.570301,
612,38.355789,
613,43.121250,
614,48.946415,
615,55.241791,
616,61.170937,
617,68.113632,
618,75.379189,
619,82.311691,
620,90.919594,
621,100.794693,
622,111.152718,
623,124.515236,
624,139.357346,
625,154.307281,
626,166.251205,
627,171.617310,
628,171.060226,
629,162.646790,
630,149.267761,
631,128.773087,
632,105.275742,
633,85.503777,
634,66.503830,
635,51.342003,
636,41.080944,
637,32.292416,
