Types,OHSP-350
version,1.60.2
Describe,OHS
Test date,2026-02-25
Test time,19:28:07
E(lx),113.76
Candle E(fc),10.57
CCT(K),5713
Duv,0.00688
CIE x,0.3274
CIE y,0.3503
CIE u,0.2000
CIE v,0.3210
CIE u',0.2000
CIE v',0.4814
SDCM,10.26
Ra,65.6
R1,74
R2,89
R3,41
R4,57
R5,86
R6,80
R7,61
R8,37
R9,-26
R10,57
R11,57
R12,44
R13,85
R14,63
R15,60
Ee(mW/c©O),0.035
S/P,2.049
Dominant(nm),532.50
Purity(%),3.7
Half width(nm),8.3
Peak(nm),630.1
Center(nm),631.7
Centroid(nm),546.5
R ratio(%),21.4
G ratio(%),76.0
B ratio(%),2.5
CIE1931 X,155.689
CIE1931 Y,166.565
CIE1931 Z,153.214
TLCI-2012,44
Integral Time(ms),400.00
Peak Signal,46913
Dark Signal,2975
Compensate level,2964
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000036,
426,0.001630,
427,0.006380,
428,0.019209,
429,0.050506,
430,0.103285,
431,0.178624,
432,0.269857,
433,0.380706,
434,0.509936,
435,0.670411,
436,0.844752,
437,1.075058,
438,1.340946,
439,1.649355,
440,1.993356,
441,2.376295,
442,2.785980,
443,3.206709,
444,3.621374,
445,3.991598,
446,4.292770,
447,4.500025,
448,4.599777,
449,4.544725,
450,4.359234,
451,4.056676,
452,3.691900,
453,3.347810,
454,2.953283,
455,2.597410,
456,2.294593,
457,2.049769,
458,1.856882,
459,1.700233,
460,1.570223,
461,1.453700,
462,1.340186,
463,1.225121,
464,1.104228,
465,0.982660,
466,0.883199,
467,0.771715,
468,0.668108,
469,0.576252,
470,0.495634,
471,0.430229,
472,0.369899,
473,0.318116,
474,0.276990,
475,0.247202,
476,0.218705,
477,0.194518,
478,0.176869,
479,0.165879,
480,0.161404,
481,0.155605,
482,0.144620,
483,0.136457,
484,0.124645,
485,0.115520,
486,0.108781,
487,0.103272,
488,0.101657,
489,0.102909,
490,0.100989,
491,0.100632,
492,0.108785,
493,0.121407,
494,0.136330,
495,0.153053,
496,0.164866,
497,0.189576,
498,0.213815,
499,0.252503,
500,0.287502,
501,0.330045,
502,0.373100,
503,0.420236,
504,0.477974,
505,0.548336,
506,0.627743,
507,0.706606,
508,0.802932,
509,0.912631,
510,1.026162,
511,1.145771,
512,1.264964,
513,1.384274,
514,1.495393,
515,1.623415,
516,1.747778,
517,1.864643,
518,1.970301,
519,2.065871,
520,2.177980,
521,2.296614,
522,2.418891,
523,2.536102,
524,2.656181,
525,2.771477,
526,2.868445,
527,2.955879,
528,3.021380,
529,3.067377,
530,3.102342,
531,3.126576,
532,3.145425,
533,3.162226,
534,3.164583,
535,3.163827,
536,3.161376,
537,3.151298,
538,3.130634,
539,3.090796,
540,3.037429,
541,2.986148,
542,2.917033,
543,2.842571,
544,2.757694,
545,2.673289,
546,2.596387,
547,2.512193,
548,2.422333,
549,2.338248,
550,2.248184,
551,2.168054,
552,2.077297,
553,1.983453,
554,1.893060,
555,1.798738,
556,1.710380,
557,1.616994,
558,1.528487,
559,1.451634,
560,1.367841,
561,1.280680,
562,1.194706,
563,1.113868,
564,1.041914,
565,0.963993,
566,0.892469,
567,0.823491,
568,0.763682,
569,0.711051,
570,0.653542,
571,0.592164,
572,0.546130,
573,0.497024,
574,0.456690,
575,0.419054,
576,0.386752,
577,0.370366,
578,0.353105,
579,0.338522,
580,0.331093,
581,0.329834,
582,0.343199,
583,0.354543,
584,0.365422,
585,0.377230,
586,0.391743,
587,0.407782,
588,0.415053,
589,0.421753,
590,0.429047,
591,0.432759,
592,0.438755,
593,0.439493,
594,0.443789,
595,0.461349,
596,0.487031,
597,0.506255,
598,0.508553,
599,0.494202,
600,0.477588,
601,0.474925,
602,0.480846,
603,0.493623,
604,0.546053,
605,0.719408,
606,1.050464,
607,1.376300,
608,1.610399,
609,1.770952,
610,2.097984,
611,2.813341,
612,3.511066,
613,3.625670,
614,3.035647,
615,2.130008,
616,1.497583,
617,1.172219,
618,1.073796,
619,1.045687,
620,1.014236,
621,0.991370,
622,1.010727,
623,1.082834,
624,1.190455,
625,1.352754,
626,1.816328,
627,2.942484,
628,5.207957,
629,7.683087,
630,8.850008,
631,8.485345,
632,7.327061,
633,6.611410,
634,6.194003,
635,5.360424,
636,3.944396,
637,2.221258,
638,1.031904,
