Types,OHSP-350
version,1.60.2
Describe,OHS
Test date,2026-02-25
Test time,19:31:15
E(lx),121.62
Candle E(fc),11.30
CCT(K),3877
Duv,0.04403
CIE x,0.4285
CIE y,0.5236
CIE u,0.2034
CIE v,0.3728
CIE u',0.2034
CIE v',0.5593
SDCM,57.05
Ra,68.9
R1,85
R2,73
R3,47
R4,80
R5,89
R6,65
R7,60
R8,52
R9,36
R10,34
R11,80
R12,32
R13,81
R14,68
R15,83
Ee(mW/c©O),0.030
S/P,1.460
Dominant(nm),570.00
Purity(%),86.0
Half width(nm),8.5
Peak(nm),630.3
Center(nm),631.8
Centroid(nm),576.9
R ratio(%),22.6
G ratio(%),77.1
B ratio(%),0.3
CIE1931 X,145.711
CIE1931 Y,178.065
CIE1931 Z,16.280
TLCI-2012,28
Integral Time(ms),490.00
Peak Signal,57473
Dark Signal,3288
Compensate level,2964
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000000,
430,0.000148,
431,0.000318,
432,0.000711,
433,0.003554,
434,0.006741,
435,0.013089,
436,0.020843,
437,0.034262,
438,0.052885,
439,0.077712,
440,0.109558,
441,0.150144,
442,0.193668,
443,0.236500,
444,0.276009,
445,0.311004,
446,0.347714,
447,0.371534,
448,0.382840,
449,0.377288,
450,0.357971,
451,0.327397,
452,0.286588,
453,0.248559,
454,0.212297,
455,0.183219,
456,0.162362,
457,0.138428,
458,0.114669,
459,0.094358,
460,0.082489,
461,0.075389,
462,0.065945,
463,0.053248,
464,0.040749,
465,0.031405,
466,0.030451,
467,0.023727,
468,0.019032,
469,0.018105,
470,0.016604,
471,0.016909,
472,0.010759,
473,0.005644,
474,0.004059,
475,0.004598,
476,0.003834,
477,0.003221,
478,0.002687,
479,0.004400,
480,0.009468,
481,0.017211,
482,0.019938,
483,0.024950,
484,0.021650,
485,0.019271,
486,0.020969,
487,0.023819,
488,0.030709,
489,0.034854,
490,0.033020,
491,0.035919,
492,0.046576,
493,0.062320,
494,0.076531,
495,0.090177,
496,0.101106,
497,0.126747,
498,0.149721,
499,0.186549,
500,0.218099,
501,0.259353,
502,0.301081,
503,0.348698,
504,0.408407,
505,0.482388,
506,0.566406,
507,0.646145,
508,0.743053,
509,0.855244,
510,0.975174,
511,1.102353,
512,1.229046,
513,1.356485,
514,1.478510,
515,1.617192,
516,1.752059,
517,1.879560,
518,2.000235,
519,2.107676,
520,2.233477,
521,2.363919,
522,2.503268,
523,2.641008,
524,2.778395,
525,2.905128,
526,3.009132,
527,3.109873,
528,3.193156,
529,3.258412,
530,3.304466,
531,3.334048,
532,3.359830,
533,3.386899,
534,3.409600,
535,3.426243,
536,3.435358,
537,3.430630,
538,3.413092,
539,3.376799,
540,3.325471,
541,3.271195,
542,3.195060,
543,3.113915,
544,3.027736,
545,2.945161,
546,2.871060,
547,2.781018,
548,2.685899,
549,2.594033,
550,2.500077,
551,2.416125,
552,2.316274,
553,2.214627,
554,2.111226,
555,2.006932,
556,1.913192,
557,1.814673,
558,1.721131,
559,1.635838,
560,1.541117,
561,1.443775,
562,1.352124,
563,1.263431,
564,1.184161,
565,1.097010,
566,1.015697,
567,0.935938,
568,0.865374,
569,0.804600,
570,0.740530,
571,0.675639,
572,0.621872,
573,0.563234,
574,0.516142,
575,0.472864,
576,0.436751,
577,0.415222,
578,0.393269,
579,0.377798,
580,0.369652,
581,0.368008,
582,0.382141,
583,0.397297,
584,0.415909,
585,0.433344,
586,0.453247,
587,0.471661,
588,0.480284,
589,0.488986,
590,0.499380,
591,0.505883,
592,0.513117,
593,0.514990,
594,0.515208,
595,0.534811,
596,0.563671,
597,0.588787,
598,0.595498,
599,0.578079,
600,0.559565,
601,0.555621,
602,0.564088,
603,0.582308,
604,0.645199,
605,0.845014,
606,1.223564,
607,1.597992,
608,1.866022,
609,2.045327,
610,2.408248,
611,3.211939,
612,4.003901,
613,4.142025,
614,3.480619,
615,2.456177,
616,1.737535,
617,1.367467,
618,1.255728,
619,1.222103,
620,1.184594,
621,1.158481,
622,1.182082,
623,1.260100,
624,1.375827,
625,1.555440,
626,2.078614,
627,3.343677,
628,5.768878,
629,8.115192,
630,9.322405,
631,8.951659,
632,7.970950,
633,7.476066,
634,7.021808,
635,6.097789,
636,4.520113,
637,2.574198,
638,1.217309,
