Types,OHSP-350
version,1.60.2
Describe,OHS
Test date,2026-02-25
Test time,19:44:58
E(lx),1355.33
Candle E(fc),125.91
CCT(K),2135
Duv,0.00990
CIE x,0.5354
CIE y,0.4473
CIE u,0.2935
CIE v,0.3678
CIE u',0.2935
CIE v',0.5517
SDCM,19.32
Ra,29.2
R1,12
R2,66
R3,55
R4,-11
R5,13
R6,29
R7,54
R8,16
R9,-16
R10,41
R11,-44
R12,5
R13,19
R14,67
R15,38
Ee(mW/c©O),0.410
S/P,1.265
Dominant(nm),585.20
Purity(%),95.0
Half width(nm),13.8
Peak(nm),627.8
Center(nm),626.2
Centroid(nm),594.8
R ratio(%),46.2
G ratio(%),53.6
B ratio(%),0.2
CIE1931 X,2375.270
CIE1931 Y,1984.374
CIE1931 Z,76.842
TLCI-2012,4
Integral Time(ms),28.00
Peak Signal,52545
Dark Signal,2219
Compensate level,2964
Start wava(nm),380
End wava(nm),780
Wava(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000000,
430,0.000000,
431,0.000000,
432,0.000000,
433,0.000000,
434,0.000000,
435,0.000000,
436,0.000000,
437,0.000000,
438,0.000000,
439,0.000000,
440,0.000000,
441,0.000000,
442,0.000000,
443,0.000000,
444,0.000000,
445,0.000000,
446,0.000000,
447,0.000000,
448,0.000000,
449,0.000000,
450,0.000000,
451,0.000000,
452,0.000000,
453,0.000000,
454,0.000000,
455,0.000000,
456,0.000000,
457,0.000000,
458,0.000000,
459,0.000000,
460,0.000000,
461,0.000000,
462,0.000000,
463,0.000000,
464,0.000000,
465,0.000000,
466,0.000000,
467,0.000000,
468,0.000000,
469,0.000000,
470,0.000000,
471,0.000000,
472,0.000000,
473,0.000000,
474,0.000000,
475,0.000000,
476,0.000000,
477,0.000000,
478,0.000000,
479,0.000000,
480,0.000000,
481,0.002169,
482,0.009835,
483,0.041536,
484,0.082561,
485,0.142429,
486,0.201262,
487,0.257542,
488,0.326029,
489,0.412710,
490,0.517404,
491,0.635400,
492,0.771054,
493,0.915090,
494,1.091752,
495,1.292389,
496,1.507661,
497,1.760436,
498,2.053570,
499,2.395525,
500,2.745348,
501,3.191750,
502,3.700002,
503,4.282363,
504,4.957199,
505,5.748471,
506,6.666403,
507,7.600965,
508,8.783028,
509,10.117353,
510,11.661278,
511,13.362998,
512,15.249167,
513,17.308413,
514,19.293169,
515,21.609699,
516,24.016098,
517,26.473543,
518,28.969469,
519,31.216991,
520,33.549507,
521,35.651920,
522,37.456749,
523,38.970284,
524,40.081848,
525,40.763710,
526,41.012146,
527,40.813629,
528,40.252983,
529,39.292000,
530,37.985752,
531,36.692936,
532,34.954479,
533,33.124046,
534,31.192564,
535,29.282900,
536,27.696743,
537,25.938429,
538,24.299595,
539,22.755981,
540,21.329496,
541,20.201265,
542,18.996664,
543,17.882961,
544,16.823389,
545,15.834076,
546,14.998502,
547,14.098517,
548,13.214734,
549,12.368440,
550,11.557979,
551,10.858803,
552,10.070518,
553,9.303162,
554,8.571655,
555,7.894148,
556,7.324170,
557,6.718834,
558,6.150607,
559,5.683469,
560,5.199928,
561,4.770332,
562,4.384089,
563,4.048679,
564,3.776104,
565,3.488682,
566,3.215376,
567,2.968101,
568,2.759010,
569,2.593881,
570,2.424653,
571,2.254793,
572,2.115021,
573,1.974889,
574,1.845163,
575,1.733709,
576,1.632809,
577,1.549477,
578,1.456882,
579,1.376047,
580,1.312133,
581,1.243231,
582,1.198720,
583,1.159917,
584,1.152550,
585,1.156423,
586,1.177533,
587,1.229017,
588,1.300706,
589,1.423988,
590,1.598265,
591,1.806331,
592,2.109494,
593,2.474978,
594,2.916113,
595,3.429868,
596,3.977813,
597,4.677758,
598,5.469635,
599,6.270412,
600,7.292509,
601,8.462563,
602,9.626670,
603,11.087946,
604,12.755090,
605,14.679802,
606,16.886921,
607,19.104530,
608,21.933640,
609,25.161037,
610,28.430162,
611,32.572243,
612,37.216793,
613,41.830719,
614,47.483067,
615,53.574039,
616,59.332653,
617,66.045784,
618,73.057495,
619,79.743088,
620,88.087303,
621,97.763771,
622,107.905136,
623,120.958717,
624,135.394577,
625,149.947525,
626,161.568649,
627,166.744064,
628,166.063156,
629,157.646576,
630,144.421692,
631,124.197739,
632,101.186874,
633,81.941338,
634,63.588810,
635,49.055725,
636,39.226585,
637,30.817816,
638,24.352797,
