類型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-04
測試時間,21:46:16
照度E(lx),275.75
燭光E(fc),25.62
相關色溫(K),2331
黑體偏離Duv,0.00909
CIE x,0.5122
CIE y,0.4449
CIE u,0.2801
CIE v,0.3650
CIE u',0.2801
CIE v',0.5474
色容差,13.02
顯色指數Ra,24.9
R1,6
R2,68
R3,48
R4,-12
R5,14
R6,44
R7,45
R8,-14
R9,-74
R10,52
R11,-38
R12,50
R13,15
R14,61
R15,20
輻照度Ee(mW/c㎡),0.087
明暗視覺比S/P,1.374
主波長(nm),583.90
色純度(%),87.4
半寬度(nm),13.6
峰值波長(nm),630.2
中心波長(nm),628.9
質心波長(nm),593.5
紅色比(%),42.6
綠色比(%),56.7
藍色比(%),0.7
CIE1931 X,464.837
CIE1931 Y,403.729
CIE1931 Z,38.880
TLCI-2012,17
積分時間(ms),140.00
峰值信號,53055
暗信號,2420
補償電平,2958
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000000,
430,0.000000,
431,0.000000,
432,0.000000,
433,0.000000,
434,0.000000,
435,0.000000,
436,0.000000,
437,0.000000,
438,0.000000,
439,0.000000,
440,0.000000,
441,0.000000,
442,0.000000,
443,0.000000,
444,0.000000,
445,0.000000,
446,0.001695,
447,0.003844,
448,0.030647,
449,0.072585,
450,0.088859,
451,0.092245,
452,0.067566,
453,0.076916,
454,0.095967,
455,0.119090,
456,0.140141,
457,0.170001,
458,0.202232,
459,0.245993,
460,0.297227,
461,0.360754,
462,0.433563,
463,0.519034,
464,0.611263,
465,0.715593,
466,0.824355,
467,0.927042,
468,1.017242,
469,1.089296,
470,1.129745,
471,1.137958,
472,1.101087,
473,1.036711,
474,0.936053,
475,0.842541,
476,0.751037,
477,0.658477,
478,0.578148,
479,0.499876,
480,0.431201,
481,0.379890,
482,0.343561,
483,0.324971,
484,0.311281,
485,0.308812,
486,0.300965,
487,0.286615,
488,0.261074,
489,0.246938,
490,0.248776,
491,0.250074,
492,0.253547,
493,0.253264,
494,0.252682,
495,0.262542,
496,0.274872,
497,0.301903,
498,0.333323,
499,0.373748,
500,0.415149,
501,0.474908,
502,0.549440,
503,0.630467,
504,0.734420,
505,0.848450,
506,0.972921,
507,1.135768,
508,1.323939,
509,1.543979,
510,1.800460,
511,2.096955,
512,2.432026,
513,2.809823,
514,3.225879,
515,3.683360,
516,4.185662,
517,4.715883,
518,5.262286,
519,5.817929,
520,6.376117,
521,6.915996,
522,7.424169,
523,7.872248,
524,8.264338,
525,8.580067,
526,8.803905,
527,8.924279,
528,8.943739,
529,8.891903,
530,8.745231,
531,8.530540,
532,8.251077,
533,7.919613,
534,7.531584,
535,7.124545,
536,6.701864,
537,6.294050,
538,5.894922,
539,5.511726,
540,5.144043,
541,4.804660,
542,4.500153,
543,4.218289,
544,3.991752,
545,3.752642,
546,3.527267,
547,3.313158,
548,3.106504,
549,2.915393,
550,2.726876,
551,2.537420,
552,2.348762,
553,2.165006,
554,1.995967,
555,1.855749,
556,1.705986,
557,1.568614,
558,1.437604,
559,1.306187,
560,1.184542,
561,1.071362,
562,0.976959,
563,0.896677,
564,0.829008,
565,0.768377,
566,0.707979,
567,0.639580,
568,0.574980,
569,0.527729,
570,0.490220,
571,0.461932,
572,0.427218,
573,0.400918,
574,0.375355,
575,0.349823,
576,0.329826,
577,0.303027,
578,0.278663,
579,0.258858,
580,0.242150,
581,0.220877,
582,0.211084,
583,0.204802,
584,0.203582,
585,0.200065,
586,0.193588,
587,0.193616,
588,0.203784,
589,0.214148,
590,0.230957,
591,0.234708,
592,0.245246,
593,0.274951,
594,0.315428,
595,0.375585,
596,0.431155,
597,0.509416,
598,0.606188,
599,0.721637,
600,0.849527,
601,1.005367,
602,1.177441,
603,1.354544,
604,1.575385,
605,1.839664,
606,2.147590,
607,2.493719,
608,2.896051,
609,3.344667,
610,3.801816,
611,4.401561,
612,5.089747,
613,5.894223,
614,6.809126,
615,7.714149,
616,8.837326,
617,10.044368,
618,11.327611,
619,12.676785,
620,14.088308,
621,15.581087,
622,17.002457,
623,18.781315,
624,20.810129,
625,23.211956,
626,26.009649,
627,28.735447,
628,31.733690,
629,33.970211,
630,34.837200,
631,34.319759,
632,32.433441,
633,29.011654,
634,24.513273,
