類型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-04
測試時間,21:46:27
照度E(lx),273.30
燭光E(fc),25.39
相關色溫(K),2325
黑體偏離Duv,0.00891
CIE x,0.5125
CIE y,0.4443
CIE u,0.2805
CIE v,0.3648
CIE u',0.2805
CIE v',0.5473
色容差,12.74
顯色指數Ra,25.0
R1,-0
R2,62
R3,54
R4,-6
R5,19
R6,50
R7,41
R8,-19
R9,-77
R10,43
R11,-34
R12,53
R13,7
R14,65
R15,14
輻照度Ee(mW/c㎡),0.086
明暗視覺比S/P,1.370
主波長(nm),584.00
色純度(%),87.3
半寬度(nm),13.6
峰值波長(nm),630.2
中心波長(nm),628.9
質心波長(nm),593.6
紅色比(%),43.1
綠色比(%),56.2
藍色比(%),0.8
CIE1931 X,461.506
CIE1931 Y,400.150
CIE1931 Z,38.919
TLCI-2012,18
積分時間(ms),140.00
峰值信號,51244
暗信號,2419
補償電平,2958
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000000,
430,0.000000,
431,0.000000,
432,0.000000,
433,0.000000,
434,0.000000,
435,0.000000,
436,0.000000,
437,0.000000,
438,0.000000,
439,0.000000,
440,0.000000,
441,0.000401,
442,0.000527,
443,0.000523,
444,0.000312,
445,0.000000,
446,0.000081,
447,0.001258,
448,0.026883,
449,0.063887,
450,0.079825,
451,0.088864,
452,0.077338,
453,0.094565,
454,0.115157,
455,0.133148,
456,0.155667,
457,0.180504,
458,0.209475,
459,0.250581,
460,0.303927,
461,0.370246,
462,0.445940,
463,0.532834,
464,0.632110,
465,0.748283,
466,0.864485,
467,0.971537,
468,1.057165,
469,1.125343,
470,1.164138,
471,1.174439,
472,1.146169,
473,1.084643,
474,0.977083,
475,0.869556,
476,0.766503,
477,0.675621,
478,0.596060,
479,0.521332,
480,0.453245,
481,0.400005,
482,0.363038,
483,0.335957,
484,0.319187,
485,0.311964,
486,0.308455,
487,0.301903,
488,0.280968,
489,0.264444,
490,0.258599,
491,0.251170,
492,0.250146,
493,0.241946,
494,0.238841,
495,0.247582,
496,0.263855,
497,0.294813,
498,0.326061,
499,0.364505,
500,0.403528,
501,0.464538,
502,0.537492,
503,0.614301,
504,0.705069,
505,0.809428,
506,0.925898,
507,1.081264,
508,1.257031,
509,1.460795,
510,1.699850,
511,1.971118,
512,2.287832,
513,2.643581,
514,3.042089,
515,3.473750,
516,3.947522,
517,4.448635,
518,4.970314,
519,5.505188,
520,6.033398,
521,6.544437,
522,7.022347,
523,7.449886,
524,7.826130,
525,8.130466,
526,8.351137,
527,8.468085,
528,8.489591,
529,8.434095,
530,8.290652,
531,8.087213,
532,7.824244,
533,7.506929,
534,7.144685,
535,6.753574,
536,6.355060,
537,5.962297,
538,5.579052,
539,5.215180,
540,4.866464,
541,4.548577,
542,4.258603,
543,3.991786,
544,3.768773,
545,3.532462,
546,3.307520,
547,3.106818,
548,2.919815,
549,2.746030,
550,2.569341,
551,2.390851,
552,2.218697,
553,2.050062,
554,1.891465,
555,1.753422,
556,1.610856,
557,1.482164,
558,1.359639,
559,1.239019,
560,1.122486,
561,1.018198,
562,0.926013,
563,0.848391,
564,0.784302,
565,0.726890,
566,0.673768,
567,0.611596,
568,0.555289,
569,0.511416,
570,0.472637,
571,0.442191,
572,0.405104,
573,0.376196,
574,0.348782,
575,0.328740,
576,0.312375,
577,0.294870,
578,0.270738,
579,0.249333,
580,0.229988,
581,0.210789,
582,0.202244,
583,0.200481,
584,0.199928,
585,0.196409,
586,0.188008,
587,0.188812,
588,0.201520,
589,0.213520,
590,0.228506,
591,0.231172,
592,0.243662,
593,0.275856,
594,0.321932,
595,0.380510,
596,0.435364,
597,0.504026,
598,0.594594,
599,0.703989,
600,0.828783,
601,0.975009,
602,1.135204,
603,1.297958,
604,1.510668,
605,1.765503,
606,2.067511,
607,2.403538,
608,2.797122,
609,3.237107,
610,3.682223,
611,4.263529,
612,4.924242,
613,5.692915,
614,6.566191,
615,7.433853,
616,8.515446,
617,9.690981,
618,10.945525,
619,12.256766,
620,13.620682,
621,15.056889,
622,16.433674,
623,18.158615,
624,20.135277,
625,22.463226,
626,25.169806,
627,27.786577,
628,30.635885,
629,32.767231,
630,33.665409,
631,33.195118,
632,31.362873,
633,28.012291,
634,23.598181,
