類型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-04
測試時間,21:48:29
照度E(lx),32.57
燭光E(fc),3.03
相關色溫(K),6925
黑體偏離Duv,-0.04692
CIE x,0.3200
CIE y,0.2528
CIE u,0.2373
CIE v,0.2812
CIE u',0.2373
CIE v',0.4219
色容差,39.88
顯色指數Ra,-13.6
R1,-54
R2,-9
R3,65
R4,-15
R5,-35
R6,-26
R7,42
R8,-78
R9,-100
R10,-100
R11,-26
R12,-61
R13,-52
R14,80
R15,-77
輻照度Ee(mW/c㎡),0.015
明暗視覺比S/P,3.476
主波長(nm),561.00
色純度(%),28.3
半寬度(nm),12.0
峰值波長(nm),630.0
中心波長(nm),629.0
質心波長(nm),543.8
紅色比(%),37.2
綠色比(%),48.0
藍色比(%),14.9
CIE1931 X,60.357
CIE1931 Y,47.688
CIE1931 Z,80.563
TLCI-2012,21
積分時間(ms),140.00
峰值信號,8106
暗信號,2439
補償電平,2958
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.020299,
381,0.019008,
382,0.008725,
383,0.007574,
384,0.002911,
385,0.003337,
386,0.001137,
387,0.000898,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000654,
394,0.003169,
395,0.003807,
396,0.004715,
397,0.002213,
398,0.001788,
399,0.003809,
400,0.003656,
401,0.003586,
402,0.004121,
403,0.004099,
404,0.004218,
405,0.001868,
406,0.000363,
407,0.000047,
408,0.000000,
409,0.000000,
410,0.000163,
411,0.000216,
412,0.000214,
413,0.000127,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000382,
421,0.001000,
422,0.000989,
423,0.000766,
424,0.001871,
425,0.002497,
426,0.002479,
427,0.003583,
428,0.005033,
429,0.008849,
430,0.009032,
431,0.007567,
432,0.005476,
433,0.004291,
434,0.006183,
435,0.011203,
436,0.015137,
437,0.018229,
438,0.019462,
439,0.024767,
440,0.035940,
441,0.052631,
442,0.067156,
443,0.083832,
444,0.092093,
445,0.104899,
446,0.120193,
447,0.136274,
448,0.181579,
449,0.240134,
450,0.281215,
451,0.313199,
452,0.321086,
453,0.366092,
454,0.425033,
455,0.488287,
456,0.554317,
457,0.629663,
458,0.723646,
459,0.851038,
460,1.006162,
461,1.195342,
462,1.410674,
463,1.659290,
464,1.940405,
