類型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-04
測試時間,21:49:35
照度E(lx),24.54
燭光E(fc),2.28
相關色溫(K),4210
黑體偏離Duv,-0.04187
CIE x,0.3516
CIE y,0.2834
CIE u,0.2468
CIE v,0.2984
CIE u',0.2468
CIE v',0.4477
色容差,39.26
顯色指數Ra,7.3
R1,-25
R2,13
R3,78
R4,4
R5,-17
R6,-12
R7,60
R8,-42
R9,-100
R10,-70
R11,-10
R12,-59
R13,-24
R14,87
R15,-39
輻照度Ee(mW/c㎡),0.011
明暗視覺比S/P,2.889
主波長(nm),531.00
色純度(%),10.7
半寬度(nm),12.0
峰值波長(nm),630.0
中心波長(nm),629.0
質心波長(nm),552.7
紅色比(%),37.5
綠色比(%),51.3
藍色比(%),11.1
CIE1931 X,44.577
CIE1931 Y,35.937
CIE1931 Z,46.286
TLCI-2012,28
積分時間(ms),140.00
峰值信號,6670
暗信號,2466
補償電平,2958
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.030772,
381,0.028280,
382,0.010351,
383,0.008645,
384,0.002799,
385,0.003290,
386,0.001060,
387,0.000901,
388,0.000127,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000478,
394,0.004556,
395,0.006422,
396,0.007049,
397,0.003974,
398,0.001522,
399,0.002101,
400,0.001834,
401,0.001769,
402,0.003601,
403,0.004554,
404,0.004862,
405,0.002585,
406,0.000827,
407,0.000185,
408,0.000054,
409,0.000032,
410,0.000370,
411,0.000781,
412,0.001122,
413,0.001241,
414,0.000660,
415,0.000438,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.001918,
421,0.003808,
422,0.003765,
423,0.002794,
424,0.000615,
425,0.000349,
426,0.000770,
427,0.003677,
428,0.005916,
429,0.009844,
430,0.008015,
431,0.006392,
432,0.003018,
433,0.002326,
434,0.002901,
435,0.006505,
436,0.009033,
437,0.011643,
438,0.010975,
439,0.017090,
440,0.027050,
441,0.044932,
442,0.053037,
443,0.059934,
444,0.062670,
445,0.070974,
446,0.084161,
447,0.097465,
448,0.136618,
449,0.188563,
450,0.215380,
451,0.234060,
452,0.230487,
453,0.257872,
454,0.288883,
455,0.313565,
456,0.343100,
457,0.387498,
458,0.441123,
459,0.508122,
460,0.585662,
461,0.683861,
462,0.797479,
463,0.934833,
464,1.085183,
465,1.254877,
466,1.426519,
467,1.592595,
468,1.734161,
469,1.836702,
470,1.887424,
471,1.887063,
472,1.833806,
473,1.735339,
474,1.576056,
475,1.411624,
476,1.247991,
477,1.087077,
478,0.950847,
479,0.828161,
480,0.727250,
481,0.646247,
482,0.586370,
483,0.545183,
484,0.511182,
485,0.486150,
486,0.458321,
487,0.427836,
488,0.383156,
489,0.344693,
490,0.315402,
491,0.285501,
492,0.256496,
493,0.226112,
494,0.197129,
495,0.178482,
496,0.157979,
497,0.149094,
498,0.139927,
499,0.138298,
500,0.128081,
501,0.130199,
502,0.128605,
