類型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-04
測試時間,21:47:18
照度E(lx),110.71
燭光E(fc),10.29
相關色溫(K),2250
黑體偏離Duv,-0.00494
CIE x,0.4904
CIE y,0.4002
CIE u,0.2876
CIE v,0.3520
CIE u',0.2876
CIE v',0.5280
色容差,7.41
顯色指數Ra,21.5
R1,-3
R2,54
R3,65
R4,-16
R5,0
R6,22
R7,58
R8,-9
R9,-78
R10,22
R11,-48
R12,5
R13,3
R14,70
R15,13
輻照度Ee(mW/c㎡),0.038
明暗視覺比S/P,1.546
主波長(nm),588.60
色純度(%),67.3
半寬度(nm),12.7
峰值波長(nm),630.0
中心波長(nm),628.9
質心波長(nm),588.1
紅色比(%),44.9
綠色比(%),52.8
藍色比(%),2.3
CIE1931 X,198.634
CIE1931 Y,162.092
CIE1931 Z,44.329
TLCI-2012,19
積分時間(ms),140.00
峰值信號,24805
暗信號,2427
補償電平,2958
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.010462,
381,0.008165,
382,0.000335,
383,0.000475,
384,0.000470,
385,0.000447,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000089,
403,0.000086,
404,0.000086,
405,0.000021,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000018,
429,0.002304,
430,0.002397,
431,0.002397,
432,0.000698,
433,0.000000,
434,0.000000,
435,0.001042,
436,0.001098,
437,0.001094,
438,0.000280,
439,0.000029,
440,0.002830,
441,0.015126,
442,0.019741,
443,0.029568,
444,0.027671,
445,0.032211,
446,0.043010,
447,0.052977,
448,0.093449,
449,0.143112,
450,0.166848,
451,0.179843,
452,0.164576,
453,0.184827,
454,0.210879,
455,0.237173,
456,0.268359,
457,0.303587,
458,0.348074,
459,0.410720,
460,0.489549,
461,0.588949,
462,0.696743,
463,0.817654,
464,0.954812,
465,1.109788,
466,1.271311,
467,1.422219,
468,1.549327,
469,1.645071,
470,1.700149,
471,1.704105,
472,1.660815,
473,1.565755,
474,1.421452,
475,1.272703,
476,1.122881,
477,0.981580,
478,0.861682,
479,0.753650,
480,0.659988,
481,0.583519,
482,0.524821,
483,0.488746,
484,0.460367,
485,0.438981,
486,0.417980,
487,0.390696,
488,0.352112,
489,0.317330,
490,0.292177,
491,0.269926,
492,0.255180,
493,0.237672,
494,0.219546,
495,0.210183,
496,0.200955,
497,0.201778,
498,0.203798,
499,0.211276,
500,0.220076,
501,0.240670,
502,0.261759,
503,0.280278,
504,0.312565,
505,0.349217,
506,0.394252,
507,0.448724,
508,0.511999,
509,0.583853,
510,0.671933,
511,0.767593,
512,0.885784,
513,1.019049,
514,1.169436,
515,1.335839,
516,1.514370,
517,1.715616,
518,1.923532,
519,2.142849,
520,2.359586,
521,2.576441,
522,2.779239,
523,2.959076,
524,3.117776,
525,3.244679,
526,3.335610,
527,3.385551,
528,3.402148,
529,3.389048,
530,3.335990,
531,3.248244,
532,3.120983,
533,2.975672,
534,2.807044,
535,2.636853,
536,2.478458,
537,2.331456,
538,2.179232,
539,2.027816,
540,1.870859,
541,1.743120,
542,1.621460,
543,1.512928,
544,1.423755,
545,1.327300,
546,1.244433,
547,1.166440,
548,1.091973,
549,1.030173,
550,0.962565,
551,0.894381,
552,0.831442,
553,0.766358,
554,0.710893,
555,0.663665,
556,0.614258,
557,0.570922,
558,0.526191,
559,0.477756,
560,0.436724,
561,0.393747,
562,0.362153,
563,0.335911,
564,0.316324,
565,0.303143,
566,0.281007,
567,0.258561,
568,0.237026,
569,0.224081,
570,0.215649,
571,0.211165,
572,0.194085,
573,0.179856,
574,0.163431,
575,0.153259,
576,0.151745,
577,0.144724,
578,0.133142,
579,0.121236,
580,0.112871,
581,0.100340,
582,0.102459,
583,0.106462,
584,0.110892,
585,0.104650,
586,0.093611,
587,0.095928,
588,0.110831,
589,0.126809,
590,0.135414,
591,0.129535,
592,0.126090,
593,0.134976,
594,0.153028,
595,0.179818,
596,0.199165,
597,0.225334,
598,0.263210,
599,0.311387,
600,0.359945,
601,0.417060,
602,0.475751,
603,0.537617,
604,0.612630,
605,0.711341,
606,0.829952,
607,0.965092,
608,1.125815,
609,1.304326,
610,1.492629,
611,1.745021,
612,2.032638,
613,2.374763,
614,2.763836,
615,3.150610,
616,3.638995,
617,4.172803,
618,4.747936,
619,5.342557,
620,5.961884,
621,6.610678,
622,7.244735,
623,8.040387,
624,8.960758,
625,10.051596,
626,11.318901,
627,12.531868,
628,13.855251,
629,14.890710,
630,15.350215,
631,15.068375,
632,14.117581,
633,12.398015,
634,10.313116,
635,8.169925,
636,6.259411,
637,4.874196,
638,3.672258,
