類型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-04
測試時間,21:47:31
照度E(lx),81.51
燭光E(fc),7.57
相關色溫(K),2303
黑體偏離Duv,-0.01251
CIE x,0.4710
CIE y,0.3782
CIE u,0.2856
CIE v,0.3440
CIE u',0.2856
CIE v',0.5160
色容差,16.13
顯色指數Ra,19.2
R1,-7
R2,46
R3,74
R4,-16
R5,-7
R6,11
R7,63
R8,-11
R9,-91
R10,4
R11,-47
R12,-21
R13,-3
R14,75
R15,6
輻照度Ee(mW/c㎡),0.029
明暗視覺比S/P,1.704
主波長(nm),591.60
色純度(%),54.8
半寬度(nm),12.7
峰值波長(nm),630.0
中心波長(nm),628.9
質心波長(nm),583.5
紅色比(%),45.1
綠色比(%),51.5
藍色比(%),3.4
CIE1931 X,148.618
CIE1931 Y,119.342
CIE1931 Z,47.605
TLCI-2012,19
積分時間(ms),140.00
峰值信號,19189
暗信號,2436
補償電平,2958
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.003460,
381,0.003258,
382,0.001200,
383,0.001545,
384,0.000810,
385,0.000796,
386,0.000031,
387,0.000031,
388,0.000012,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000057,
399,0.001233,
400,0.001196,
401,0.001172,
402,0.000767,
403,0.000564,
404,0.000560,
405,0.000139,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.001670,
430,0.001671,
431,0.001711,
432,0.000486,
433,0.000067,
434,0.000050,
435,0.000598,
436,0.000647,
437,0.000658,
438,0.000184,
439,0.002596,
440,0.007658,
441,0.021725,
442,0.029011,
443,0.038306,
444,0.037668,
445,0.041435,
446,0.049345,
447,0.058336,
448,0.095946,
449,0.144219,
450,0.168823,
451,0.184728,
452,0.177560,
453,0.202728,
454,0.233012,
