類型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-04
測試時間,21:47:55
照度E(lx),45.43
燭光E(fc),4.22
相關色溫(K),2926
黑體偏離Duv,-0.03523
CIE x,0.3963
CIE y,0.3143
CIE u,0.2651
CIE v,0.3154
CIE u',0.2651
CIE v',0.4731
色容差,35.26
顯色指數Ra,9.5
R1,-23
R2,20
R3,86
R4,-7
R5,-22
R6,-15
R7,68
R8,-30
R9,-100
R10,-53
R11,-31
R12,-78
R13,-23
R14,88
R15,-23
輻照度Ee(mW/c㎡),0.018
明暗視覺比S/P,2.414
主波長(nm),699.10
色純度(%),19.3
半寬度(nm),12.3
峰值波長(nm),630.0
中心波長(nm),629.1
質心波長(nm),565.1
紅色比(%),42.2
綠色比(%),49.7
藍色比(%),8.1
CIE1931 X,83.855
CIE1931 Y,66.509
CIE1931 Z,61.220
TLCI-2012,22
積分時間(ms),140.00
峰值信號,11389
暗信號,2442
補償電平,2958
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.013662,
381,0.011884,
382,0.004227,
383,0.003603,
384,0.001024,
385,0.000975,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000510,
394,0.002139,
395,0.002108,
396,0.001958,
397,0.000172,
398,0.000335,
399,0.002412,
400,0.002339,
401,0.002294,
402,0.003151,
403,0.003452,
404,0.003565,
405,0.001916,
406,0.000350,
407,0.000347,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000270,
412,0.000671,
413,0.000663,
414,0.000660,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000209,
421,0.000752,
422,0.000743,
423,0.000633,
424,0.000931,
425,0.001143,
426,0.002188,
427,0.003191,
428,0.003490,
429,0.006839,
430,0.005472,
431,0.006543,
432,0.004684,
433,0.003524,
434,0.002969,
435,0.004097,
436,0.005282,
437,0.006784,
438,0.009558,
439,0.015236,
440,0.024513,
441,0.041504,
442,0.049826,
443,0.060791,
444,0.060026,
445,0.065981,
446,0.078493,
447,0.091967,
448,0.138196,
449,0.194959,
450,0.227685,
451,0.250226,
452,0.247189,
453,0.280253,
454,0.317022,
455,0.355298,
456,0.402889,
457,0.460610,
458,0.533459,
459,0.625964,
460,0.742991,
461,0.885030,
462,1.048805,
463,1.233874,
