類型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-04
測試時間,21:37:27
照度E(lx),140.52
燭光E(fc),13.05
相關色溫(K),1001
黑體偏離Duv,-0.00205
CIE x,0.6631
CIE y,0.3336
CIE u,0.4673
CIE v,0.3526
CIE u',0.4673
CIE v',0.5289
色容差,100.00
顯色指數Ra,54.4
R1,71
R2,73
R3,91
R4,29
R5,44
R6,16
R7,62
R8,49
R9,-3
R10,59
R11,-54
R12,-47
R13,57
R14,82
R15,75
輻照度Ee(mW/c㎡),0.061
明暗視覺比S/P,0.380
主波長(nm),610.10
色純度(%),99.1
半寬度(nm),13.6
峰值波長(nm),630.0
中心波長(nm),628.9
質心波長(nm),621.2
紅色比(%),83.5
綠色比(%),16.5
藍色比(%),0.0
CIE1931 X,408.986
CIE1931 Y,205.744
CIE1931 Z,2.009
TLCI-2012,4
積分時間(ms),140.00
峰值信號,53089
暗信號,2267
補償電平,2958
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000000,
430,0.000000,
431,0.000000,
432,0.000000,
433,0.000000,
434,0.000000,
435,0.000000,
436,0.000000,
437,0.000000,
438,0.000000,
439,0.000000,
440,0.000000,
441,0.000000,
442,0.000000,
443,0.000000,
444,0.000000,
445,0.000000,
446,0.000000,
447,0.000000,
448,0.011715,
449,0.026631,
450,0.026467,
451,0.020239,
452,0.000007,
453,0.000000,
454,0.000000,
455,0.000000,
456,0.000000,
457,0.000000,
458,0.000000,
459,0.000000,
460,0.000000,
461,0.000000,
462,0.000000,
463,0.000000,
464,0.000000,
465,0.000000,
466,0.000000,
467,0.000000,
468,0.000000,
469,0.000000,
470,0.000000,
471,0.000000,
472,0.000000,
473,0.000000,
474,0.000000,
475,0.000000,
476,0.000000,
477,0.000000,
478,0.000000,
479,0.000000,
480,0.000000,
481,0.000000,
482,0.000000,
483,0.000000,
484,0.000000,
485,0.000000,
486,0.000000,
487,0.000000,
488,0.000000,
489,0.000000,
490,0.000000,
491,0.000000,
492,0.000000,
493,0.000000,
494,0.000000,
495,0.000000,
496,0.000884,
497,0.001973,
498,0.002701,
499,0.003908,
500,0.003335,
501,0.009423,
502,0.019023,
503,0.028625,
504,0.047318,
505,0.064409,
506,0.085197,
507,0.110711,
508,0.137234,
509,0.168247,
510,0.206113,
511,0.246319,
512,0.301435,
513,0.360643,
514,0.424758,
515,0.488356,
516,0.550918,
517,0.624923,
518,0.707356,
519,0.799396,
520,0.894549,
521,0.988404,
522,1.073658,
523,1.147632,
524,1.213528,
525,1.264581,
526,1.308928,
527,1.335646,
528,1.359868,
529,1.363818,
530,1.340728,
531,1.300415,
532,1.239696,
533,1.180591,
534,1.111753,
535,1.039900,
536,0.978281,
537,0.922866,
538,0.853182,
539,0.783571,
540,0.709991,
541,0.667130,
542,0.620308,
543,0.575849,
544,0.531401,
545,0.485404,
546,0.453812,
547,0.422177,
548,0.395075,
549,0.375341,
550,0.347181,
551,0.321646,
552,0.296890,
553,0.272534,
554,0.254711,
555,0.233470,
556,0.215253,
557,0.202984,
558,0.190180,
559,0.171038,
560,0.153554,
561,0.131057,
562,0.118520,
563,0.105912,
564,0.102002,
565,0.100653,
566,0.091610,
567,0.078484,
568,0.066334,
569,0.062792,
570,0.062191,
571,0.064378,
572,0.054855,
573,0.051767,
574,0.048111,
575,0.046137,
576,0.049295,
577,0.048638,
578,0.043087,
579,0.037164,
580,0.033307,
581,0.024708,
582,0.028571,
583,0.037544,
584,0.047700,
585,0.053672,
586,0.054874,
587,0.063472,
588,0.082209,
589,0.102337,
590,0.126924,
591,0.140456,
592,0.166152,
593,0.201778,
594,0.247944,
595,0.305154,
596,0.360153,
597,0.439308,
598,0.539671,
599,0.657644,
600,0.788535,
601,0.938909,
602,1.107793,
603,1.281264,
604,1.502753,
605,1.770155,
606,2.081685,
607,2.439313,
608,2.854803,
609,3.317756,
610,3.792044,
611,4.400186,
612,5.089301,
613,5.888667,
614,6.783993,
615,7.691272,
616,8.813693,
617,10.038342,
618,11.352724,
619,12.725377,
620,14.135670,
621,15.615420,
622,17.029119,
623,18.814020,
624,20.878618,
625,23.309246,
626,26.142277,
627,28.883348,
628,31.881605,
629,34.101059,
630,34.923283,
631,34.359177,
632,32.407406,
633,28.944033,
634,24.417524,
