類型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-04
測試時間,21:37:50
照度E(lx),139.71
燭光E(fc),12.98
相關色溫(K),1001
黑體偏離Duv,-0.00196
CIE x,0.6626
CIE y,0.3341
CIE u,0.4662
CIE v,0.3527
CIE u',0.4662
CIE v',0.5290
色容差,100.00
顯色指數Ra,43.6
R1,82
R2,88
R3,73
R4,4
R5,20
R6,-5
R7,48
R8,39
R9,-3
R10,79
R11,-79
R12,-60
R13,74
R14,69
R15,64
輻照度Ee(mW/c㎡),0.061
明暗視覺比S/P,0.407
主波長(nm),610.00
色純度(%),99.0
半寬度(nm),13.4
峰值波長(nm),630.0
中心波長(nm),628.8
質心波長(nm),620.6
紅色比(%),82.2
綠色比(%),17.7
藍色比(%),0.0
CIE1931 X,405.601
CIE1931 Y,204.547
CIE1931 Z,2.029
TLCI-2012,4
積分時間(ms),140.00
峰值信號,50800
暗信號,2280
補償電平,2958
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000000,
430,0.000000,
431,0.000000,
432,0.000000,
433,0.000000,
434,0.000000,
435,0.000000,
436,0.000000,
437,0.000000,
438,0.000000,
439,0.000000,
440,0.000000,
441,0.000000,
442,0.000000,
443,0.000000,
444,0.000000,
445,0.000000,
446,0.000000,
447,0.000000,
448,0.010793,
449,0.025129,
450,0.024975,
451,0.019355,
452,0.000005,
453,0.000000,
454,0.000000,
455,0.000000,
456,0.000000,
457,0.000000,
458,0.000000,
459,0.000000,
460,0.000000,
461,0.000000,
462,0.000000,
463,0.000000,
464,0.000000,
465,0.000000,
466,0.000000,
467,0.000000,
468,0.000000,
469,0.000000,
470,0.000000,
471,0.000000,
472,0.000000,
473,0.000000,
474,0.000000,
475,0.000000,
476,0.000000,
477,0.000000,
478,0.000000,
479,0.000000,
480,0.000000,
481,0.000000,
482,0.000000,
483,0.000000,
484,0.000000,
485,0.000000,
486,0.000000,
487,0.000000,
488,0.000000,
489,0.000000,
490,0.000000,
491,0.000000,
492,0.000000,
493,0.000000,
494,0.000000,
495,0.000000,
496,0.001682,
497,0.005509,
498,0.006583,
499,0.009384,
500,0.012158,
501,0.021446,
502,0.035989,
503,0.041488,
504,0.055684,
505,0.073142,
506,0.098374,
507,0.129636,
508,0.155893,
509,0.184718,
510,0.226305,
511,0.272046,
512,0.330329,
513,0.382981,
514,0.438313,
515,0.501625,
516,0.571434,
517,0.659428,
518,0.746029,
519,0.842824,
520,0.936673,
521,1.033005,
522,1.121187,
523,1.196215,
524,1.258784,
525,1.315488,
526,1.360991,
527,1.395131,
528,1.417707,
529,1.417765,
530,1.393369,
531,1.349078,
532,1.286929,
533,1.222662,
534,1.150806,
535,1.076859,
536,1.014976,
537,0.958090,
538,0.888834,
539,0.817761,
540,0.739678,
541,0.692973,
542,0.641587,
543,0.594443,
544,0.549790,
545,0.506210,
546,0.474981,
547,0.447914,
548,0.420324,
549,0.401523,
550,0.373718,
551,0.345640,
552,0.315475,
553,0.282510,
554,0.261503,
555,0.241928,
556,0.225076,
557,0.216719,
558,0.204287,
559,0.187637,
560,0.166547,
561,0.140817,
562,0.126328,
563,0.117774,
564,0.118753,
565,0.119874,
566,0.108921,
567,0.092307,
568,0.075776,
569,0.072061,
570,0.071835,
571,0.074206,
572,0.061495,
573,0.055655,
574,0.047644,
575,0.047186,
576,0.052456,
577,0.053699,
578,0.044751,
579,0.038582,
580,0.035691,
581,0.031351,
582,0.036681,
583,0.047526,
584,0.056098,
585,0.063735,
586,0.062624,
587,0.068869,
588,0.084682,
589,0.101238,
590,0.123870,
591,0.136788,
592,0.158106,
593,0.192835,
594,0.236629,
595,0.292073,
596,0.346840,
597,0.420801,
598,0.513824,
599,0.625213,
600,0.749299,
601,0.899022,
602,1.064630,
603,1.230152,
604,1.442040,
605,1.693616,
606,1.989307,
607,2.324048,
608,2.718898,
609,3.159482,
610,3.610051,
611,4.190554,
612,4.850894,
613,5.628698,
614,6.492699,
615,7.358276,
616,8.426764,
617,9.594728,
618,10.849690,
619,12.158882,
620,13.519217,
621,14.949748,
622,16.316017,
623,18.027300,
624,20.000418,
625,22.335825,
626,25.055361,
627,27.676100,
628,30.505249,
629,32.597889,
630,33.512131,
631,32.988998,
632,31.116020,
633,27.691994,
634,23.253828,
