類型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-04
測試時間,21:41:04
照度E(lx),81.05
燭光E(fc),7.53
相關色溫(K),5258
黑體偏離Duv,0.08631
CIE x,0.3516
CIE y,0.6081
CIE u,0.1466
CIE v,0.3803
CIE u',0.1466
CIE v',0.5704
色容差,100.00
顯色指數Ra,36.1
R1,70
R2,30
R3,9
R4,25
R5,64
R6,23
R7,24
R8,45
R9,69
R10,-42
R11,9
R12,1
R13,43
R14,54
R15,67
輻照度Ee(mW/c㎡),0.018
明暗視覺比S/P,1.907
主波長(nm),557.30
色純度(%),88.7
半寬度(nm),25.1
峰值波長(nm),528.6
中心波長(nm),529.3
質心波長(nm),563.2
紅色比(%),14.7
綠色比(%),85.0
藍色比(%),0.3
CIE1931 X,68.614
CIE1931 Y,118.670
CIE1931 Z,7.869
TLCI-2012,6
積分時間(ms),140.00
峰值信號,9298
暗信號,2343
補償電平,2958
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.019050,
381,0.015600,
382,0.004888,
383,0.005804,
384,0.002871,
385,0.002802,
386,0.000298,
387,0.000110,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000100,
394,0.000572,
395,0.001573,
396,0.003924,
397,0.003586,
398,0.003365,
399,0.005352,
400,0.004829,
401,0.004709,
402,0.004488,
403,0.004771,
404,0.004976,
405,0.002577,
406,0.000693,
407,0.000120,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000039,
421,0.001932,
422,0.001909,
423,0.001907,
424,0.001584,
425,0.001228,
426,0.001219,
427,0.001429,
428,0.001243,
429,0.003542,
430,0.003132,
431,0.003413,
432,0.002094,
433,0.001707,
434,0.001652,
435,0.001982,
436,0.001988,
437,0.002767,
438,0.002107,
439,0.001891,
440,0.002796,
441,0.012084,
442,0.013708,
443,0.019862,
444,0.015780,
445,0.014323,
446,0.015763,
447,0.013771,
448,0.042621,
449,0.081717,
450,0.094023,
451,0.087698,
452,0.049722,
453,0.044538,
454,0.040980,
455,0.037090,
456,0.031021,
457,0.024937,
458,0.020333,
459,0.018345,
460,0.020468,
461,0.022800,
462,0.018773,
463,0.012060,
464,0.006062,
465,0.006320,
466,0.006191,
467,0.004327,
468,0.001572,
469,0.005493,
470,0.006913,
471,0.009905,
472,0.005945,
473,0.004395,
474,0.001050,
475,0.002740,
476,0.011167,
477,0.017144,
478,0.021838,
479,0.019410,
480,0.011137,
481,0.007584,
482,0.005188,
483,0.011426,
484,0.013495,
485,0.023667,
486,0.029976,
487,0.032683,
488,0.028091,
489,0.030779,
490,0.043689,
491,0.055941,
492,0.065760,
493,0.069628,
494,0.074930,
495,0.089059,
496,0.102510,
497,0.120253,
498,0.138024,
499,0.158757,
500,0.173759,
501,0.202207,
502,0.231227,
503,0.265693,
504,0.311842,
505,0.358405,
506,0.411164,
507,0.479166,
508,0.554948,
509,0.645734,
510,0.755612,
511,0.881076,
512,1.030443,
513,1.188665,
514,1.363959,
515,1.559634,
516,1.773284,
517,2.010477,
518,2.256701,
519,2.516493,
520,2.777945,
521,3.034871,
522,3.274363,
523,3.483499,
524,3.665240,
525,3.807410,
526,3.916212,
527,3.975436,
528,3.999441,
529,3.988378,
530,3.924113,
531,3.824947,
532,3.680757,
533,3.518732,
534,3.339439,
535,3.149829,
536,2.962406,
537,2.778707,
538,2.589753,
539,2.411053,
540,2.233239,
541,2.086242,
542,1.947685,
543,1.819852,
544,1.714282,
545,1.604027,
546,1.508342,
547,1.417494,
548,1.327549,
549,1.247728,
550,1.166055,
551,1.083310,
552,1.003331,
553,0.925543,
554,0.861694,
555,0.807233,
556,0.752295,
557,0.701242,
558,0.648077,
559,0.592888,
560,0.540115,
561,0.488090,
562,0.450945,
563,0.415830,
564,0.391428,
565,0.372394,
566,0.348093,
567,0.317965,
568,0.290117,
569,0.272171,
570,0.262497,
571,0.256895,
572,0.235831,
573,0.218597,
574,0.201364,
575,0.189295,
576,0.185622,
577,0.177374,
578,0.164065,
579,0.150946,
580,0.139830,
581,0.125952,
582,0.122852,
583,0.124450,
584,0.124408,
585,0.119215,
586,0.108853,
587,0.106586,
588,0.114216,
589,0.120992,
590,0.125951,
591,0.117298,
592,0.108785,
593,0.106522,
594,0.110056,
595,0.115511,
596,0.115649,
597,0.114959,
598,0.122550,
599,0.135813,
600,0.146268,
601,0.157091,
602,0.166635,
603,0.172709,
604,0.185379,
