類型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-04
測試時間,21:41:58
照度E(lx),71.64
燭光E(fc),6.66
相關色溫(K),5320
黑體偏離Duv,0.08817
CIE x,0.3479
CIE y,0.6117
CIE u,0.1443
CIE v,0.3805
CIE u',0.1443
CIE v',0.5708
色容差,100.00
顯色指數Ra,34.4
R1,68
R2,28
R3,7
R4,22
R5,62
R6,21
R7,22
R8,45
R9,76
R10,-46
R11,5
R12,-0
R13,41
R14,53
R15,65
輻照度Ee(mW/c㎡),0.016
明暗視覺比S/P,1.918
主波長(nm),556.70
色純度(%),88.7
半寬度(nm),24.6
峰值波長(nm),528.6
中心波長(nm),529.3
質心波長(nm),562.7
紅色比(%),14.3
綠色比(%),85.4
藍色比(%),0.3
CIE1931 X,59.644
CIE1931 Y,104.888
CIE1931 Z,6.932
TLCI-2012,6
積分時間(ms),140.00
峰值信號,8604
暗信號,2366
補償電平,2958
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.018680,
381,0.014734,
382,0.003974,
383,0.002878,
384,0.000544,
385,0.000780,
386,0.000437,
387,0.000431,
388,0.000258,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000056,
395,0.000090,
396,0.000089,
397,0.000053,
398,0.000201,
399,0.001505,
400,0.001459,
401,0.001426,
402,0.002279,
403,0.002201,
404,0.002184,
405,0.000682,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000121,
412,0.000300,
413,0.000296,
414,0.000295,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000101,
425,0.000166,
426,0.000871,
427,0.002974,
428,0.003639,
429,0.005131,
430,0.003286,
431,0.001864,
432,0.000454,
433,0.000000,
434,0.000031,
435,0.001187,
436,0.001181,
437,0.001161,
438,0.000222,
439,0.000439,
440,0.003299,
441,0.009298,
442,0.010668,
443,0.013542,
444,0.009631,
445,0.009269,
446,0.008471,
447,0.007226,
448,0.032978,
449,0.068651,
450,0.079170,
451,0.074862,
452,0.044536,
453,0.042744,
454,0.042754,
455,0.037666,
456,0.030008,
457,0.023257,
458,0.016148,
459,0.014141,
460,0.012159,
461,0.016004,
462,0.012803,
463,0.010023,
464,0.006607,
465,0.009364,
466,0.009850,
467,0.008076,
468,0.002830,
469,0.005752,
470,0.006539,
471,0.008229,
472,0.003870,
473,0.002750,
474,0.000835,
475,0.002606,
476,0.010459,
477,0.016110,
478,0.019285,
479,0.014961,
480,0.007009,
481,0.003282,
482,0.003507,
483,0.009908,
484,0.013550,
485,0.022832,
486,0.029374,
487,0.030198,
488,0.027787,
489,0.029755,
490,0.043335,
491,0.054787,
492,0.062483,
493,0.065778,
494,0.068477,
495,0.078507,
496,0.088478,
497,0.106558,
498,0.119281,
499,0.136248,
500,0.148038,
501,0.179548,
502,0.215449,
503,0.247490,
504,0.284579,
505,0.321119,
506,0.368953,
507,0.429814,
508,0.496830,
509,0.574818,
510,0.670027,
511,0.779267,
512,0.909052,
513,1.051782,
514,1.203803,
515,1.380083,
516,1.567145,
517,1.781032,
518,1.999293,
519,2.230141,
520,2.463428,
521,2.691969,
522,2.906105,
523,3.091288,
524,3.251752,
525,3.381508,
526,3.476723,
527,3.537015,
528,3.568618,
529,3.566419,
530,3.515551,
531,3.420950,
532,3.286615,
533,3.137549,
534,2.970487,
535,2.800989,
536,2.631395,
537,2.471792,
538,2.302730,
539,2.144861,
540,1.982427,
541,1.851607,
542,1.728182,
543,1.611582,
544,1.515698,
545,1.411258,
546,1.320406,
547,1.241105,
548,1.168210,
549,1.109622,
550,1.043982,
551,0.972969,
552,0.901913,
553,0.829321,
554,0.770475,
555,0.717980,
556,0.666292,
557,0.618512,
558,0.571854,
559,0.523370,
560,0.478176,
561,0.433790,
562,0.401516,
563,0.373722,
564,0.354526,
565,0.337978,
566,0.314687,
567,0.284715,
568,0.256325,
569,0.242352,
570,0.230637,
571,0.227098,
572,0.207758,
573,0.196514,
574,0.181063,
575,0.170032,
576,0.164166,
577,0.158493,
578,0.142885,
579,0.130874,
580,0.117864,
581,0.104317,
582,0.104580,
583,0.107308,
584,0.110237,
585,0.105996,
586,0.094372,
587,0.089355,
588,0.092847,
589,0.098797,
590,0.106714,
591,0.101185,
592,0.094029,
593,0.090695,
594,0.094379,
595,0.100546,
596,0.101042,
597,0.100583,
598,0.102850,
599,0.114660,
600,0.126263,
601,0.139725,
602,0.144714,
603,0.147015,
604,0.154414,
605,0.173251,
606,0.200942,
607,0.224574,
608,0.255351,
609,0.284144,
610,0.317962,
611,0.365864,
612,0.421460,
613,0.491569,
614,0.565926,
615,0.639040,
616,0.724319,
617,0.821517,
618,0.922108,
619,1.024785,
620,1.140217,
621,1.272069,
