類型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-04
測試時間,21:38:27
照度E(lx),112.14
燭光E(fc),10.42
相關色溫(K),1061
黑體偏離Duv,-0.00026
CIE x,0.6434
CIE y,0.3514
CIE u,0.4340
CIE v,0.3555
CIE u',0.4340
CIE v',0.5333
色容差,100.00
顯色指數Ra,45.9
R1,44
R2,63
R3,83
R4,-1
R5,18
R6,1
R7,78
R8,81
R9,57
R10,43
R11,-86
R12,-63
R13,33
R14,76
R15,94
輻照度Ee(mW/c㎡),0.046
明暗視覺比S/P,0.551
主波長(nm),604.90
色純度(%),98.6
半寬度(nm),13.2
峰值波長(nm),630.0
中心波長(nm),628.9
質心波長(nm),617.7
紅色比(%),75.9
綠色比(%),24.1
藍色比(%),0.0
CIE1931 X,300.671
CIE1931 Y,164.193
CIE1931 Z,2.434
TLCI-2012,4
積分時間(ms),140.00
峰值信號,39961
暗信號,2298
補償電平,2958
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.000000,
381,0.000000,
382,0.000000,
383,0.000000,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.000000,
430,0.000000,
431,0.000000,
432,0.000000,
433,0.000000,
434,0.000000,
435,0.000000,
436,0.000000,
437,0.000000,
438,0.000000,
439,0.000000,
440,0.000000,
441,0.000000,
442,0.000000,
443,0.000000,
444,0.000000,
445,0.000000,
446,0.000000,
447,0.000000,
448,0.012771,
449,0.029567,
450,0.029386,
451,0.022681,
452,0.000034,
453,0.000000,
454,0.000000,
455,0.000000,
456,0.000000,
457,0.000000,
458,0.000000,
459,0.000000,
460,0.000000,
461,0.000000,
462,0.000000,
463,0.000000,
464,0.000000,
465,0.000000,
466,0.000000,
467,0.000000,
468,0.000000,
469,0.000000,
470,0.000000,
471,0.000000,
472,0.000000,
473,0.000000,
474,0.000000,
475,0.000000,
476,0.000000,
477,0.000000,
478,0.000000,
479,0.000000,
480,0.000000,
481,0.000000,
482,0.000000,
483,0.000000,
484,0.000105,
485,0.001442,
486,0.001439,
487,0.001436,
488,0.000470,
489,0.000325,
490,0.000684,
491,0.000691,
492,0.001555,
493,0.001946,
494,0.001918,
495,0.002057,
496,0.004954,
497,0.012160,
498,0.015649,
499,0.019984,
500,0.021296,
501,0.032503,
502,0.048318,
503,0.063479,
504,0.081763,
505,0.102339,
506,0.127450,
507,0.156783,
508,0.188162,
509,0.222761,
510,0.266324,
511,0.316008,
512,0.380443,
513,0.448622,
514,0.518944,
515,0.592943,
516,0.667341,
517,0.758978,
518,0.854846,
519,0.963200,
520,1.069724,
521,1.176775,
522,1.275953,
523,1.360185,
524,1.434921,
525,1.494739,
526,1.546793,
527,1.578992,
528,1.605101,
529,1.605984,
530,1.580406,
531,1.534158,
532,1.459103,
533,1.390192,
534,1.309979,
535,1.231321,
536,1.156860,
537,1.087406,
538,1.005178,
539,0.925181,
540,0.842155,
541,0.785916,
542,0.732760,
543,0.682733,
544,0.639096,
545,0.591488,
546,0.549212,
547,0.510334,
548,0.474242,
549,0.449043,
550,0.417963,
551,0.385147,
552,0.356203,
553,0.325588,
554,0.305349,
555,0.284730,
556,0.264607,
557,0.253508,
558,0.238868,
559,0.219874,
560,0.197399,
561,0.168388,
562,0.148290,
563,0.132662,
564,0.129365,
565,0.129424,
566,0.120584,
567,0.102218,
568,0.084046,
569,0.078205,
570,0.079566,
571,0.083039,
572,0.071619,
573,0.064331,
574,0.056275,
575,0.053342,
576,0.056922,
577,0.055716,
578,0.048734,
579,0.042870,
580,0.038431,
581,0.035654,
582,0.040778,
583,0.050683,
584,0.057621,
585,0.058797,
586,0.056767,
587,0.061008,
588,0.074580,
589,0.089577,
590,0.107457,
591,0.112310,
592,0.123581,
593,0.147681,
594,0.181792,
595,0.225223,
596,0.263125,
597,0.314772,
598,0.384647,
599,0.468127,
600,0.562378,
601,0.671000,
602,0.788148,
603,0.902435,
604,1.052208,
605,1.230032,
606,1.444360,
607,1.693433,
608,1.988722,
609,2.321589,
610,2.660607,
611,3.096559,
612,3.598858,
613,4.191136,
614,4.859083,
615,5.527862,
616,6.350079,
617,7.247667,
618,8.204219,
619,9.213746,
620,10.262471,
621,11.366763,
622,12.418324,
623,13.739805,
624,15.256312,
625,17.060453,
626,19.163492,
627,21.190226,
628,23.390203,
629,25.126417,
630,25.886728,
631,25.425112,
632,23.860817,
633,21.017914,
634,17.556303,
