類型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-04
測試時間,21:39:02
照度E(lx),85.35
燭光E(fc),7.93
相關色溫(K),1443
黑體偏離Duv,0.00143
CIE x,0.5967
CIE y,0.3930
CIE u,0.3659
CIE v,0.3615
CIE u',0.3659
CIE v',0.5423
色容差,69.85
顯色指數Ra,30.2
R1,12
R2,58
R3,65
R4,-29
R5,-3
R6,5
R7,83
R8,50
R9,36
R10,33
R11,-92
R12,-32
R13,9
R14,68
R15,53
輻照度Ee(mW/c㎡),0.031
明暗視覺比S/P,0.887
主波長(nm),595.30
色純度(%),97.1
半寬度(nm),12.9
峰值波長(nm),630.0
中心波長(nm),628.8
質心波長(nm),609.4
紅色比(%),60.5
綠色比(%),39.5
藍色比(%),0.1
CIE1931 X,189.705
CIE1931 Y,124.964
CIE1931 Z,3.269
TLCI-2012,4
積分時間(ms),140.00
峰值信號,25529
暗信號,2301
補償電平,2958
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.004394,
381,0.004471,
382,0.002115,
383,0.001664,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000000,
403,0.000000,
404,0.000000,
405,0.000000,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000000,
428,0.000000,
429,0.001011,
430,0.001012,
431,0.001011,
432,0.000253,
433,0.000000,
434,0.000000,
435,0.000000,
436,0.000000,
437,0.000000,
438,0.000000,
439,0.000000,
440,0.000000,
441,0.001785,
442,0.002331,
443,0.002313,
444,0.001369,
445,0.000000,
446,0.000000,
447,0.000000,
448,0.016638,
449,0.044290,
450,0.045445,
451,0.037568,
452,0.006717,
453,0.006786,
454,0.006315,
455,0.004531,
456,0.000768,
457,0.000518,
458,0.000484,
459,0.000387,
460,0.000000,
461,0.000000,
462,0.000000,
463,0.000000,
464,0.000126,
465,0.000169,
466,0.000169,
467,0.000102,
468,0.000000,
469,0.000000,
470,0.000000,
471,0.000000,
472,0.000000,
473,0.000000,
474,0.000000,
475,0.000000,
476,0.001512,
477,0.002522,
478,0.002639,
479,0.001999,
480,0.000167,
481,0.000000,
482,0.000000,
483,0.000000,
484,0.000998,
485,0.006597,
486,0.009909,
487,0.011220,
488,0.006363,
489,0.004357,
490,0.006531,
491,0.010481,
492,0.016075,
493,0.019371,
494,0.017433,
495,0.019141,
496,0.022614,
497,0.033577,
498,0.044162,
499,0.057459,
500,0.066457,
501,0.082399,
502,0.097670,
503,0.110536,
504,0.132223,
505,0.152823,
506,0.176444,
507,0.205899,
508,0.245930,
509,0.294226,
510,0.353005,
511,0.415307,
512,0.486661,
513,0.565377,
514,0.649519,
515,0.738843,
516,0.831530,
517,0.943709,
518,1.067233,
519,1.203231,
520,1.335870,
521,1.465487,
522,1.585087,
523,1.692513,
524,1.789352,
525,1.861440,
526,1.918376,
527,1.949212,
528,1.970975,
529,1.967790,
530,1.935417,
531,1.879535,
532,1.800976,
533,1.719763,
534,1.626216,
535,1.528184,
536,1.437933,
