類型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-04
測試時間,21:39:18
照度E(lx),76.03
燭光E(fc),7.06
相關色溫(K),1876
黑體偏離Duv,0.00607
CIE x,0.5555
CIE y,0.4295
CIE u,0.3154
CIE v,0.3659
CIE u',0.3154
CIE v',0.5489
色容差,32.22
顯色指數Ra,23.4
R1,5
R2,63
R3,51
R4,-23
R5,3
R6,26
R7,56
R8,7
R9,-31
R10,42
R11,-64
R12,7
R13,10
R14,62
R15,31
輻照度Ee(mW/c㎡),0.025
明暗視覺比S/P,1.132
主波長(nm),588.40
色純度(%),95.7
半寬度(nm),12.7
峰值波長(nm),630.0
中心波長(nm),628.9
質心波長(nm),602.0
紅色比(%),49.5
綠色比(%),50.4
藍色比(%),0.1
CIE1931 X,143.962
CIE1931 Y,111.324
CIE1931 Z,3.885
TLCI-2012,4
積分時間(ms),140.00
峰值信號,19483
暗信號,2301
補償電平,2958
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.005625,
381,0.005420,
382,0.002149,
383,0.001359,
384,0.000000,
385,0.000000,
386,0.000000,
387,0.000000,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000000,
396,0.000000,
397,0.000000,
398,0.000000,
399,0.000000,
400,0.000000,
401,0.000000,
402,0.000584,
403,0.000581,
404,0.000576,
405,0.000156,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000078,
428,0.000407,
429,0.002355,
430,0.002357,
431,0.002052,
432,0.000473,
433,0.000000,
434,0.000000,
435,0.000000,
436,0.000000,
437,0.000000,
438,0.000000,
439,0.000000,
440,0.000392,
441,0.003254,
442,0.003553,
443,0.005605,
444,0.004747,
445,0.003854,
446,0.003121,
447,0.000794,
448,0.018211,
449,0.045695,
450,0.048059,
451,0.042212,
452,0.013038,
453,0.013246,
454,0.013640,
455,0.010526,
456,0.006343,
457,0.003201,
458,0.002221,
459,0.001977,
460,0.001437,
461,0.001374,
462,0.000754,
463,0.000353,
464,0.000272,
465,0.000294,
466,0.000252,
467,0.000100,
468,0.000009,
469,0.000037,
470,0.000037,
471,0.000036,
472,0.000000,
473,0.000000,
474,0.000000,
475,0.001222,
476,0.003572,
477,0.004692,
478,0.006080,
479,0.003895,
480,0.002358,
481,0.000290,
482,0.000000,
483,0.000959,
484,0.002741,
485,0.008406,
486,0.011411,
487,0.011885,
488,0.006604,
489,0.006647,
490,0.014277,
491,0.018226,
492,0.024453,
493,0.027536,
494,0.030525,
495,0.037096,
496,0.042019,
497,0.053570,
498,0.063175,
499,0.078582,
500,0.086118,
501,0.105130,
502,0.123139,
503,0.138212,
504,0.157542,
505,0.178216,
506,0.208014,
507,0.249853,
508,0.296407,
509,0.344427,
510,0.407060,
511,0.474135,
512,0.562331,
513,0.651966,
514,0.747245,
515,0.849565,
516,0.960540,
517,1.094053,
518,1.233498,
519,1.378459,
520,1.523473,
521,1.667636,
522,1.807237,
523,1.932117,
524,2.042439,
525,2.128044,
526,2.195934,
527,2.231447,
528,2.253087,
529,2.246805,
530,2.208859,
531,2.149144,
532,2.061759,
533,1.966786,
534,1.855523,
535,1.740583,
536,1.633995,
537,1.539178,
538,1.433419,
539,1.329249,
540,1.220405,
541,1.137038,
542,1.061635,
543,0.989898,
544,0.928853,
545,0.864951,
546,0.807591,
547,0.757548,
548,0.707694,
549,0.665831,
550,0.623029,
551,0.576136,
552,0.535904,
553,0.494050,
554,0.461610,
555,0.432174,
556,0.399901,
557,0.375619,
558,0.351941,
559,0.326096,
560,0.299497,
561,0.264930,
562,0.243067,
563,0.222686,
564,0.213192,
565,0.206366,
566,0.190960,
567,0.172161,
568,0.151593,
569,0.141676,
570,0.138281,
571,0.141282,
572,0.132770,
573,0.127204,
574,0.114889,
575,0.104516,
576,0.099448,
577,0.093396,
578,0.083331,
579,0.077333,
580,0.073577,
581,0.066561,
582,0.069082,
583,0.071180,
584,0.077420,
585,0.078238,
586,0.073650,
587,0.075058,
588,0.082145,
589,0.090988,
590,0.099193,
591,0.097866,
592,0.100356,
593,0.108393,
594,0.119967,
595,0.135265,
596,0.149031,
597,0.166306,
598,0.192058,
599,0.228217,
600,0.266572,
601,0.315500,
602,0.359905,
603,0.400194,
604,0.452757,
605,0.525826,
606,0.619721,
607,0.720614,
608,0.837746,
609,0.969954,
610,1.107526,
611,1.295495,
612,1.504466,
613,1.761617,
614,2.049723,
615,2.344267,
616,2.718049,
617,3.126965,
618,3.568941,
619,4.021193,
620,4.496549,
621,5.001292,
622,5.496296,
623,6.119208,
624,6.831665,
625,7.686551,
626,8.682710,
627,9.635887,
628,10.667196,
629,11.459161,
630,11.788309,
631,11.539640,
632,10.772141,
633,9.417124,
634,7.784648,
635,6.126798,
636,4.665998,
637,3.609507,
638,2.702112,
639,2.030949,
640,1.547518,
641,1.207581,
642,0.983077,
643,0.779230,
644,0.608776,
645,0.461816,
646,0.355546,
647,0.289723,
648,0.227678,
649,0.178323,
650,0.141603,
651,0.119229,
652,0.108399,
653,0.087918,
654,0.065597,
655,0.054317,
656,0.054049,
657,0.055165,
658,0.058661,
659,0.049905,
660,0.042010,
661,0.030713,
662,0.018350,
663,0.022985,
664,0.029742,
665,0.029203,
666,0.019776,
667,0.004677,
668,0.000009,
669,0.000989,
670,0.002783,
671,0.004343,
672,0.004414,
673,0.002015,
674,0.000693,
675,0.000461,
676,0.000464,
677,0.000466,
678,0.000235,
679,0.000000,
680,0.000000,
681,0.000000,
682,0.000000,
683,0.000000,
684,0.000000,
685,0.000265,
686,0.005440,
687,0.007493,
688,0.007558,
689,0.005035,
690,0.000441,
691,0.000000,
692,0.000000,
693,0.000000,
694,0.000000,
695,0.000000,
696,0.000000,
697,0.000000,
698,0.000000,
699,0.000000,
700,0.000000,
701,0.000000,
702,0.000000,
703,0.000000,
704,0.000000,
705,0.000000,
706,0.000000,
707,0.000000,
708,0.000000,
709,0.000000,
710,0.000000,
711,0.000000,
712,0.000183,
713,0.000461,
714,0.000464,
715,0.000468,
716,0.000000,
717,0.000000,
718,0.000000,
719,0.000000,
720,0.000000,
721,0.000000,
722,0.000000,
723,0.000000,
724,0.000000,
725,0.000123,
726,0.000247,
727,0.000249,
728,0.000200,
729,0.000000,
730,0.000000,
731,0.000000,
732,0.000000,
733,0.000000,
734,0.000000,
735,0.000000,
736,0.000000,
737,0.000000,
738,0.000000,
739,0.000000,
740,0.000000,
741,0.000000,
742,0.000000,
743,0.000000,
744,0.000000,
745,0.000000,
746,0.000000,
747,0.001441,
748,0.001941,
749,0.001968,
750,0.001497,
751,0.000449,
752,0.007875,
753,0.007969,
754,0.008069,
755,0.002896,
756,0.000000,
757,0.000000,
758,0.000000,
759,0.000000,
760,0.000000,
761,0.000000,
762,0.000000,
763,0.000000,
764,0.002542,
765,0.004297,
766,0.004350,
767,0.003519,
768,0.000000,
769,0.000000,
770,0.029682,
771,0.034164,
772,0.034029,
773,0.018189,
774,0.000000,
775,0.000000,
776,0.000000,
777,0.000000,
778,0.000000,
779,0.000000,
780,0.000000,
