類型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-04
測試時間,21:39:34
照度E(lx),71.65
燭光E(fc),6.66
相關色溫(K),2557
黑體偏離Duv,0.01747
CIE x,0.5071
CIE y,0.4725
CIE u,0.2650
CIE v,0.3703
CIE u',0.2650
CIE v',0.5555
色容差,25.58
顯色指數Ra,25.0
R1,13
R2,68
R3,35
R4,0
R5,26
R6,47
R7,31
R8,-22
R9,-82
R10,47
R11,-16
R12,28
R13,25
R14,56
R15,23
輻照度Ee(mW/c㎡),0.021
明暗視覺比S/P,1.370
主波長(nm),580.80
色純度(%),94.2
半寬度(nm),12.5
峰值波長(nm),630.0
中心波長(nm),629.0
質心波長(nm),593.2
紅色比(%),38.8
綠色比(%),61.0
藍色比(%),0.2
CIE1931 X,112.601
CIE1931 Y,104.911
CIE1931 Z,4.521
TLCI-2012,4
積分時間(ms),140.00
峰值信號,15113
暗信號,2301
補償電平,2958
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.009851,
381,0.008263,
382,0.001720,
383,0.001607,
384,0.000961,
385,0.001137,
386,0.000446,
387,0.000352,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000000,
395,0.000325,
396,0.001598,
397,0.001601,
398,0.001581,
399,0.000308,
400,0.000000,
401,0.000000,
402,0.000341,
403,0.000350,
404,0.000348,
405,0.000108,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000000,
422,0.000000,
423,0.000000,
424,0.000000,
425,0.000000,
426,0.000000,
427,0.000014,
428,0.000185,
429,0.002253,
430,0.002268,
431,0.002749,
432,0.001350,
433,0.000895,
434,0.000669,
435,0.000020,
436,0.000020,
437,0.000020,
438,0.000004,
439,0.000000,
440,0.000153,
441,0.001668,
442,0.001879,
443,0.002996,
444,0.002574,
445,0.001866,
446,0.001442,
447,0.000221,
448,0.019421,
449,0.051689,
450,0.056558,
451,0.051403,
452,0.021187,
453,0.019255,
454,0.019330,
455,0.013915,
456,0.007934,
457,0.004955,
458,0.003918,
459,0.003506,
460,0.002909,
461,0.001539,
462,0.001304,
463,0.001802,
464,0.002532,
465,0.003164,
466,0.002499,
467,0.001022,
468,0.000310,
469,0.001101,
470,0.001099,
471,0.001378,
472,0.000311,
473,0.000285,
474,0.000057,
475,0.001321,
476,0.007432,
477,0.010331,
478,0.010483,
479,0.006319,
480,0.001148,
481,0.000005,
482,0.000000,
483,0.003003,
484,0.004295,
485,0.010776,
486,0.013011,
487,0.013730,
488,0.009775,
489,0.011060,
490,0.019989,
491,0.026093,
492,0.035301,
493,0.039673,
494,0.041334,
495,0.045068,
496,0.047513,
497,0.059521,
498,0.071671,
499,0.087490,
500,0.095306,
501,0.114258,
502,0.134974,
503,0.157587,
504,0.189553,
505,0.218553,
506,0.252440,
507,0.293409,
508,0.342672,
509,0.401669,
510,0.474686,
511,0.551347,
512,0.645777,
513,0.743457,
514,0.852564,
515,0.973447,
516,1.108550,
517,1.263218,
518,1.422919,
519,1.592858,
520,1.759157,
521,1.928705,
522,2.080843,
523,2.213759,
524,2.328894,
525,2.425006,
