類型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-04
測試時間,21:40:08
照度E(lx),70.86
燭光E(fc),6.58
相關色溫(K),3652
黑體偏離Duv,0.04141
CIE x,0.4452
CIE y,0.5260
CIE u,0.2115
CIE v,0.3747
CIE u',0.2115
CIE v',0.5621
色容差,54.22
顯色指數Ra,34.1
R1,45
R2,56
R3,20
R4,33
R5,67
R6,46
R7,19
R8,-14
R9,-79
R10,13
R11,33
R12,27
R13,51
R14,54
R15,41
輻照度Ee(mW/c㎡),0.019
明暗視覺比S/P,1.619
主波長(nm),571.60
色純度(%),91.7
半寬度(nm),12.5
峰值波長(nm),630.0
中心波長(nm),629.0
質心波長(nm),581.7
紅色比(%),27.8
綠色比(%),72.0
藍色比(%),0.2
CIE1931 X,87.820
CIE1931 Y,103.744
CIE1931 Z,5.679
TLCI-2012,5
積分時間(ms),140.00
峰值信號,11453
暗信號,2316
補償電平,2958
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.016443,
381,0.014165,
382,0.003383,
383,0.003506,
384,0.001447,
385,0.001423,
386,0.000113,
387,0.000072,
388,0.000000,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000000,
394,0.000003,
395,0.000078,
396,0.000355,
397,0.000354,
398,0.000515,
399,0.001789,
400,0.001670,
401,0.001637,
402,0.003265,
403,0.003199,
404,0.003175,
405,0.001045,
406,0.000000,
407,0.000000,
408,0.000000,
409,0.000000,
410,0.000000,
411,0.000000,
412,0.000000,
413,0.000000,
414,0.000000,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000000,
420,0.000000,
421,0.000728,
422,0.000720,
423,0.000719,
424,0.000838,
425,0.000912,
426,0.001132,
427,0.001220,
428,0.001753,
429,0.005730,
430,0.005538,
431,0.005870,
432,0.002704,
433,0.001515,
434,0.001220,
435,0.000835,
436,0.000830,
437,0.000719,
438,0.000077,
439,0.000000,
440,0.000475,
441,0.005784,
442,0.007070,
443,0.012151,
444,0.011142,
445,0.010849,
446,0.010080,
447,0.005614,
448,0.026055,
449,0.059467,
450,0.069009,
451,0.063667,
452,0.032828,
453,0.030956,
454,0.032733,
455,0.028333,
456,0.018443,
457,0.012946,
458,0.008676,
459,0.009539,
460,0.008386,
461,0.010625,
462,0.008350,
463,0.006265,
464,0.004215,
465,0.004470,
466,0.004703,
467,0.003577,
468,0.001106,
469,0.003588,
470,0.004073,
471,0.004216,
472,0.001594,
473,0.000252,
474,0.000000,
475,0.000815,
476,0.007329,
477,0.011039,
478,0.014087,
479,0.012494,
480,0.006597,
481,0.004355,
482,0.004639,
483,0.009142,
484,0.013580,
485,0.021826,
486,0.026504,
487,0.027828,
488,0.019215,
489,0.020223,
490,0.029427,
491,0.037287,
492,0.045889,
493,0.048250,
494,0.049317,
495,0.058072,
496,0.065703,
497,0.081522,
498,0.097056,
499,0.115206,
500,0.126648,
501,0.148724,
502,0.171965,
503,0.193101,
504,0.223564,
505,0.255207,
506,0.296341,
507,0.349950,
508,0.406940,
509,0.473466,
510,0.555421,
511,0.646657,
512,0.758196,
513,0.877133,
514,1.005767,
515,1.149291,
516,1.300261,
517,1.476272,
518,1.664026,
519,1.863526,
520,2.062537,
521,2.255360,
522,2.433496,
523,2.590365,
524,2.727530,
525,2.837405,
526,2.923759,
527,2.975970,
528,3.002586,
529,2.993089,
530,2.940676,
531,2.855232,
532,2.742347,
533,2.619772,
534,2.476406,
535,2.331542,
536,2.191835,
537,2.062712,
538,1.921639,
539,1.781844,
540,1.639569,
541,1.528453,
542,1.423974,
543,1.329507,
544,1.248560,
545,1.164441,
546,1.091212,
547,1.023090,
548,0.964114,
549,0.912804,
550,0.852573,
551,0.785480,
552,0.720388,
553,0.665100,
554,0.622914,
555,0.588883,
556,0.547297,
557,0.509903,
558,0.472998,
559,0.431880,
560,0.393989,
561,0.354890,
562,0.325629,
563,0.303305,
564,0.290177,
565,0.277225,
566,0.259345,
567,0.232137,
568,0.209077,
569,0.196995,
570,0.189168,
571,0.184763,
572,0.168206,
573,0.157818,
574,0.144219,
575,0.135802,
576,0.130620,
577,0.127626,
578,0.118212,
579,0.109712,
580,0.098291,
581,0.083876,
582,0.083504,
583,0.088818,
584,0.093883,
585,0.095051,
586,0.089012,
587,0.091619,
588,0.097101,
589,0.102771,
590,0.106344,
591,0.099934,
592,0.092271,
593,0.092876,
594,0.096892,
595,0.107061,
596,0.110658,
597,0.117499,
598,0.134783,
599,0.159393,
600,0.181987,
601,0.203802,
602,0.217448,
603,0.231090,
604,0.248951,
605,0.282326,
606,0.331135,
607,0.383011,
608,0.447567,
609,0.509659,
610,0.573556,
611,0.664590,
612,0.771206,
613,0.904756,
614,1.048285,
615,1.192096,
616,1.372620,
617,1.577529,
618,1.803255,
619,2.033511,
620,2.288380,
621,2.558850,
622,2.827124,
623,3.159128,
624,3.538991,
625,4.004134,
626,4.559201,
627,5.083125,
628,5.643844,
629,6.077191,
630,6.267087,
631,6.142501,
632,5.727379,
633,4.970878,
634,4.065823,
635,3.150396,
636,2.359571,
637,1.804108,
638,1.344810,
639,1.010956,
640,0.774748,
641,0.619118,
642,0.521236,
643,0.429945,
644,0.351275,
645,0.264309,
646,0.212010,
647,0.177271,
648,0.144690,
649,0.115956,
650,0.092409,
651,0.080145,
652,0.074101,
653,0.060110,
654,0.040016,
655,0.033470,
656,0.034589,
657,0.041083,
658,0.042250,
659,0.036869,
660,0.032257,
661,0.028728,
662,0.026650,
663,0.037446,
664,0.041888,
665,0.036543,
666,0.020614,
667,0.003947,
668,0.000069,
669,0.002102,
670,0.004794,
671,0.007816,
672,0.007741,
673,0.003774,
674,0.001249,
675,0.001336,
676,0.001552,
677,0.001560,
678,0.000997,
679,0.000000,
680,0.000000,
681,0.000618,
682,0.004814,
683,0.005032,
684,0.005358,
685,0.001693,
686,0.006838,
687,0.011653,
688,0.011676,
689,0.009015,
690,0.001497,
691,0.000374,
692,0.000465,
693,0.000343,
694,0.000346,
695,0.000418,
696,0.001051,
697,0.005039,
698,0.005565,
699,0.006570,
700,0.005234,
701,0.003032,
702,0.002496,
703,0.000000,
704,0.000000,
705,0.000000,
706,0.000000,
707,0.000000,
708,0.000000,
709,0.000464,
710,0.001170,
711,0.001179,
712,0.002280,
713,0.002476,
714,0.002493,
715,0.002371,
716,0.000002,
717,0.000000,
718,0.000000,
719,0.000000,
720,0.000000,
721,0.000000,
722,0.000000,
723,0.000000,
724,0.001281,
725,0.008138,
726,0.011850,
727,0.011931,
728,0.006783,
729,0.000277,
730,0.000280,
731,0.000282,
732,0.000071,
733,0.000000,
734,0.000000,
735,0.000000,
736,0.000484,
737,0.000976,
738,0.000984,
739,0.000992,
740,0.000004,
741,0.000321,
742,0.000324,
743,0.000328,
744,0.000161,
745,0.000000,
746,0.000000,
747,0.001147,
748,0.001883,
749,0.001909,
750,0.001654,
751,0.001678,
752,0.014130,
753,0.014300,
754,0.014479,
755,0.004512,
756,0.000000,
757,0.000401,
758,0.001924,
759,0.003174,
760,0.003213,
761,0.001909,
762,0.000402,
763,0.000000,
764,0.004411,
765,0.007274,
766,0.007364,
767,0.005846,
768,0.000000,
769,0.000649,
770,0.042938,
771,0.051635,
772,0.051217,
773,0.029058,
774,0.001702,
775,0.001706,
776,0.001716,
777,0.000865,
