類型,OHSP-350
系統版本號,1.60.2
描述,OHS
測試日期,2026-03-04
測試時間,21:40:24
照度E(lx),74.01
燭光E(fc),6.88
相關色溫(K),4465
黑體偏離Duv,0.06371
CIE x,0.3991
CIE y,0.5678
CIE u,0.1771
CIE v,0.3779
CIE u',0.1771
CIE v',0.5668
色容差,77.85
顯色指數Ra,37.9
R1,73
R2,39
R3,9
R4,35
R5,88
R6,31
R7,16
R8,13
R9,-24
R10,-24
R11,29
R12,11
R13,55
R14,52
R15,64
輻照度Ee(mW/c㎡),0.018
明暗視覺比S/P,1.774
主波長(nm),564.60
色純度(%),90.5
半寬度(nm),12.0
峰值波長(nm),630.0
中心波長(nm),629.0
質心波長(nm),572.7
紅色比(%),20.9
綠色比(%),78.9
藍色比(%),0.3
CIE1931 X,76.172
CIE1931 Y,108.361
CIE1931 Z,6.314
TLCI-2012,5
積分時間(ms),140.00
峰值信號,9585
暗信號,2334
補償電平,2958
起始波長(nm),380
終止波長(nm),780
波長(nm),[mW/m2/nm]
380,0.021990,
381,0.018930,
382,0.006691,
383,0.005482,
384,0.003009,
385,0.003384,
386,0.001142,
387,0.000933,
388,0.000063,
389,0.000000,
390,0.000000,
391,0.000000,
392,0.000000,
393,0.000792,
394,0.004321,
395,0.004893,
396,0.004882,
397,0.001503,
398,0.001679,
399,0.004782,
400,0.004575,
401,0.004050,
402,0.003601,
403,0.003882,
404,0.003926,
405,0.001672,
406,0.000177,
407,0.001044,
408,0.001129,
409,0.001538,
410,0.000776,
411,0.000549,
412,0.000136,
413,0.000108,
414,0.000107,
415,0.000000,
416,0.000000,
417,0.000000,
418,0.000000,
419,0.000207,
420,0.001279,
421,0.002660,
422,0.002540,
423,0.001709,
424,0.001141,
425,0.001101,
426,0.001291,
427,0.001131,
428,0.000999,
429,0.003919,
430,0.003729,
431,0.003456,
432,0.001029,
433,0.000191,
434,0.000238,
435,0.000234,
436,0.000233,
437,0.000185,
438,0.000009,
439,0.000259,
440,0.001981,
441,0.009094,
442,0.010225,
443,0.011802,
444,0.006734,
445,0.005181,
446,0.006194,
447,0.008645,
448,0.032029,
449,0.064025,
450,0.071750,
451,0.065563,
452,0.034340,
453,0.030583,
454,0.027758,
455,0.023547,
456,0.018817,
457,0.012841,
458,0.009154,
459,0.004130,
460,0.002575,
461,0.004574,
462,0.004269,
463,0.004537,
464,0.003726,
465,0.004470,
466,0.004002,
467,0.002388,
468,0.000174,
469,0.000529,
470,0.000528,
471,0.000526,
472,0.000000,
473,0.000000,
474,0.000000,
475,0.002114,
476,0.010467,
477,0.014424,
478,0.017350,
479,0.012823,
480,0.006600,
481,0.004069,
482,0.004780,
483,0.007295,
484,0.009731,
485,0.017142,
486,0.024226,
487,0.027064,
488,0.020513,
489,0.024183,
490,0.038255,
491,0.049317,
492,0.059324,
493,0.059131,
494,0.062549,
495,0.071701,
496,0.079675,
497,0.094509,
498,0.107223,
499,0.126146,
500,0.140706,
501,0.168815,
502,0.197483,
503,0.224795,
504,0.262388,
505,0.303979,
506,0.349666,
507,0.410161,
508,0.471062,
509,0.544800,
510,0.633929,
511,0.738335,
512,0.865452,
513,1.003995,
514,1.155711,
515,1.318947,
516,1.497420,
517,1.697096,
518,1.914645,
519,2.144314,
520,2.372206,
521,2.587765,
522,2.782916,
523,2.956863,
524,3.115932,
525,3.249391,
526,3.352255,
527,3.411007,
528,3.436374,
529,3.425748,
530,3.366391,
531,3.278937,
532,3.155913,
533,3.015827,
534,2.855326,
535,2.681879,
536,2.516707,
537,2.359041,
538,2.199195,
539,2.047547,
540,1.894597,
541,1.769375,
542,1.648630,
543,1.535540,
544,1.440018,
545,1.345464,
546,1.261632,
547,1.186349,
548,1.112387,
549,1.044182,
550,0.976204,
551,0.902911,
552,0.837728,
553,0.773042,
554,0.718170,
555,0.668726,
556,0.618423,
557,0.575876,
558,0.534625,
559,0.489582,
560,0.445796,
561,0.401332,
562,0.368862,
563,0.344560,
564,0.329924,
565,0.316784,
566,0.292198,
567,0.262957,
568,0.233910,
569,0.220926,
570,0.211807,
571,0.207483,
572,0.188539,
573,0.175229,
574,0.161461,
575,0.153253,
576,0.151354,
577,0.145774,
578,0.133232,
579,0.122714,
580,0.111561,
581,0.097831,
582,0.095251,
583,0.095496,
584,0.099245,
585,0.094912,
586,0.087796,
587,0.087600,
588,0.093563,
589,0.101651,
590,0.105492,
591,0.099716,
592,0.093933,
593,0.093494,
594,0.095175,
595,0.102696,
596,0.105322,
597,0.109194,
598,0.119047,
599,0.134922,
600,0.146413,
601,0.162031,
602,0.174853,
603,0.187467,
604,0.203448,
605,0.231103,
606,0.267612,
607,0.308670,
608,0.358436,
609,0.404805,
610,0.452989,
611,0.521836,
612,0.602181,
613,0.708010,
614,0.822817,
615,0.932588,
616,1.073146,
617,1.233936,
618,1.407094,
619,1.584582,
620,1.773433,
621,1.987549,
622,2.198775,
623,2.457068,
624,2.751431,
625,3.116918,
626,3.559549,
627,3.984720,
628,4.443463,
629,4.799027,
630,4.958182,
631,4.856758,
632,4.516470,
633,3.904719,
634,3.180859,
635,2.455749,
636,1.839060,
637,1.406534,
638,1.046355,
639,0.787035,
640,0.599620,
641,0.484125,
642,0.417899,
643,0.350236,
644,0.288389,
645,0.208708,
646,0.160267,
647,0.135332,
648,0.110977,
649,0.088967,
650,0.069245,
651,0.060222,
652,0.061004,
653,0.055722,
654,0.043437,
655,0.036278,
656,0.033693,
657,0.032547,
658,0.033893,
659,0.030535,
660,0.028250,
661,0.026895,
662,0.019775,
663,0.025173,
664,0.032964,
665,0.029474,
666,0.019746,
667,0.005916,
668,0.000232,
669,0.001609,
670,0.004449,
671,0.006762,
672,0.006494,
673,0.003434,
674,0.001050,
675,0.001952,
676,0.002123,
677,0.002135,
678,0.001239,
679,0.000000,
680,0.000000,
681,0.000719,
682,0.004914,
683,0.005080,
684,0.005178,
685,0.001063,
686,0.005760,
687,0.012038,
688,0.012374,
689,0.010357,
690,0.002060,
691,0.000296,
692,0.000596,
693,0.000601,
694,0.000606,
