栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-9.999,0.00279836,7.99704,0.00228522,0.816628
-9.87751,0.00277201,7.99706,0.0022665,0.817638
-9.75591,0.00276003,7.99706,0.00226542,0.820795
-9.63537,0.0026972,7.99706,0.00220931,0.819112
-9.51411,0.00265488,7.99706,0.00217842,0.820534
-9.39251,0.00263676,7.99705,0.00216328,0.820431
-9.27098,0.00261411,7.99706,0.00215034,0.82259
-9.15047,0.00261083,7.99706,0.00214599,0.821957
-9.02881,0.00257035,7.99705,0.00211241,0.821837
-8.9072,0.00255503,7.99706,0.0021012,0.822378
-8.78667,0.0025291,7.99706,0.00207848,0.821826
-8.66513,0.00252261,7.99706,0.00207664,0.823211
-8.54353,0.00251247,7.99706,0.00206769,0.822971
-8.42337,0.00248142,7.99705,0.0020439,0.823682
-8.30176,0.0024571,7.99705,0.00202243,0.823096
-8.18024,0.00244374,7.99707,0.00201194,0.823304
-8.05974,0.00241471,7.99705,0.00198988,0.824066
-7.9381,0.00238831,7.99706,0.00197312,0.826157
-7.81677,0.00235898,7.99706,0.001951,0.827052
-7.69626,0.00234336,7.99705,0.00194354,0.829382
-7.57473,0.0023222,7.99705,0.00193269,0.832267
-7.45311,0.00230307,7.99706,0.00191928,0.833357
-7.33187,0.00228602,7.99705,0.00190956,0.835321
-7.21138,0.00226772,7.99705,0.00190043,0.838036
-7.08974,0.00224149,7.99706,0.00190031,0.847789
-6.9682,0.00222182,7.99705,0.00193836,0.87242
-6.84771,0.00220209,7.99704,0.00203436,0.923831
-6.72632,0.0021755,7.99705,0.00221641,1.0188
-6.60469,0.00216591,7.99705,0.00250972,1.15874
-6.48428,0.00214105,7.99705,0.0028889,1.34929
-6.36269,0.0021184,7.99706,0.00338406,1.59746
-6.24105,0.00211423,7.99705,0.00401786,1.90039
-6.12089,0.00210075,7.99704,0.00468171,2.22859
-5.99929,0.00208538,7.99704,0.00541241,2.59541
-5.87775,0.00206255,7.99704,0.00617828,2.99546
-5.75614,0.00205176,7.99705,0.0070023,3.41283
-5.63587,0.00203817,7.99705,0.00784259,3.84786
-5.51425,0.00202356,7.99705,0.00875056,4.32434
-5.39262,0.00201075,7.99705,0.00966748,4.8079
-5.27219,0.0019934,7.99704,0.0105571,5.29603
-5.15057,0.00198797,7.99706,0.011475,5.77222
-5.02932,0.00196514,7.99706,0.0123804,6.30001
-4.90882,0.00192914,7.99705,0.0132672,6.87726
-4.78732,0.00191495,7.99705,0.0142645,7.44902
-4.66571,0.00190089,7.99705,0.0152269,8.01041
-4.54516,0.00187835,7.99706,0.0161305,8.58759
-4.42402,0.00185701,7.99704,0.0170156,9.1629
-4.30241,0.00183347,7.99706,0.0179197,9.77365
-4.18198,0.00181702,7.99706,0.0188457,10.3718
-4.06038,0.00180527,7.99705,0.0199046,11.0258
-3.93915,0.00178423,7.99705,0.0208566,11.6894
-3.81754,0.00177785,7.99705,0.0217564,12.2375
-3.697,0.00175604,7.99705,0.0226332,12.8888
-3.57547,0.00173601,7.99705,0.0234896,13.5308
-3.45386,0.00172188,7.99705,0.024421,14.1828
-3.33371,0.00170454,7.99704,0.0254521,14.9319
-3.2121,0.00168856,7.99704,0.0264173,15.6449
-3.09058,0.00168242,7.99704,0.0272195,16.1788
-2.97007,0.00167354,7.99704,0.0280057,16.7344
-2.84844,0.00165607,7.99705,0.0288786,17.438
-2.72718,0.00162567,7.99706,0.0298321,18.3506
-2.6067,0.00161232,7.99704,0.0307646,19.081
-2.48515,0.00160088,7.99704,0.0316033,19.7412
-2.36355,0.00158681,7.99702,0.0324186,20.43
-2.24204,0.00156809,7.99704,0.033172,21.1544
-2.12154,0.00155313,7.99704,0.0339486,21.8582
-1.9999,0.00154341,7.99704,0.0346855,22.4733
-1.87838,0.00153298,7.99703,0.0354808,23.145
-1.75788,0.00151981,7.99703,0.0362092,23.8248
-1.63664,0.00150133,7.99702,0.0369255,24.5952
-1.51501,0.00149322,7.99703,0.0376497,25.2138
-1.39458,0.00148225,7.99704,0.0383303,25.8595
-1.27299,0.00147301,7.99704,0.0389828,26.4647
-1.15136,0.00146413,7.99703,0.0396406,27.0745
-1.03106,0.00145495,7.99703,0.0402613,27.6719
-0.909448,0.00144375,7.99703,0.0408785,28.3141
-0.787899,0.00143004,7.99704,0.0414798,29.006
-0.667396,0.00142026,7.99704,0.0420245,29.5893
-0.546159,0.00140607,7.99704,0.042529,30.2467
-0.424562,0.00138682,7.99704,0.0430217,31.0218
-0.302921,0.00137424,7.99703,0.043496,31.6509
-0.182512,0.00136047,7.99701,0.0439729,32.3218
-0.0609035,0.00135457,7.99703,0.0444562,32.8194
0.0595105,0.00148451,7.99703,0.0449452,30.2761
0.181088,0.00145304,7.99704,0.0452763,31.1597
0.302576,0.0014323,7.99703,0.0456075,31.8421
0.424187,0.00142407,7.99703,0.0459573,32.2718
0.544649,0.00140732,7.99703,0.0462777,32.8836
0.665857,0.00139719,7.99703,0.0466032,33.3549
0.787429,0.00138038,7.99703,0.0468593,33.9467
0.907833,0.00136632,7.99703,0.0470813,34.4585
1.02942,0.00135147,7.99701,0.0473044,35.0022
1.1508,0.0013392,7.99702,0.0475263,35.4886
1.27128,0.00132102,7.99701,0.0477189,36.1228
1.39286,0.00129932,7.99703,0.04793,36.8885
1.51435,0.00127709,7.99702,0.0480628,37.6346
1.63593,0.00126064,7.99703,0.0481781,38.2172
1.75604,0.00126374,7.99703,0.0483312,38.2446
1.87761,0.00127905,7.99701,0.0484381,37.8704
1.9991,0.00105506,7.99703,0.0472609,44.7945
