栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-9.99885,0.00266638,0.19991,0.00153711,0.576478
-9.87736,0.00259998,0.199911,0.00145137,0.558224
-9.75576,0.00259461,0.199911,0.0015333,0.590956
-9.63525,0.00257524,0.19991,0.00152364,0.59165
-9.514,0.00255587,0.19991,0.00151338,0.592119
-9.3924,0.00254109,0.19991,0.00150163,0.590939
-9.27084,0.00252428,0.199911,0.00149203,0.591072
-9.15033,0.00250502,0.199911,0.00148333,0.592143
-9.02869,0.00248648,0.199911,0.00147063,0.591451
-8.90709,0.00246294,0.19991,0.00145566,0.591025
-8.78655,0.00244816,0.19991,0.00144928,0.591987
-8.66503,0.00243701,0.19991,0.00144558,0.593178
-8.54342,0.00241245,0.19991,0.00143264,0.593853
-8.42328,0.00239647,0.19991,0.00142859,0.596123
-8.30165,0.00238074,0.19991,0.00141851,0.595827
-8.18015,0.00236154,0.19991,0.00141004,0.597085
-8.05966,0.0023461,0.19991,0.00140175,0.597481
-7.93803,0.00233412,0.19991,0.00139406,0.597253
-7.81668,0.00230909,0.19991,0.00138071,0.597946
-7.69617,0.00229311,0.19991,0.00137206,0.59834
-7.57464,0.00227338,0.19991,0.00136347,0.599755
-7.45305,0.00225931,0.19991,0.00135554,0.59998
-7.33182,0.00223887,0.19991,0.00134576,0.601089
-7.21131,0.00222319,0.19991,0.00133557,0.600745
-7.08967,0.00221121,0.19991,0.00132901,0.601033
-6.96814,0.00218415,0.199911,0.0013178,0.603347
-6.84764,0.00215965,0.19991,0.00131398,0.608423
-6.72627,0.00214367,0.19991,0.00132292,0.617129
-6.60465,0.00211715,0.19991,0.00134195,0.633847
-6.48425,0.00209324,0.19991,0.00139776,0.66775
-6.36263,0.00207608,0.199911,0.00149317,0.719226
-6.24099,0.00204365,0.199911,0.00161863,0.792029
-6.12085,0.00200782,0.199911,0.00176686,0.879989
-5.99925,0.00197403,0.19991,0.00192905,0.977214
-5.87773,0.00194076,0.19991,0.00208683,1.07526
-5.75613,0.00190732,0.19991,0.00222738,1.16781
-5.63585,0.00186977,0.19991,0.00234694,1.2552
-5.51424,0.00182441,0.199911,0.0024365,1.3355
-5.3926,0.00177976,0.19991,0.00250626,1.4082
-5.27217,0.00174173,0.19991,0.00256577,1.47312
-5.15057,0.0016978,0.19991,0.00260769,1.53592
-5.02933,0.0016516,0.19991,0.0026381,1.5973
-4.90882,0.00160636,0.19991,0.00265748,1.65435
-4.7873,0.00156046,0.199911,0.00266828,1.70993
-4.6657,0.00151534,0.199911,0.00267543,1.76556
-4.54517,0.00146878,0.19991,0.00267507,1.82129
-4.42404,0.00142276,0.19991,0.00267114,1.87744
-4.30243,0.00137353,0.19991,0.00266392,1.93947
-4.18199,0.00132673,0.19991,0.00265575,2.00173
-4.06038,0.00128173,0.19991,0.00264407,2.06289
-3.93915,0.00123529,0.199911,0.00262934,2.12852
-3.81756,0.00118904,0.19991,0.00261586,2.19998
-3.69702,0.00114278,0.19991,0.00260256,2.27739
-3.57549,0.00109957,0.19991,0.00258831,2.35393
-3.45389,0.00105653,0.199911,0.00257275,2.43509
-3.33374,0.00101331,0.199911,0.00255766,2.52406
-3.21212,0.000970452,0.19991,0.00254007,2.61741
-3.09061,0.000927892,0.19991,0.00252213,2.71813
-2.97012,0.000887,0.19991,0.00250495,2.82407
-2.84848,0.000844976,0.19991,0.00248772,2.94413
-2.72723,0.00080623,0.19991,0.00247144,3.06543
-2.60674,0.000764564,0.199911,0.00245117,3.20597
-2.4852,0.000725401,0.199911,0.00243262,3.35348
-2.36359,0.000684151,0.19991,0.0024139,3.52831
-2.24211,0.000645763,0.19991,0.00239577,3.70998
-2.12162,0.000608269,0.19991,0.00237884,3.91084
-1.99996,0.000569702,0.19991,0.00236005,4.1426
-1.87844,0.000532029,0.19991,0.00233561,4.39001
-1.75796,0.000494774,0.19991,0.00231855,4.68608
-1.63671,0.000458234,0.19991,0.00230025,5.01982
-1.51509,0.000420799,0.19991,0.00228188,5.42273
-1.39468,0.000385809,0.19991,0.00226012,5.85813
-1.27307,0.000349686,0.199911,0.00224366,6.41621
-1.15144,0.00031553,0.19991,0.00222702,7.05803
-1.03115,0.000278692,0.19991,0.0022071,7.9195
-0.909545,0.000245192,0.19991,0.00218898,8.92762
-0.787999,0.000209665,0.19991,0.00217186,10.3587
-0.667505,0.000177715,0.19991,0.00215612,12.1325
-0.546265,0.000147255,0.199911,0.00214044,14.5356
-0.424652,0.000119954,0.199911,0.00212434,17.7096
-0.303015,9.37258e-5,0.19991,0.00211021,22.5147
-0.182622,7.02995e-5,0.19991,0.00210031,29.8766
-0.0610164,4.89e-5,0.19991,0.00208803,42.7
0.0594954,7.22385e-5,0.19991,0.00208147,28.8139
0.181075,4.67874e-5,0.199911,0.00206698,44.1781
0.30256,1.17398e-5,0.199911,0.00204658,174.328
0.424161,4.58979e-5,0.19991,0.00201271,43.8519
0.544618,0.000139239,0.19991,0.00195309,14.0269
0.665829,0.000292184,0.19991,0.00185261,6.34056
0.78739,0.00052959,0.19991,0.00169286,3.19655
0.907793,0.000870469,0.19991,0.00145977,1.67699
1.02937,0.00133062,0.199911,0.00114559,0.860945
1.15075,0.00184244,0.19991,0.000788052,0.427722
1.27122,0.00252295,0.199911,0.000324913,0.128783
1.3928,0.0033173,0.19991,0.0002003,0.0603804
1.51429,0.00420708,0.19991,0.000762006,0.181125
1.63585,0.00491852,0.199911,0.00124351,0.252822
1.75597,0.00554109,0.199911,0.00162448,0.29317
1.87754,0.00576622,0.19991,0.00184201,0.319448
1.99903,0.00595576,0.19991,0.00200664,0.336924
