栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-9.99905,0.00147486,0.0404209,0.000923648,0.626261
-9.99908,0.00134348,0.499974,0.000853167,0.635043
-9.99907,0.00132769,0.999056,0.000855791,0.644571
-9.99908,0.00129288,1.49929,0.000835994,0.646614
-9.99907,0.00127446,1.99953,0.000833728,0.654181
-9.99908,0.00128125,2.49889,0.000844759,0.659324
-9.99908,0.00127487,2.9991,0.000851616,0.668002
-9.99908,0.00127738,3.49832,0.000857878,0.671592
-9.99908,0.00128858,3.99854,0.000876005,0.679822
-9.99908,0.00127636,4.49897,0.000873679,0.684508
-9.99907,0.00127356,4.99806,0.000876363,0.688121
-9.99908,0.00127952,5.49832,0.000889779,0.695401
-9.99909,0.00130224,5.99747,0.000915121,0.702728
-9.99908,0.00135409,6.49774,0.00096205,0.710477
-9.99907,0.00136882,6.99783,0.000980952,0.716641
-9.99907,0.00141037,7.49701,0.00102663,0.727915
-9.99906,0.00142634,7.99715,0.00105072,0.736655
-9.99908,0.0014869,8.49628,0.00111577,0.7504
-9.99908,0.00151367,8.99668,0.00114714,0.757853
-9.99907,0.00157131,9.49706,0.00120575,0.767353
-9.99907,0.00162251,9.99622,0.00125775,0.775188
-8.99899,0.000862322,0.0404328,0.00047494,0.550769
-8.999,0.000875436,0.49996,0.000492411,0.562475
-8.99899,0.000885271,0.999055,0.000508332,0.574211
-8.99899,0.000904883,1.49928,0.000532959,0.588981
-8.99899,0.000912513,1.99952,0.000550311,0.603072
-8.999,0.000925567,2.49888,0.00057452,0.620722
-8.999,0.000941006,2.9991,0.00059545,0.63278
-8.99899,0.000960677,3.49832,0.000617572,0.642851
-8.999,0.000980884,3.99855,0.000641901,0.654411
-8.999,0.000998588,4.49897,0.000664023,0.664962
-8.99901,0.00101599,4.99806,0.000683105,0.672354
-8.999,0.00103274,5.49833,0.000705585,0.683216
-8.99901,0.00106326,5.99747,0.000738142,0.694225
-8.999,0.00108234,6.49773,0.000753348,0.696036
-8.99899,0.00111101,6.99782,0.000787515,0.708828
-8.999,0.00113956,7.49699,0.000822637,0.72189
-8.99899,0.00118492,7.99713,0.000869326,0.733658
-8.99899,0.00122623,8.49625,0.000908085,0.74055
-8.999,0.0012654,8.99667,0.00095394,0.753864
-8.999,0.00132763,9.49705,0.00101536,0.764791
-8.99899,0.00137585,9.99621,0.00106592,0.774736
-7.99892,0.000756874,0.040428,0.000400105,0.528628
-7.99893,0.000769094,0.499971,0.000442263,0.575044
-7.99893,0.000789599,0.999059,0.000470408,0.595756
-7.99892,0.00080164,1.49928,0.000490324,0.611651
-7.99893,0.000817437,1.99951,0.000514951,0.629958
-7.99894,0.000833412,2.49887,0.000537729,0.645214
-7.99894,0.000856301,2.99911,0.000565337,0.660208
-7.99892,0.000874005,3.49831,0.000585373,0.669759
-7.99892,0.000882827,3.99855,0.000601353,0.681167
-7.99893,0.000896776,4.49896,0.000619182,0.690453
-7.99893,0.000915255,4.99806,0.000637846,0.696905
-7.99893,0.00093874,5.49832,0.000662711,0.705958
-7.99893,0.000980169,5.99744,0.000706658,0.720955
-7.99892,0.00100359,6.49772,0.000732835,0.730214
-7.99892,0.00103113,6.99781,0.000760145,0.737196
-7.99892,0.00104979,7.49699,0.000779108,0.742156
-7.99893,0.00109152,7.99711,0.000825559,0.756339
-7.99893,0.00113324,8.49623,0.000867836,0.765801
-7.99894,0.00116794,8.99666,0.000907727,0.777203
-7.99892,0.0012124,9.49704,0.000952151,0.785344
-7.99893,0.00124787,9.99618,0.000991387,0.794463
-6.99921,0.000679681,0.0404145,0.000373928,0.550152
-6.99923,0.000693033,0.499963,0.000406187,0.586101
-6.99923,0.00070871,0.999053,0.000445781,0.629003
-6.99921,0.000735892,1.49928,0.000488416,0.663706
-6.99921,0.000753655,1.9995,0.000516978,0.685961
-6.99921,0.000769988,2.49888,0.000546733,0.710054
-6.99921,0.000789242,2.99911,0.00057619,0.730055
-6.99922,0.000814754,3.49831,0.000612385,0.75162
-6.99922,0.000834663,3.99854,0.000645359,0.773197
-6.99921,0.000851771,4.49896,0.000678931,0.797082
-6.99922,0.000867746,4.99805,0.000704989,0.812437
-6.99921,0.000879966,5.4983,0.000730569,0.830224
-6.99922,0.000898206,5.99745,0.000766943,0.853861
-6.99921,0.000921931,6.49772,0.00080439,0.872506
-6.99922,0.000942734,6.99779,0.000847144,0.898603
-6.99922,0.000961928,7.49698,0.000886261,0.921338
-6.99922,0.000992508,7.99711,0.000934561,0.941616
-6.99921,0.00102601,8.49623,0.000986975,0.961955
-6.99922,0.00105581,8.99666,0.0010472,0.991845
-6.99922,0.00110296,9.49702,0.0011215,1.01681
-6.99922,0.00113241,9.99618,0.00119383,1.05424
-5.99928,0.000537275,0.0404232,0.000542022,1.00884
-5.99929,0.000579776,0.499981,0.00236965,4.08718
-5.99931,0.000615601,0.999058,0.00296177,4.81118
-5.9993,0.000627463,1.49928,0.00329593,5.25279
-5.99931,0.00061882,1.99951,0.00354924,5.7355
-5.9993,0.00064475,2.49888,0.00379545,5.8867
-5.9993,0.000660725,2.9991,0.00399139,6.04092
-5.9993,0.000700544,3.49831,0.00418584,5.97513
-5.99931,0.000736845,3.99853,0.00437939,5.94343
-5.9993,0.000756337,4.49894,0.00455065,6.0167
-5.9993,0.000774876,4.99803,0.00473371,6.10899
-5.99928,0.000784354,5.4983,0.00488541,6.22858
-5.99929,0.000802475,5.99744,0.00503257,6.27131
-5.99929,0.000819404,6.4977,0.00517789,6.31909
-5.9993,0.000841399,6.99777,0.00533483,6.34043
-5.99931,0.000866435,7.49696,0.0054978,6.34531
-5.9993,0.000896597,7.99711,0.00567895,6.33389
-5.99929,0.000927176,8.49622,0.00585485,6.31471
-5.99929,0.00094345,8.99663,0.00599707,6.35653
-5.99928,0.000977188,9.49701,0.00618526,6.32965
-5.9993,0.000999243,9.99616,0.00637923,6.38406
-4.99948,0.000351534,0.0404217,0.00052306,1.48794
-4.99948,0.000397194,0.499959,0.00444272,11.1853
