栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-9.99873,0.00149549,4.99774,0.00109782,0.734087
-9.87722,0.00139475,4.99775,0.00101941,0.730891
-9.75564,0.00133347,4.99775,0.000968907,0.726606
-9.63511,0.00130516,4.99775,0.000949289,0.727335
-9.51384,0.00129234,4.99774,0.000944757,0.731044
-9.39225,0.00126724,4.99776,0.000925855,0.730607
-9.27069,0.00127011,4.99774,0.000932772,0.734403
-9.15022,0.00126105,4.99774,0.000929671,0.73722
-9.02849,0.00123011,4.99774,0.000908145,0.738263
-8.90694,0.00119446,4.99776,0.000878986,0.735886
-8.78643,0.00118075,4.99775,0.000870698,0.737411
-8.66491,0.00118039,4.99775,0.000873083,0.739656
-8.54331,0.00116841,4.99775,0.000867955,0.742851
-8.42316,0.00114666,4.99775,0.000850782,0.741965
-8.30155,0.00113777,4.99774,0.000844938,0.742626
-8.18,0.00114368,4.99774,0.000847919,0.741395
-8.05954,0.00112794,4.99774,0.000833609,0.739054
-7.93792,0.00111441,4.99775,0.000826036,0.741232
-7.81662,0.00111494,4.99775,0.000824664,0.739649
-7.69609,0.00114946,4.99774,0.00082532,0.718007
-7.57455,0.00113819,4.99775,0.000814706,0.715791
-7.45293,0.00113295,4.99775,0.000816555,0.720733
-7.33172,0.00114016,4.99775,0.000826513,0.72491
-7.21123,0.00111941,4.99774,0.000819178,0.731794
-7.08959,0.00111053,4.99774,0.000833609,0.750641
-6.96806,0.00110559,4.99774,0.000882087,0.797843
-6.84757,0.00109664,4.99774,0.000977553,0.891407
-6.72617,0.00108764,4.99774,0.00116616,1.07219
-6.60456,0.00107769,4.99775,0.00145518,1.35028
-6.48416,0.00106559,4.99774,0.00184665,1.73298
-6.36257,0.00105504,4.99774,0.00235809,2.23507
-6.24093,0.00103781,4.99774,0.00296189,2.85398
-6.12081,0.00103513,4.99774,0.00363707,3.51364
-5.99918,0.00102434,4.99774,0.00437236,4.26847
-5.87764,0.00100473,4.99774,0.00514217,5.11796
-5.75604,0.000992746,4.99776,0.00596254,6.00611
-5.63578,0.000983626,4.99775,0.00681476,6.9282
-5.51419,0.000982613,4.99774,0.00773514,7.87201
-5.39255,0.000977784,4.99775,0.00867984,8.87705
-5.27212,0.00096163,4.99774,0.00961185,9.99537
-5.15051,0.000947086,4.99774,0.0105481,11.1374
-5.02926,0.000928845,4.99774,0.0115081,12.3897
-4.90876,0.000921215,4.99774,0.0124563,13.5216
-4.78726,0.000909473,4.99773,0.013449,14.7877
-4.66566,0.000894153,4.99774,0.0144333,16.1419
-4.54512,0.000881874,4.99774,0.0154152,17.48
-4.42398,0.000875555,4.99774,0.0163803,18.7085
-4.30237,0.00085964,4.99775,0.0173376,20.1684
-4.18194,0.000845393,4.99774,0.0182879,21.6324
-4.06035,0.00083222,4.99774,0.0192727,23.1582
-3.93912,0.000817496,4.99773,0.0202668,24.7913
-3.81751,0.000806826,4.99774,0.0212435,26.3297
-3.69696,0.00079717,4.99774,0.0221656,27.8054
-3.57547,0.000788645,4.99774,0.0230751,29.2592
-3.45386,0.000775532,4.99774,0.0240008,30.9475
-3.3337,0.000763193,4.99774,0.0249107,32.6401
-3.2121,0.000753774,4.99773,0.0258199,34.2542
-3.09059,0.00074066,4.99773,0.0267491,36.1152
-2.97008,0.000727129,4.99775,0.0276282,37.9963
-2.84845,0.000718665,4.99774,0.0284833,39.6336
-2.72721,0.000710916,4.99774,0.0293487,41.2829
-2.60672,0.00070108,4.99773,0.0302072,43.0867
-2.48519,0.000691185,4.99773,0.0310564,44.9321
-2.36358,0.00067974,4.99774,0.0319011,46.9313
-2.24209,0.000670918,4.99774,0.0327043,48.7456
-2.12159,0.000660248,4.99773,0.0334544,50.6694
-1.99995,0.00064475,4.99774,0.0342016,53.0463
-1.87845,0.000638908,4.99773,0.0349655,54.727
-1.75796,0.000626688,4.99773,0.0356714,56.9205
-1.63668,0.000609938,4.99773,0.0363642,59.6195
-1.51508,0.000592175,4.99774,0.0370097,62.4979
-1.39466,0.000581684,4.99774,0.0375828,64.6103
-1.27307,0.000566066,4.99774,0.0381491,67.3934
-1.15143,0.00055486,4.99773,0.0386908,69.7307
-1.03114,0.000535308,4.99774,0.0391801,73.1917
-0.909541,0.00052136,4.99771,0.0396576,76.0657
-0.787984,0.000503715,4.99773,0.0400774,79.5636
-0.667497,0.000487204,4.99774,0.040428,82.9796
-0.546266,0.000470334,4.99774,0.0407527,86.6463
-0.424682,0.000455671,4.99774,0.0410516,90.0904
-0.303033,0.000436119,4.99773,0.0413048,94.7099
-0.182625,0.000419965,4.99772,0.0415556,98.9502
-0.0610276,0.000404765,4.99773,0.041756,103.161
0.0595161,0.000432251,4.99774,0.0419117,96.9615
0.181076,0.000414906,4.99773,0.0420367,101.316
0.302566,0.000398514,4.99773,0.0421547,105.78
0.424167,0.000382838,4.99773,0.0422724,110.419
0.544632,0.00036448,4.99774,0.0423879,116.297
0.665858,0.000350175,4.99773,0.0424581,121.248
0.78741,0.000334797,4.99774,0.0425167,126.992
0.907796,0.000318763,4.99773,0.0425582,133.51
1.02938,0.000305829,4.99773,0.0426201,139.359
1.15076,0.000292835,4.99773,0.0426713,145.718
1.27126,0.000281332,4.99773,0.0427481,151.949
1.39282,0.000273464,4.99773,0.0427761,156.423
1.51431,0.000273583,4.99775,0.0428303,156.553
1.63587,0.000294266,4.99773,0.0428536,145.629
1.75599,0.00030118,4.99772,0.0429029,142.449
1.87756,0.000322757,4.99773,0.0429831,133.175
1.99906,0.000341294,4.99773,0.0430695,126.195
