栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-9.99912,0.000716221,0.0404296,0.000395514,0.552223
-9.99915,0.000724387,0.49998,0.000406068,0.560568
-9.99915,0.000748648,0.999074,0.000431768,0.57673
-9.99914,0.000763073,1.4993,0.000449538,0.589115
-9.99915,0.000791209,1.99953,0.000476788,0.602607
-9.99914,0.000807482,2.49891,0.00049897,0.617933
-9.99915,0.000826437,2.99914,0.000519602,0.628725
-9.99915,0.000861607,3.49834,0.00054888,0.637042
-9.99915,0.000881456,3.99857,0.000568557,0.64502
-9.99915,0.00091144,4.499,0.000601055,0.659456
-9.99914,0.0009357,4.9981,0.000625682,0.668678
-9.99914,0.000956027,5.49836,0.000650368,0.680282
-9.99914,0.000976532,5.99751,0.000674578,0.690789
-9.99913,0.00102064,6.49777,0.000715662,0.701189
-9.99914,0.00106314,6.99787,0.000758178,0.71315
-9.99914,0.00111518,7.49704,0.000809816,0.726175
-9.99914,0.00116901,7.99718,0.000863781,0.7389
-9.99914,0.00122033,8.4963,0.000923231,0.756542
-9.99914,0.00126659,8.99673,0.000967655,0.763984
-9.99913,0.00133037,9.49712,0.00103247,0.776077
-9.99914,0.00141645,9.99627,0.00111792,0.789241
-8.99903,0.000650949,0.0404423,0.000347453,0.533764
-8.99905,0.000659533,0.499976,0.000361048,0.54743
-8.99906,0.000669785,0.999072,0.000378996,0.565847
-8.99905,0.000683555,1.4993,0.000393665,0.575908
-8.99906,0.000708352,1.99953,0.000415966,0.587231
-8.99907,0.000727844,2.49891,0.000436479,0.599688
-8.99906,0.000739885,2.99913,0.000453831,0.61338
-8.99906,0.000760451,3.49833,0.000473985,0.623295
-8.99906,0.000792818,3.99857,0.000504456,0.636282
-8.99906,0.000819284,4.49899,0.000531229,0.648406
-8.99905,0.000842234,4.99808,0.000556989,0.661323
-8.99905,0.00085201,5.49836,0.000574639,0.674451
-8.99905,0.000879489,5.9975,0.000601294,0.683686
-8.99905,0.000909949,6.49777,0.000636534,0.699527
