栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-9.9989,0.000661321,0.19992,0.000346916,0.52458
-9.87742,0.000645525,0.199921,0.000334632,0.518387
-9.75581,0.000631517,0.199921,0.000325151,0.514873
-9.63529,0.000622754,0.199921,0.000320798,0.515128
-9.51405,0.000615959,0.199921,0.000314895,0.511227
-9.39244,0.000610236,0.199921,0.000309648,0.507423
-9.2709,0.000607554,0.199921,0.000310125,0.510448
-9.15039,0.000601116,0.199921,0.000308038,0.512444
-9.02875,0.000589969,0.199921,0.000302373,0.512524
-8.90709,0.000587525,0.199921,0.000301956,0.513946
-8.7866,0.000582161,0.199921,0.000298914,0.513456
-8.66503,0.000575067,0.199921,0.000294919,0.512843
-8.54347,0.000565887,0.199921,0.000290209,0.512839
-8.42331,0.000551641,0.199921,0.000282039,0.511273
-8.30169,0.000540434,0.199921,0.000274288,0.507533
-8.18018,0.000536202,0.199921,0.000271545,0.506423
-8.0597,0.000528691,0.199921,0.000267788,0.506511
-7.93807,0.000522254,0.19992,0.000265463,0.508302
-7.81673,0.000514326,0.199921,0.000261169,0.507789
-7.69622,0.000507411,0.199921,0.000258069,0.5086
-7.57468,0.000499781,0.19992,0.000252106,0.504433
-7.45307,0.000491913,0.199921,0.000247872,0.503894
-7.33186,0.000486965,0.199921,0.000247514,0.508279
-7.21133,0.000479395,0.199921,0.000243758,0.50847
-7.0897,0.000472421,0.199921,0.000238808,0.505498
-6.96817,0.000459724,0.19992,0.000232249,0.505192
-6.84767,0.000448577,0.19992,0.000235111,0.524126
-6.7263,0.000440768,0.19992,0.000250913,0.569263
-6.60466,0.000430694,0.199921,0.000298616,0.693337
-6.48421,0.000419309,0.199921,0.000392472,0.935997
-6.36264,0.000405242,0.199921,0.000529202,1.30589
-6.24103,0.000392962,0.199921,0.000707493,1.80041
-6.12087,0.000380385,0.199921,0.000893416,2.34872
-5.99927,0.000368701,0.19992,0.00108316,2.93777
-5.87772,0.000347898,0.199921,0.00125137,3.59695
-5.75613,0.000335082,0.199921,0.00139716,4.16961
-5.63587,0.000321133,0.199921,0.00151177,4.70761
-5.51426,0.000306052,0.19992,0.00159919,5.22522
-5.39261,0.000290495,0.19992,0.00166627,5.73597
-5.27219,0.000276725,0.19992,0.00172393,6.22976
-5.15059,0.000261584,0.19992,0.0017643,6.74468
-5.02934,0.000248828,0.199921,0.00179954,7.23206
-4.90883,0.000235893,0.19992,0.00182321,7.72897
-4.78731,0.000223554,0.19992,0.00184927,8.27214
-4.66571,0.000212169,0.19992,0.00187133,8.82
-4.54519,0.000199889,0.199921,0.00188505,9.43048
-4.42405,0.000189994,0.19992,0.00189906,9.99537
-4.30245,0.000179086,0.19992,0.00191009,10.6658
-4.18202,0.000170025,0.19992,0.00192279,11.3089
-4.06042,0.000159653,0.19992,0.00192756,12.0734
-3.93919,0.000150056,0.19992,0.00193108,12.8691
-3.81758,0.00014034,0.19992,0.00193645,13.7983
-3.69704,0.000131995,0.19992,0.00194122,14.7068
-3.57552,0.000124365,0.19992,0.00194182,15.6139
-3.45392,0.000116318,0.19992,0.00194826,16.7494
-3.33376,0.000109582,0.19992,0.00194623,17.7605
-3.21215,0.000100581,0.19992,0.00194653,19.3529
-3.09063,9.47392e-5,0.19992,0.00194849,20.5669
-2.97014,8.80034e-5,0.19992,0.00195261,22.1879
-2.8485,8.25194e-5,0.19992,0.00195732,23.7195
-2.72725,7.632e-5,0.19992,0.0019566,25.6368
-2.60675,7.13129e-5,0.19992,0.00195428,27.4043
-2.48523,6.51136e-5,0.19992,0.00195893,30.0848
-2.36363,6.03449e-5,0.19992,0.00196483,32.56
-2.24213,5.59338e-5,0.19992,0.00196263,35.0884
-2.12164,5.26553e-5,0.19992,0.0019665,37.3467
-1.99999,4.87212e-5,0.19992,0.00197926,40.6242
-1.87847,4.46081e-5,0.19992,0.00198087,44.4061
