栅极电压(V),栅极电流(A),漏极电压(V),漏极电流(A),放大倍数
-9.99876,0.00148869,7.99658,0.00109568,0.736003
-9.87727,0.00139028,7.9966,0.00100844,0.72535
-9.75567,0.00136333,7.9966,0.000988525,0.725081
-9.63516,0.00131636,7.9966,0.000947917,0.720105
-9.5139,0.00129568,7.9966,0.000929909,0.7177
-9.39229,0.00126242,7.9966,0.000912379,0.722722
-9.27077,0.00128137,7.9966,0.000939212,0.732975
-9.15027,0.00126856,7.99661,0.000931698,0.734453
-9.02861,0.001235,7.99661,0.000900214,0.728918
-8.90701,0.0011944,7.9966,0.000862171,0.721844
-8.78648,0.00116436,7.9966,0.000841599,0.7228
-8.66494,0.0011677,7.9966,0.000851497,0.729209
-8.54335,0.00115077,7.99662,0.000840406,0.730299
-8.42321,0.00113062,7.99661,0.000822577,0.727545
-8.30158,0.00112371,7.99659,0.000829852,0.738493
-8.18007,0.00112442,7.9966,0.000835696,0.743224
-8.0596,0.00109509,7.99659,0.000811009,0.740587
-7.93797,0.00108132,7.99659,0.000803257,0.742849
-7.81663,0.00105849,7.99661,0.000786502,0.743042
-7.69612,0.00104085,7.9966,0.000774456,0.744061
-7.57459,0.00103549,7.9966,0.00077702,0.750389
-7.45298,0.00101605,7.9966,0.000764975,0.752891
-7.33175,0.000989885,7.99661,0.000747206,0.754841
-7.21126,0.00100753,7.99659,0.000786621,0.780742
-7.08963,0.000967889,7.9966,0.000787515,0.813642
-6.96808,0.000965088,7.9966,0.000885307,0.917333
-6.84761,0.000947265,7.9966,0.0010562,1.115
-6.72621,0.000941423,7.9966,0.00136437,1.44926
-6.6046,0.000933078,7.9966,0.001799,1.92803
-6.48419,0.000922765,7.9966,0.00232171,2.51604
-6.36259,0.000924375,7.9966,0.00292456,3.16382
-6.24096,0.000901783,7.99659,0.00361215,4.00556
-6.1208,0.000896597,7.9966,0.00435006,4.85174
-5.9992,0.000890159,7.9966,0.00519381,5.8347
-5.87768,0.00086721,7.99659,0.00598407,6.90037
-5.75607,0.000869535,7.99659,0.0069732,8.01946
-5.6358,0.000858388,7.99659,0.00784188,9.13559
-5.5142,0.000843664,7.9966,0.00874526,10.3658
-5.39257,0.000844797,7.99659,0.00974708,11.5378
-5.27213,0.000818271,7.99659,0.0106443,13.0083
-5.15053,0.000812966,7.99659,0.0116644,14.348
-5.02929,0.000788347,7.99659,0.0125492,15.9184
-4.90878,0.000789897,7.99661,0.0134862,17.0734
-4.78728,0.000788169,7.9966,0.0144589,18.3449
-4.66568,0.000764742,7.99659,0.0153489,20.0707
-4.54513,0.000737203,7.99659,0.0162378,22.0262
-4.42402,0.000745012,7.99659,0.0173187,23.2462
-4.3024,0.000736786,7.99659,0.0183195,24.8641
-4.18198,0.000718069,7.9966,0.0191865,26.7196
-4.06036,0.000709425,7.9966,0.0201129,28.351
-3.93915,0.000698577,7.99659,0.0210499,30.1325
-3.81754,0.000689814,7.99658,0.0219685,31.847
-3.69701,0.00067974,7.99659,0.0229322,33.7367
-3.57548,0.000671037,7.99659,0.0238253,35.5052
-3.45388,0.00066448,7.9966,0.0247131,37.1916
-3.33372,0.000651247,7.99661,0.0255694,39.2622
-3.21211,0.000645405,7.99659,0.0264893,41.0429
-3.0906,0.000633543,7.99658,0.02737,43.2015
-2.9701,0.000618939,7.99658,0.028215,45.5861
-2.84847,0.000610355,7.9966,0.0290611,47.6134
-2.72723,0.000598434,7.99658,0.0298613,49.8991
-2.60673,0.000592771,7.9966,0.0306692,51.7387
-2.4852,0.0005883,7.99658,0.031537,53.607
-2.36359,0.000577392,7.99658,0.0323372,56.0056
-2.24211,0.000560105,7.99659,0.0330804,59.0611
-2.12162,0.000557721,7.9966,0.0338548,60.702
-1.99997,0.000553727,7.99659,0.0346022,62.4896
-1.87844,0.000548005,7.9966,0.0353194,64.4509
-1.75795,0.000542461,7.99659,0.0361284,66.6009
-1.63669,0.000532328,7.99659,0.0368247,69.1767
-1.5151,0.000524757,7.99659,0.0375025,71.4664
-1.39469,0.000530182,7.99659,0.038171,71.996
-1.27307,0.0005334,7.99659,0.038822,72.7822
-1.15144,0.000499662,7.99658,0.0393848,78.8229
-1.03114,0.00049537,7.99658,0.040091,80.9314
-0.909541,0.000493522,7.99659,0.0406806,82.4292
-0.788016,0.000482912,7.99658,0.0412151,85.347
-0.667511,0.000479514,7.99659,0.0417364,87.039
-0.546285,0.000469857,7.9966,0.0422034,89.8218
-0.424681,0.000463777,7.99658,0.0426256,91.9097
-0.303043,0.000458353,7.99658,0.043079,93.9865
-0.182624,0.000451915,7.99658,0.0435069,96.2723
-0.0610371,0.000440292,7.99658,0.0438779,99.6564
0.0595097,0.000485299,7.9966,0.044233,91.1459
0.181077,0.000474391,7.9966,0.044545,93.8993
0.302574,0.000469027,7.99659,0.0448083,95.5346
0.42417,0.000467179,7.99659,0.045126,96.5925
0.544638,0.000458417,7.99658,0.0454431,99.1305
0.66584,0.000448225,7.99658,0.045704,101.967
0.787406,0.000446794,7.99659,0.0459565,102.858
0.907818,0.000438688,7.99659,0.0461657,105.236
1.0294,0.000427601,7.99658,0.0463057,108.292
1.15077,0.000422893,7.99659,0.0465474,110.069
1.27125,0.000416932,7.99659,0.0467168,112.049
1.39282,0.000404415,7.99658,0.0468339,115.807
1.51432,0.000394879,7.99659,0.0469813,118.976
1.6359,0.000392971,7.9966,0.0470685,119.776
1.75601,0.000401912,7.99659,0.0471287,117.261
1.87758,0.000414846,7.99658,0.047323,114.074
1.99907,0.000405786,7.99658,0.0474027,116.817
