file,regime,vds_mean_v,turn_on_direction,vth_method,vth_v,vth_fit_start_vgs,vth_fit_end_vgs,vth_fit_r_squared,ss_mv_dec,ss_fit_start_vgs,ss_fit_end_vgs,ss_fit_r_squared,ion_a,ioff_a,ion_ioff
2_6mw_linear0_2.csv,linear,0.19991807,decreasing VGS,ID-VGS extrapolation,1.4039372522917624,0.787416,1.27128,0.9879555002489853,598.1867423796185,0.907816,1.39285,0.9434491584904577,0.00296183,0.000255457,11.594240909428983
2_6mw_linear0_8.csv,linear,0.79974391,decreasing VGS,ID-VGS extrapolation,-0.05147419028544707,-0.546164,-0.0608876,0.8934590737649424,182.48116485092945,-0.424562,0.0594851,0.8941512218385572,0.00896666,4.7292e-05,189.6020468578195
2_6mw_sat5.csv,saturation,4.9979368,increasing VGS,sqrt(ID)-VGS extrapolation,-7.595913068925388,-6.12082,-5.63583,0.9999916229405746,1711.8175785209971,-6.48423,-5.99923,0.9998459464669386,0.0372737,0.00160467,23.228265001526793
2_6mw_sat8.csv,saturation,7.9970434,increasing VGS,sqrt(ID)-VGS extrapolation,-7.7447747613633275,-6.36269,-5.87775,0.9999688209901727,1765.6815031761248,-6.48428,-5.99929,0.9991724637001579,0.0484381,0.00190031,25.489578016218402
5mw_linear0_2.csv,linear,0.19991026,decreasing VGS,ID-VGS extrapolation,1.4137964038042983,0.78739,1.27122,0.9844446035792033,533.4372137483354,0.907793,1.3928,0.956409189951649,0.00267543,0.0002003,13.35711432850724
5mw_linear0_5.csv,linear,0.49976965,increasing VGS,ID-VGS extrapolation,-6.888092367245352,-5.87767,-5.39254,0.9918696046087873,2237.801753378065,-6.48417,-5.99919,0.9960598582950705,0.00560358,0.00154105,3.6362090782258853
5mw_sat5.csv,saturation,4.9976812,increasing VGS,sqrt(ID)-VGS extrapolation,-7.693235136045042,-6.1208,-5.63577,0.9999805029551682,1876.8313328746713,-6.48417,-5.9992,0.9997479574367589,0.0433667,0.00190401,22.77650852674093
5mw_sat8.csv,saturation,7.9965346,increasing VGS,sqrt(ID)-VGS extrapolation,-7.818285534661851,-6.1208,-5.63579,0.9998605969243265,1951.9956309111567,-6.60458,-6.1208,0.9999874017072444,0.0485032,0.00215511,22.506136577715292
8mw_linear0_2.csv,linear,0.19991461000000002,increasing VGS,ID-VGS extrapolation,-6.63568767394624,-6.24093,-5.75605,0.9838914072188063,1246.1826143131232,-6.36255,-5.87767,0.9929726588808233,0.00206686,0.000208636,9.906535784811824
8mw_linear0_8.csv,linear,0.79970698,increasing VGS,ID-VGS extrapolation,-6.494171986796047,-5.99917,-5.51418,0.9998842028188311,907.1221643304032,-6.60457,-6.12077,0.9991283344241851,0.00853429,0.000365103,23.375020199779243
8mw_sat1.csv,saturation,4.9977391,increasing VGS,sqrt(ID)-VGS extrapolation,-7.378694999379601,-6.48416,-5.99918,0.9998853736213992,1189.5643902717786,-6.72617,-6.24093,0.9997298068859214,0.0430695,0.000814706,52.86508261876063
8mw_sat8.csv,saturation,7.9966152,increasing VGS,sqrt(ID)-VGS extrapolation,-7.498404676590591,-6.48417,-5.9992,0.9998979859903204,1189.5858707197679,-6.8476,-6.36257,0.9996783500039601,0.0482533,0.000884234,54.570735800704334
no_light_linear0_2.csv,linear,0.19992031999999998,increasing VGS,ID-VGS extrapolation,-6.714754013338533,-6.36264,-5.87772,0.9996228869860609,1002.3861185673765,-6.60466,-6.12087,0.9985344688294561,0.00203305,0.000232249,8.753751361685087
no_light_linear0_8.csv,linear,0.7996901900000001,increasing VGS,ID-VGS extrapolation,-6.510642305365647,-5.9992,-5.51419,0.9997532895775217,1027.930831074991,-6.60458,-6.1208,0.9990949686797798,0.00826798,0.000494379,16.723970880640156
no_light_sat5.csv,saturation,4.9977213,increasing VGS,sqrt(ID)-VGS extrapolation,-7.354018406562351,-6.4842,-5.99921,0.9997777460340304,1032.4625687105747,-6.72621,-6.24096,0.9982606204941099,0.0419234,0.000675234,62.087217172121065
no_light_sat8.csv,saturation,7.9965931999999995,increasing VGS,sqrt(ID)-VGS extrapolation,-7.462130523896503,-6.48419,-5.9992,0.9999653790055197,1086.5537710874376,-6.84761,-6.36259,0.9991149764664116,0.0474027,0.000747206,63.43993490416297
