源:电流源
起点:0mA
终点:100mA
点数:1000
限值:5 V
延时:0us
NPLC:1
2/4Wire:2
面板:前面板

点数,电压(V),电流(A),电阻(Ω),功率(W)
1,2.71289,0.000205872,13177.6,0.000558508
2,2.74094,0.000200684,13658,0.000550063
3,2.71582,0.000200989,13512.3,0.00054585
4,2.79321,0.0002995,9326.24,0.000836566
5,2.81744,0.000398132,7076.65,0.00112171
6,2.91138,0.000496857,5859.59,0.00144654
7,2.93326,0.000595795,4923.27,0.00174762
8,3.07211,0.000698914,4395.55,0.00214714
9,2.85242,0.000798309,3573.08,0.00227711
10,2.9097,0.00089682,3244.46,0.00260948
11,2.91046,0.000999939,2910.64,0.00291028
12,3.0423,0.00109888,2768.55,0.00334312
13,3.01962,0.00119781,2520.95,0.00361693
14,3.04108,0.0013006,2338.21,0.00395523
15,2.97336,0.00140027,2123.42,0.00416351
16,3.01282,0.0014982,2010.96,0.00451381
17,3.10275,0.00160135,1937.58,0.00496859
18,3.15253,0.00170062,1853.75,0.00536126
19,3.11447,0.00179861,1731.6,0.00560172
20,3.06464,0.0018978,1614.84,0.00581607
21,3.25562,0.00200116,1626.87,0.00651502
22,3.2663,0.0020997,1555.6,0.00685825
23,3.26477,0.00219891,1484.72,0.00717894
24,3.18604,0.00230222,1383.9,0.00733497
25,2.97415,0.00239914,1239.67,0.0071354
26,3.16806,0.0024975,1268.49,0.00791223
27,3.16782,0.00260077,1218.03,0.00823877
28,3.38855,0.00269955,1255.23,0.00914756
29,3.25256,0.00279828,1162.34,0.00910157
30,3.18701,0.00290216,1098.15,0.00924921
31,3.3306,0.00299954,1110.37,0.00999027
32,3.39529,0.00309879,1095.68,0.0105213
33,3.44348,0.00319797,1076.77,0.0110121
34,3.22226,0.00330133,976.049,0.0106377
35,3.36264,0.00340021,988.951,0.0114337
36,3.25934,0.00349817,931.727,0.0114017
37,3.39062,0.00360178,941.373,0.0122123
38,3.35107,0.0037012,905.401,0.012403
