No,1,2,3,4,5,6,7,8,9,10
测试参数
测试时间,20:01:46,20:08:07,20:09:19,20:10:50,20:11:32,20:36:17,20:36:43,20:37:06,20:37:24,20:37:48
照度E(lx),300.06,87.18,175.04,117.34,36.88,1713.39,2566.03,1531.00,1219.04,1288.58
烛光E(fc),27.88,8.10,16.26,10.90,3.43,159.18,238.39,142.23,113.25,119.71
相关色温(K),7184,7153,7169,7154,7182,7826,8209,7777,7650,7660
黑体偏离Duv,0.14343,0.14313,0.14399,0.14428,0.14228,0.15853,0.16117,0.15792,0.15636,0.15706
坐标x,0.2154,0.2152,0.2145,0.2137,0.2155,0.1691,0.1559,0.1721,0.1786,0.1763
坐标y,0.7133,0.7106,0.7155,0.7161,0.7051,0.7320,0.7230,0.7338,0.7356,0.7362
坐标u,0.0774,0.0776,0.0769,0.0766,0.0781,0.0591,0.0549,0.0601,0.0623,0.0614
坐标v,0.3846,0.3842,0.3848,0.3848,0.3835,0.3837,0.3817,0.3841,0.3848,0.3847
坐标u',0.0774,0.0776,0.0769,0.0766,0.0781,0.0591,0.0549,0.0601,0.0623,0.0614
坐标v',0.5769,0.5763,0.5772,0.5772,0.5753,0.5756,0.5726,0.5762,0.5772,0.5771
色容差,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
显色指数Ra,-13.7,-10.0,-13.9,-13.9,-7.4,-26.8,-25.1,-27.3,-27.8,-28.1
R1,-34.1,-33.5,-34.4,-34.4,-32.5,-36.4,-35.6,-36.5,-36.5,-37.0
R2,0.7,3.3,0.2,0.2,5.8,-11.0,-9.5,-11.6,-12.2,-12.3
R3,0.9,8.4,0.6,0.6,14.1,-26.3,-24.2,-27.4,-28.3,-28.6
R4,-53.1,-47.7,-53.0,-52.9,-44.5,-69.6,-67.6,-70.2,-70.8,-71.2
R5,-10.7,-10.4,-11.1,-11.1,-9.7,-11.6,-10.5,-11.7,-12.0,-12.2
R6,-4.9,-3.3,-5.6,-5.8,-1.2,-16.3,-15.3,-16.7,-17.0,-17.4
R7,16.7,24.0,16.9,16.9,28.3,-8.7,-6.7,-9.5,-10.2,-10.5
R8,-24.9,-21.3,-24.7,-24.7,-19.6,-34.2,-31.7,-34.8,-35.7,-35.9
R9,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0
R10,-87.2,-82.6,-88.6,-88.8,-77.6,-100.0,-100.0,-100.0,-100.0,-100.0
R11,-84.6,-79.0,-84.7,-84.5,-75.0,-99.3,-95.8,-100.0,-100.0,-100.0
R12,-24.9,-24.0,-25.8,-26.0,-22.1,-32.7,-29.6,-33.6,-34.9,-35.3
R13,-36.0,-35.2,-36.6,-36.6,-33.7,-42.4,-42.0,-42.6,-42.5,-42.9
R14,49.9,53.4,49.6,49.5,56.3,36.9,38.2,36.3,35.7,35.5
R15,-33.6,-32.4,-33.5,-33.4,-31.9,-34.6,-33.2,-34.9,-35.3,-35.6
辐照度Ee(mW/cm2),0.056,0.016,0.032,0.022,0.007,0.346,0.543,0.305,0.238,0.253
明暗视觉比S/P,2.265,2.260,2.258,2.263,2.275,2.772,2.980,2.725,2.637,2.661
主波长(nm),535.20,535.00,535.20,535.10,534.70,527.40,524.20,528.10,529.50,529.10
